var_0,var_1,time,memory
13,4,67.81034755706787,27.507786
52,4,69.16761946678162,27.504944
50,5,69.29431962966919,27.417807
12,8,69.44151639938354,28.231431
29,12,70.10323858261108,34.526306
29,11,70.32873582839966,32.71552
10,14,70.91153645515442,38.265872
30,51,71.05904269218445,52.318095
7,33,71.33678436279297,52.318484
30,21,71.4114887714386,51.26631
21,42,71.39012408256531,52.318396
21,48,71.59403967857361,52.31878
18,30,71.77665591239929,52.314709
44,42,71.8114128112793,52.316232
34,52,71.86681365966797,52.318223
9,51,71.94985485076904,52.317555
31,29,72.01995038986206,52.318659
33,24,72.10908198356628,52.309859
44,26,72.34576797485352,52.316211
27,26,72.59706282615662,52.318019
11,15,69.42829298973083,40.147516
27,36,70.9480390548706,52.310637
20,5,68.13918042182922,27.410921
12,7,68.57539129257202,27.567716
17,42,71.22816562652588,52.308485
21,9,68.57704973220825,29.425365
26,16,69.3905930519104,42.045347
52,12,68.87243270874023,34.521559
15,44,71.46366024017334,52.311965
25,8,68.95116209983826,28.22344
50,48,71.20778775215149,52.31039
5,26,71.0086522102356,52.304168
24,21,70.7004988193512,51.259867
24,37,71.57112097740173,52.310637
34,46,71.31959199905396,52.310334
33,34,71.86009240150452,52.310637
12,23,71.67537355422974,52.310549
15,30,71.68224430084229,52.311965
19,45,71.23144793510437,52.310462
14,51,71.66159152984619,52.310174
43,10,69.0195906162262,30.981242
27,14,69.25852537155151,38.256595
47,8,68.52845096588135,28.224295
49,37,71.05174422264099,52.310909
50,9,68.84075927734375,29.427011
47,21,71.44186806678772,51.260139
31,45,70.33067059516907,52.310909
47,50,70.63222026824951,52.310878
34,21,70.80239772796631,51.25994
13,28,71.20888328552246,52.309569
44,22,71.09425282478333,51.880828
52,24,71.1004786491394,52.303345
14,29,71.28995251655579,52.310997
37,32,70.68099331855774,52.310977
24,52,70.6745593547821,52.310878
30,50,70.29212951660156,52.31071
16,49,71.12114477157593,52.309554
36,21,71.0145206451416,51.260139
27,41,71.16480612754822,52.310878
17,50,72.02325677871704,52.308973
25,6,68.54183340072632,27.378246
15,8,68.57146191596985,28.226366
40,17,70.37091064453125,43.943019
51,47,71.30125761032104,52.311846
24,21,71.22145366668701,51.261107
26,7,68.85931253433228,27.568205
5,12,70.08795189857483,34.521707
18,49,71.32251715660095,52.312122
44,50,71.94057369232178,52.311877
38,43,70.94685649871826,52.311846
35,22,70.81876873970032,51.881765
10,50,71.22079062461853,52.311052
26,37,70.99218153953552,52.311846
33,10,69.33680582046509,30.982241
22,17,70.09240365028381,43.940391
22,48,71.0696063041687,52.311791
8,36,71.20638275146484,52.312343
25,44,70.97120523452759,52.311877
13,39,71.68515157699585,52.310527
24,52,71.17029809951782,52.311846
38,24,71.22244834899902,52.305537
48,9,69.04868936538696,29.429203
45,25,70.81630396842957,52.310955
48,42,71.12743830680847,52.307965
20,8,69.18033576011658,28.226252
4,47,71.05356788635254,52.306559
26,34,71.51250457763672,52.31307
35,10,69.2836983203888,30.983434
20,33,71.22621083259583,52.315236
