var_0,var_1,time,memory
50,5,69.40936232,24.519643
52,4,69.55171371,24.615061
13,4,69.53096533,24.627237
12,8,69.54751611,25.326557
31,29,69.76137686,49.414509
29,12,69.96536827,31.611971
27,26,69.97559714,49.405987
21,42,70.06249404,49.413368
34,52,70.15006065,49.408034
21,48,70.16853428,49.409474
29,11,71.41283417,29.802122
10,14,71.7788949,35.360014
30,51,71.78901076,49.40967
9,51,72.0848577,49.409914
33,24,72.12472749,49.398872
7,33,72.25780082,49.408211
30,21,72.33049989,48.353187
44,26,72.3898232,49.401911
44,42,72.48741651,49.402317
18,30,72.70210099,49.40031
20,5,66.3739481,24.52117
11,15,69.00893474,37.243713
15,44,69.36399889,49.387048
21,9,69.21701097,26.504111
24,37,68.97252893,49.387999
17,42,69.57482648,49.40391
27,36,69.75115037,49.387336
15,30,69.61748028,49.407639
12,7,67.99070835,24.667502
26,16,68.60276985,39.141566
50,48,70.9873302,49.406164
25,8,68.96259308,25.321418
33,34,71.04827762,49.406308
14,51,71.27698445,49.406415
52,12,69.64881349,31.617254
24,21,70.05890036,48.335446
19,45,70.68038702,49.406386
34,46,70.5653367,49.405487
12,23,70.87641239,49.406594
5,26,72.00984669,49.400151
43,10,63.30092692,28.066406
47,21,64.67148304,48.349683
37,32,64.5163548,49.400473
47,50,64.9573071,49.390814
47,8,63.04228401,25.315524
50,9,62.99655676,26.5174
27,14,64.6334362,35.340879
31,45,65.9103241,49.400414
49,37,65.67204261,49.400412
44,22,66.32754183,48.970325
36,21,65.93838024,48.348174
13,28,66.86361814,49.397039
16,49,66.53039145,49.398023
17,50,64.70511961,49.390505
52,24,66.85649872,49.384445
30,50,66.49886537,49.396798
34,21,66.7508595,48.346569
24,52,66.50953817,49.390368
27,41,66.584059,49.393586
14,29,66.53711295,49.39417
25,6,71.55555415,24.47392
44,50,73.17991614,49.40101
5,12,73.24859643,31.610084
51,47,72.94037843,49.400411
15,8,72.97191787,25.319023
18,49,73.20088243,49.402045
8,36,74.59486341,49.402891
26,7,71.8802762,24.660376
33,10,72.07739663,28.071231
40,17,74.89236021,41.033391
25,44,74.19430256,49.400412
38,43,72.5750196,49.400405
22,17,73.88557529,41.028949
24,21,78.11839843,48.350478
10,50,77.64170361,49.400658
24,52,75.22328544,49.400408
22,48,74.16945219,49.400355
35,22,77.44250298,48.970327
13,39,75.29037786,49.399057
26,37,76.09122109,49.400405
38,24,64.98197436,49.378297
20,8,64.3440361,25.306758
26,34,64.92634416,49.385079
51,17,65.18526483,41.02794
20,33,66.12910962,49.404516
4,47,65.03334856,49.38352
35,10,64.33714843,28.058742
52,32,64.94445634,49.390925
44,48,66.97425246,49.394555
48,42,65.2418294,49.396266
45,25,67.65313482,49.399117
37,20,65.73184276,46.669841
21,51,65.32757092,49.38793
48,9,64.56751323,26.510045
47,37,65.36887932,49.394072
41,28,64.45588994,49.403788
30,23,65.88684344,49.403318
28,16,65.4019568,39.138018
37,16,65.03024268,39.118855
31,36,66.27661967,49.382851
17,42,66.71008229,49.398491
50,19,66.30880427,44.827817
52,15,65.87771225,37.236349
22,3,65.5057199,24.814576
24,14,66.06878614,35.346102
30,36,66.5433166,49.400412
47,15,67.79932141,37.235411
