MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
body-pose-openpifpaf,regnety400mf-59p,128x96,lne,CPU,F32,0.2,4.7,19.0,3.8,43.8,6.9,54.5,18.3,124736.0,17.9,1.0,17.7,0.7,3.3,4.0,58.0,0.0,0.0,35.7,25.2,3.5,0.6
body-pose-openpifpaf,regnety400mf-59p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,117.1,5.6,126.5,7.9,53776.7,16.6,0.9,16.5,0.6,2.0,2.0,62.0,0.0,0.0,36.1,25.1,3.5,0.2
body-pose-openpifpaf,regnety400mf-59p,128x96,tensorrt,GPU,F16,0.2,4.7,9.5,3.8,49.1,4.0,56.9,17.6,119481.1,45.0,2.0,43.3,1.7,3.0,3.0,61.1,16.0,0.0,38.2,27.2,3.8,0.5
body-pose-openpifpaf,regnety400mf-59p,128x96,tensorrt,GPU,F32,0.2,4.7,19.0,3.8,44.5,4.0,52.3,19.1,129959.5,45.5,2.0,43.7,1.8,3.4,4.0,61.3,13.8,0.0,37.8,26.7,3.9,0.5
body-pose-openpifpaf,regnety400mf-59p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,119.8,7.5,131.2,7.6,51865.0,16.5,1.0,16.3,0.6,2.1,3.0,62.1,0.0,0.0,35.8,25.3,3.5,0.2
body-pose-openpifpaf,regnety400mf-59p,192x144,lne,CPU,F32,0.5,4.7,19.0,9.0,84.5,15.7,109.3,9.2,62263.7,17.4,0.9,17.3,0.7,4.1,5.0,60.1,0.0,0.0,35.6,24.9,3.6,0.6
body-pose-openpifpaf,regnety400mf-59p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.1,210.3,29.1,248.5,4.0,27373.9,16.8,0.9,16.8,0.7,2.7,3.0,61.9,0.0,0.0,36.3,25.5,3.6,0.3
body-pose-openpifpaf,regnety400mf-59p,192x144,tensorrt,GPU,F16,0.5,4.7,9.5,9.1,38.5,10.9,58.4,17.1,116493.3,45.8,2.1,44.1,1.8,4.5,5.0,62.0,15.5,0.0,38.4,27.3,3.9,1.1
body-pose-openpifpaf,regnety400mf-59p,192x144,tensorrt,GPU,F32,0.5,4.7,19.0,9.1,32.8,11.1,53.0,18.9,128413.5,46.7,2.1,44.9,1.8,4.9,6.0,62.7,15.5,0.0,38.3,26.8,4.0,1.2
body-pose-openpifpaf,regnety400mf-59p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.3,210.5,29.0,248.8,4.0,27347.1,16.7,1.0,16.6,0.7,2.8,3.0,62.2,0.0,0.0,36.1,25.3,3.6,0.3
body-pose-openpifpaf,regnety400mf-59p,256x192,lne,CPU,F32,0.9,4.7,19.0,12.4,138.5,22.9,173.8,5.8,39140.2,17.7,1.0,17.6,0.7,4.9,5.0,61.3,0.0,0.0,36.0,25.2,3.7,0.7
body-pose-openpifpaf,regnety400mf-59p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,12.1,307.1,41.5,360.6,2.8,18864.3,16.9,0.9,16.9,0.7,3.0,3.0,62.5,0.0,0.0,36.5,25.7,3.7,0.3
body-pose-openpifpaf,regnety400mf-59p,256x192,tensorrt,GPU,F16,0.9,4.7,9.5,11.5,45.5,17.8,74.8,13.4,91005.5,46.6,2.1,45.1,1.8,5.7,7.0,61.8,18.7,0.0,38.5,27.7,4.0,1.4
body-pose-openpifpaf,regnety400mf-59p,256x192,tensorrt,GPU,F32,0.9,4.7,19.0,11.6,32.1,17.9,61.5,16.3,110609.5,46.6,2.1,45.0,1.8,7.0,8.0,62.3,25.4,0.0,38.4,27.3,4.2,1.7
body-pose-openpifpaf,regnety400mf-59p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,12.1,307.2,41.2,360.6,2.8,18867.6,16.3,1.0,16.2,0.7,3.0,3.0,62.5,0.0,0.0,36.1,25.5,3.7,0.3
body-pose-openpifpaf,regnety400mf-86p,128x96,lne,CPU,F32,0.2,4.7,19.0,3.9,43.5,10.2,57.7,17.3,117977.2,17.5,0.9,17.3,0.7,3.8,4.0,58.3,0.0,0.0,35.7,25.1,3.5,0.5
body-pose-openpifpaf,regnety400mf-86p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,117.8,8.9,130.5,7.7,52135.2,16.9,0.9,16.8,0.7,2.0,3.0,62.1,0.0,0.0,35.9,25.2,3.6,0.2
body-pose-openpifpaf,regnety400mf-86p,128x96,tensorrt,GPU,F16,0.2,4.7,9.5,3.9,38.7,5.5,48.1,20.8,141450.5,45.5,2.1,43.7,1.8,3.2,4.0,63.1,10.2,0.0,38.1,27.3,3.7,0.6
body-pose-openpifpaf,regnety400mf-86p,128x96,tensorrt,GPU,F32,0.2,4.7,19.0,3.9,32.1,5.5,41.6,24.1,163638.9,45.6,2.0,43.6,1.8,3.8,4.0,62.1,19.1,0.0,37.7,26.9,3.9,0.7
body-pose-openpifpaf,regnety400mf-86p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,116.6,8.9,129.3,7.7,52621.0,15.9,0.9,15.8,0.6,2.1,3.0,62.2,0.0,0.0,35.6,25.2,3.5,0.2
body-pose-openpifpaf,regnety400mf-86p,192x144,lne,CPU,F32,0.5,4.7,19.0,9.3,84.8,22.5,116.6,8.6,58349.9,17.4,1.0,17.4,0.7,4.7,5.0,60.1,0.0,0.0,35.6,25.1,3.6,0.6
body-pose-openpifpaf,regnety400mf-86p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.4,211.6,40.4,261.3,3.8,26034.5,17.0,0.9,17.0,0.7,3.0,3.0,62.1,0.0,0.0,36.1,25.2,3.6,0.3
body-pose-openpifpaf,regnety400mf-86p,192x144,tensorrt,GPU,F16,0.5,4.7,9.5,9.1,37.8,17.4,64.3,15.5,105731.9,45.9,2.1,44.3,1.8,5.1,6.0,62.3,18.1,0.0,38.6,27.8,3.9,1.0
body-pose-openpifpaf,regnety400mf-86p,192x144,tensorrt,GPU,F32,0.5,4.7,19.0,9.1,33.2,17.7,59.9,16.7,113519.3,47.0,2.1,45.4,1.8,5.3,6.0,62.7,19.5,0.0,38.2,27.0,4.0,1.1
body-pose-openpifpaf,regnety400mf-86p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.4,211.1,40.4,260.9,3.8,26076.1,16.6,1.0,16.5,0.7,3.0,3.0,62.2,0.0,0.0,36.2,25.3,3.6,0.3
body-pose-openpifpaf,regnety400mf-86p,256x192,lne,CPU,F32,0.9,4.7,19.0,12.4,138.5,32.6,183.6,5.4,37062.9,17.9,1.0,17.9,0.7,5.7,6.0,61.3,0.0,0.0,35.8,25.3,3.7,0.6
body-pose-openpifpaf,regnety400mf-86p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,12.7,307.5,58.0,378.2,2.6,17988.9,17.2,1.0,17.2,0.7,3.0,3.0,62.4,0.0,0.0,36.5,25.7,3.6,0.3
body-pose-openpifpaf,regnety400mf-86p,256x192,tensorrt,GPU,F16,0.9,4.7,9.5,12.5,32.7,41.6,86.7,11.5,78426.8,46.2,2.1,44.9,1.8,7.2,8.0,63.8,14.3,0.0,38.6,27.5,4.0,1.3
body-pose-openpifpaf,regnety400mf-86p,256x192,tensorrt,GPU,F32,0.9,4.7,19.0,11.9,32.3,29.3,73.5,13.6,92603.7,47.4,2.1,45.8,1.8,7.4,8.0,63.1,32.6,0.0,38.5,27.2,4.2,1.4
body-pose-openpifpaf,regnety400mf-86p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,12.2,306.6,58.8,377.5,2.6,18019.0,16.8,1.0,16.8,0.7,3.0,3.0,62.7,0.0,0.0,36.5,25.6,3.7,0.3
body-pose-openpifpaf,regnety400mf-hands,128x96,lne,CPU,F32,0.2,4.7,19.0,3.9,43.6,2.4,49.8,20.1,136581.3,17.0,0.9,16.9,0.7,3.0,4.0,58.3,0.0,0.0,36.2,25.4,3.5,0.6
body-pose-openpifpaf,regnety400mf-hands,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,117.2,4.2,125.2,8.0,54329.5,16.4,0.9,16.3,0.6,2.0,2.0,62.1,0.0,0.0,36.2,25.4,3.6,0.2
body-pose-openpifpaf,regnety400mf-hands,128x96,tensorrt,GPU,F16,0.2,4.7,9.5,3.8,38.3,3.1,45.3,22.1,150338.6,44.3,2.0,42.5,1.7,2.9,3.0,62.5,20.1,0.0,38.1,27.5,3.9,0.6
body-pose-openpifpaf,regnety400mf-hands,128x96,tensorrt,GPU,F32,0.2,4.7,19.0,3.9,32.6,3.1,39.6,25.2,171771.2,44.0,2.0,42.1,1.7,3.6,4.0,62.6,32.6,0.0,38.0,26.8,4.1,0.7
body-pose-openpifpaf,regnety400mf-hands,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.8,116.2,4.4,124.4,8.0,54696.4,16.8,0.9,16.7,0.7,2.1,4.0,62.0,0.0,0.0,36.1,25.4,3.6,0.2
body-pose-openpifpaf,regnety400mf-hands,192x144,lne,CPU,F32,0.5,4.7,19.0,9.1,84.9,14.7,108.7,9.2,62575.0,17.2,0.9,17.1,0.7,3.9,4.0,59.9,0.0,0.0,35.7,25.0,3.6,0.6
body-pose-openpifpaf,regnety400mf-hands,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.4,209.3,25.8,244.4,4.1,27830.0,18.0,1.0,17.9,0.7,2.3,3.0,62.2,0.0,0.0,36.1,25.4,3.6,0.3
body-pose-openpifpaf,regnety400mf-hands,192x144,tensorrt,GPU,F16,0.5,4.7,9.5,9.0,47.7,7.6,64.3,15.5,105762.6,45.2,2.0,43.6,1.8,4.0,5.0,61.8,15.0,0.0,38.6,27.5,4.0,1.0
body-pose-openpifpaf,regnety400mf-hands,192x144,tensorrt,GPU,F32,0.5,4.7,19.0,9.3,42.4,7.7,59.4,16.8,114560.9,45.8,2.1,44.1,1.8,4.6,5.0,62.0,17.5,0.0,38.1,27.0,4.0,1.1
body-pose-openpifpaf,regnety400mf-hands,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,9.1,209.9,25.4,244.4,4.1,27836.6,15.6,0.9,15.6,0.6,2.2,3.0,62.1,0.0,0.0,36.2,25.5,3.6,0.3
