MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
body-pose-openpifpaf,regnety400mf-59p,128x96,lne,CPU,F32,0.2,4.7,19.0,3.2,41.4,10.3,54.8,18.2,129113.5,18.5,0.5,0.0,0.0,0.0,0.0,41.8,0.0,0.0,65.1,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.2,101.0,9.9,114.1,8.8,62025.9,18.1,0.5,0.0,0.0,0.0,0.0,52.2,0.0,0.0,66.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,192x144,lne,CPU,F32,0.5,4.7,19.0,6.8,86.6,32.5,125.9,7.9,56246.2,18.4,0.5,0.0,0.0,0.0,0.0,53.2,0.0,0.0,66.6,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,6.9,192.5,26.1,225.5,4.4,31402.0,18.1,0.5,0.0,0.0,0.0,0.0,52.6,0.0,0.0,67.2,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,256x192,lne,CPU,F32,0.9,4.7,19.0,9.5,141.3,55.8,206.6,4.8,34269.3,19.2,0.6,0.0,0.0,0.0,0.0,54.4,0.0,0.0,66.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-59p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,9.1,300.3,36.4,345.8,2.9,20475.1,18.8,0.5,0.0,0.0,0.0,0.0,54.2,0.0,0.0,68.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,128x96,lne,CPU,F32,0.2,4.7,19.0,3.2,41.6,14.9,59.6,16.8,118703.5,18.9,0.5,0.0,0.0,0.0,0.0,50.7,0.0,0.0,65.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.2,103.3,12.3,118.8,8.4,59616.3,17.9,0.5,0.0,0.0,0.0,0.0,53.4,0.0,0.0,66.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,192x144,lne,CPU,F32,0.5,4.7,19.0,7.2,86.5,49.2,142.9,7.0,49532.2,18.6,0.5,0.0,0.0,0.0,0.0,53.4,0.0,0.0,66.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,192x144,onnxruntime,CPU,F32,0.5,4.7,19.0,7.1,194.9,34.5,236.5,4.2,29942.9,18.2,0.5,0.0,0.0,0.0,0.0,53.3,0.0,0.0,67.3,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,256x192,lne,CPU,F32,0.9,4.7,19.0,9.7,140.4,79.9,230.0,4.3,30779.9,18.9,0.6,0.0,0.0,0.0,0.0,53.1,0.0,0.0,66.9,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-86p,256x192,onnxruntime,CPU,F32,0.9,4.7,19.0,9.3,302.9,50.9,363.1,2.8,19497.0,18.6,0.5,0.0,0.0,0.0,0.0,54.4,0.0,0.0,68.3,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,128x96,lne,CPU,F32,0.2,4.7,19.0,3.6,46.5,3.9,54.0,18.5,131171.4,18.2,0.5,0.0,0.0,0.0,0.0,70.8,0.0,0.0,68.0,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,128x96,onnxruntime,CPU,F32,0.2,4.7,19.0,3.2,101.4,7.4,112.0,8.9,63209.0,17.4,0.5,0.0,0.0,0.0,0.0,52.9,0.0,0.0,67.4,0.0,0.0,0.0
body-pose-openpifpaf,regnety400mf-hands,192x144,lne,CPU,F32,0.5,4.7,19.0,6.9,86.4,24.6,117.9,8.5,60075.6,18.7,0.5,0.0,0.0,0.0,0.0,53.0,0.0,0.0,66.0,0.0,0.0,0.0
