MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
emotion-classic-light-112x96,default_onnx,96x112,lne,GPU/CPU,F32,0.4,2.7,10.8,4.1,46.3,0.0,50.4,19.8,66639.0,30.6,0.4,0.0,0.0,0.0,0.0,46.1,0.0,0.0,49.8,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,lne,GPU/CPU,F32,0.2,0.1,0.6,4.3,56.2,0.0,60.6,16.5,55422.7,30.2,0.4,0.0,0.0,0.0,0.0,47.2,0.0,0.0,49.4,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,ncnn,GPU,F16,0.2,0.1,0.3,4.2,348.4,0.3,352.9,2.8,9520.7,33.8,0.4,0.0,0.0,0.0,0.0,30.1,0.0,0.0,53.5,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,ncnn,GPU,F32,0.2,0.1,0.6,4.2,348.4,0.3,352.9,2.8,9520.5,33.6,0.4,0.0,0.0,0.0,0.0,30.2,0.0,0.0,52.9,0.0,0.0,0.0
emotion-classic-light-112x96,moonshine_onnx,96x112,onnxruntime,CPU,F32,0.2,0.1,0.6,4.4,125.5,0.1,130.0,7.7,25848.1,30.2,0.4,0.0,0.0,0.0,0.0,52.8,0.0,0.0,51.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,lne,GPU/CPU,F32,0.6,0.4,1.6,4.1,73.3,0.0,77.5,12.9,43378.9,30.0,0.4,0.0,0.0,0.0,0.0,47.8,0.0,0.0,50.4,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,ncnn,GPU,F16,0.6,0.4,0.8,4.1,320.6,0.3,325.1,3.1,10335.9,34.0,0.4,0.0,0.0,0.0,0.0,30.3,0.0,0.0,53.7,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,ncnn,GPU,F32,0.6,0.4,1.6,4.1,320.9,0.3,325.4,3.1,10326.1,34.0,0.4,0.0,0.0,0.0,0.0,30.3,0.0,0.0,53.3,0.0,0.0,0.0
emotion-classic-light-112x96,student_g1,96x112,onnxruntime,CPU,F32,0.6,0.4,1.6,4.1,220.1,0.1,224.3,4.5,14982.1,29.6,0.4,0.0,0.0,0.0,0.0,52.9,0.0,0.0,52.6,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,lne,GPU/CPU,F32,0.1,0.1,0.3,4.7,57.4,0.0,62.1,16.1,54095.7,29.6,0.4,0.0,0.0,0.0,0.0,47.8,0.0,0.0,50.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,ncnn,GPU,F16,0.1,0.1,0.2,4.2,223.0,0.3,227.5,4.4,14767.5,33.8,0.4,0.0,0.0,0.0,0.0,31.1,0.0,0.0,52.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,ncnn,GPU,F32,0.1,0.1,0.3,4.2,223.3,0.4,227.8,4.4,14750.3,34.0,0.4,0.0,0.0,0.0,0.0,31.2,0.0,0.0,51.5,0.0,0.0,0.0
emotion-classic-light-112x96,student_g16,96x112,onnxruntime,CPU,F32,0.1,0.1,0.3,4.4,92.6,0.2,97.2,10.3,34566.0,29.8,0.4,0.0,0.0,0.0,0.0,52.2,0.0,0.0,50.4,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,lne,GPU/CPU,F32,0.4,0.2,0.9,4.4,59.3,0.0,63.7,15.7,52728.6,29.9,0.4,0.0,0.0,0.0,0.0,47.6,0.0,0.0,49.4,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,ncnn,GPU,F16,0.4,0.2,0.5,4.2,572.7,0.3,577.2,1.7,5820.8,32.7,0.4,0.0,0.0,0.0,0.0,29.8,0.0,0.0,54.5,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,ncnn,GPU,F32,0.4,0.2,0.9,4.2,572.7,0.3,577.2,1.7,5821.5,33.2,0.4,0.0,0.0,0.0,0.0,29.7,0.0,0.0,53.1,0.0,0.0,0.0
emotion-classic-light-112x96,student_g2,96x112,onnxruntime,CPU,F32,0.4,0.2,0.9,4.1,169.3,0.2,173.6,5.8,19353.6,29.3,0.4,0.0,0.0,0.0,0.0,52.6,0.0,0.0,51.2,0.0,0.0,0.0
emotion-classic-light-112x96,student_g32,96x112,lne,GPU/CPU,F32,0.1,0.1,0.3,4.7,61.3,0.0,66.1,15.1,50867.4,29.8,0.4,0.0,0.0,0.0,0.0,47.9,0.0,0.0,50.1,0.0,0.0,0.0
emotion-classic-light-112x96,student_g32,96x112,ncnn,GPU,F16,0.1,0.1,0.1,4.2,224.9,0.3,229.4,4.4,14646.8,33.7,0.4,0.0,0.0,0.0,0.0,31.1,0.0,0.0,52.0,0.0,0.0,0.0
emotion-classic-light-112x96,student_g32,96x112,ncnn,GPU,F32,0.1,0.1,0.3,4.2,225.1,0.3,229.5,4.4,14638.1,33.5,0.4,0.0,0.0,0.0,0.0,31.1,0.0,0.0,51.6,0.0,0.0,0.0
