MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,CPU,F32,43.8,0.3,0.2,0.9,9.7,65.0,6.6,81.3,12.3,83705.6,17.3,0.5,17.1,0.7,3.7,4.0,59.2,0.0,0.0,34.2,22.8,3.5,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,9.7,156.6,14.0,180.3,5.5,37731.6,16.0,0.5,16.0,0.6,2.0,2.0,61.8,0.0,0.0,34.6,23.1,3.6,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,GPU/CPU,F32,43.8,0.3,0.2,0.9,7.0,46.2,5.2,58.5,17.1,116330.8,42.2,1.4,41.8,1.7,3.9,4.0,59.5,3.5,0.0,34.9,23.5,3.7,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,tensorrt,GPU,F16,43.8,0.3,0.2,0.5,7.1,11.6,6.6,25.3,39.5,268700.6,51.8,1.8,49.5,2.0,4.6,5.0,57.2,5.1,0.0,37.5,25.9,3.6,1.8
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,tensorrt,GPU,F32,43.8,0.3,0.2,0.9,7.1,10.9,6.8,24.8,40.3,274164.9,52.3,1.8,49.9,2.0,4.8,5.0,56.8,4.6,0.0,36.9,25.1,3.8,1.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F16,43.8,0.3,0.2,0.5,7.1,17.8,8.4,33.2,30.1,204669.2,25.0,0.8,24.6,1.0,3.8,4.0,52.6,16.6,0.0,35.7,24.2,3.8,1.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,ncnn,GPU,F32,43.8,0.3,0.2,0.9,7.1,17.5,8.4,33.0,30.3,205925.2,25.0,0.8,24.6,1.0,3.6,4.0,52.9,11.3,0.0,35.7,24.5,3.8,1.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,9.7,156.9,13.6,180.2,5.5,37754.9,22.0,0.8,22.0,0.9,2.0,2.0,62.0,0.0,0.0,35.2,23.8,3.6,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,CPU,F32,31.9,0.2,0.2,0.9,5.3,38.8,3.1,47.2,21.2,144045.6,17.9,0.5,17.7,0.7,3.0,3.0,57.9,0.0,0.0,33.8,22.7,3.5,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,4.5,85.3,9.3,99.0,10.1,68697.8,16.7,0.5,16.6,0.6,2.0,2.0,61.3,0.0,0.0,34.3,22.8,3.5,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,GPU/CPU,F32,31.9,0.2,0.2,0.9,4.5,30.6,3.2,38.3,26.1,177495.2,41.9,1.5,41.5,1.7,3.2,4.0,58.6,3.3,0.0,34.8,23.2,3.5,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,tensorrt,GPU,F16,31.9,0.2,0.2,0.5,4.6,9.6,4.3,18.5,54.1,367729.5,51.2,1.9,48.6,2.0,3.9,5.0,58.2,1.8,0.0,37.2,25.2,3.6,1.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,tensorrt,GPU,F32,31.9,0.2,0.2,0.9,4.6,11.3,4.2,20.2,49.5,336616.4,52.1,2.0,49.6,2.0,4.0,5.0,57.9,10.5,0.0,36.4,24.7,3.5,1.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F16,31.9,0.2,0.2,0.5,4.6,12.0,5.6,22.1,45.2,307310.8,25.1,0.9,24.7,1.0,2.9,3.0,52.7,3.9,0.0,35.4,23.9,3.5,1.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,ncnn,GPU,F32,31.9,0.2,0.2,0.9,4.6,12.0,5.7,22.3,44.8,305069.0,25.1,0.9,24.6,1.0,2.9,3.0,53.0,9.1,0.0,35.5,24.0,3.5,1.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,4.5,89.6,8.9,102.9,9.7,66089.7,22.8,0.9,22.7,0.9,2.0,2.0,61.6,0.0,0.0,34.9,23.5,3.5,0.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,CPU,F32,41.7,0.3,0.2,0.9,7.9,52.0,5.2,65.1,15.4,104483.0,17.4,0.5,17.3,0.7,3.0,4.0,58.4,0.0,0.0,34.2,22.6,3.5,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,7.8,130.6,9.3,147.7,6.8,46075.1,17.2,0.5,17.1,0.7,2.0,2.0,61.7,0.0,0.0,34.4,23.0,3.5,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,GPU/CPU,F32,41.7,0.3,0.2,0.9,5.7,39.2,4.5,49.4,20.3,137781.4,41.7,1.6,41.3,1.7,3.7,4.0,59.0,2.6,0.0,34.4,23.2,3.6,0.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,tensorrt,GPU,F16,41.7,0.3,0.2,0.5,5.7,12.1,5.6,23.4,42.7,290329.5,51.2,1.9,48.9,2.0,4.1,5.0,57.1,16.2,0.0,37.5,25.4,3.7,1.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,tensorrt,GPU,F32,41.7,0.3,0.2,0.9,5.8,8.7,5.4,19.9,50.3,342345.8,51.4,1.9,48.9,2.0,4.7,5.0,57.7,11.4,0.0,36.6,24.8,3.6,1.8
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F16,41.7,0.3,0.2,0.5,5.8,14.8,7.0,27.6,36.2,246389.4,25.5,1.0,25.1,1.0,3.4,4.0,53.5,15.7,0.0,35.6,23.7,3.7,1.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,ncnn,GPU,F32,41.7,0.3,0.2,0.9,5.7,14.8,7.0,27.6,36.3,246780.3,25.5,1.0,25.1,1.0,3.3,4.0,53.3,16.0,0.0,35.2,23.9,3.6,1.3
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,7.8,132.6,8.5,148.9,6.7,45698.3,22.0,1.0,21.9,0.9,2.0,2.0,61.6,0.0,0.0,34.9,23.3,3.5,0.2
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,lne,CPU,F32,73.9,1.3,0.2,0.9,24.9,263.6,19.9,308.3,3.2,22063.2,20.1,0.6,20.1,0.8,6.1,7.0,62.7,0.0,0.0,35.3,23.7,3.7,0.6
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,onnxruntime,CPU,F32,73.9,1.3,0.2,0.9,36.8,515.4,41.6,593.9,1.7,11455.6,18.2,0.5,18.2,0.7,3.0,3.0,62.7,0.0,0.0,36.1,24.6,3.7,0.3
