MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,lne,CPU,F32,43.8,0.3,0.2,0.9,19.3,154.9,14.4,188.6,5.3,14249.5,40.5,0.3,0.0,0.0,0.0,0.0,87.0,0.0,0.0,72.7,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x320,onnxruntime,CPU,F32,43.8,0.3,0.2,0.9,21.5,309.2,34.6,365.4,2.7,7356.5,38.7,0.3,0.0,0.0,0.0,0.0,86.3,0.0,0.0,72.8,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,lne,CPU,F32,31.9,0.2,0.2,0.9,11.8,86.1,7.6,105.5,9.5,25480.0,39.4,0.3,0.0,0.0,0.0,0.0,84.8,0.0,0.0,72.2,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x185,onnxruntime,CPU,F32,31.9,0.2,0.2,0.9,9.9,196.7,16.7,223.3,4.5,12037.0,37.0,0.3,0.0,0.0,0.0,0.0,86.3,0.0,0.0,72.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,lne,CPU,F32,41.7,0.3,0.2,0.9,15.2,117.6,10.4,143.1,7.0,18780.6,40.5,0.3,0.0,0.0,0.0,0.0,87.3,0.0,0.0,72.5,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,320x250,onnxruntime,CPU,F32,41.7,0.3,0.2,0.9,12.6,246.2,21.8,280.5,3.6,9581.7,36.7,0.3,0.0,0.0,0.0,0.0,87.8,0.0,0.0,72.9,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,lne,CPU,F32,73.9,1.3,0.2,0.9,58.3,642.2,50.3,750.9,1.3,3579.9,47.3,0.4,0.0,0.0,0.0,0.0,89.0,0.0,0.0,75.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x640,onnxruntime,CPU,F32,73.9,1.3,0.2,0.9,81.4,1104.9,103.7,1290.0,0.8,2083.7,40.9,0.3,0.0,0.0,0.0,0.0,87.9,0.0,0.0,76.4,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,lne,CPU,F32,67.2,0.8,0.2,0.9,43.9,377.2,39.2,460.3,2.2,5840.2,40.8,0.3,0.0,0.0,0.0,0.0,87.5,0.0,0.0,75.0,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x380,onnxruntime,CPU,F32,67.2,0.8,0.2,0.9,51.0,674.9,81.2,807.1,1.2,3330.4,37.2,0.3,0.0,0.0,0.0,0.0,85.9,0.0,0.0,75.3,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,lne,CPU,F32,72.3,1.0,0.2,0.9,63.8,474.9,50.9,589.6,1.7,4558.8,40.9,0.3,0.0,0.0,0.0,0.0,87.5,0.0,0.0,75.1,0.0,0.0,0.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-12-48,640x480,onnxruntime,CPU,F32,72.3,1.0,0.2,0.9,52.9,834.1,85.9,972.9,1.0,2762.9,36.7,0.3,0.0,0.0,0.0,0.0,86.5,0.0,0.0,75.8,0.0,0.0,0.0
