MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
headpose-rankpose,mobilefacenetfc512,112x112,lne,CPU,F32,4.4,0.5,6.2,25.0,4.2,168.8,0.1,173.0,5.8,15537.3,41.4,0.3,0.0,0.0,0.0,0.0,86.0,0.0,0.0,73.5,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,112x112,onnxruntime,CPU,F32,4.4,0.5,6.2,25.0,4.0,488.1,0.1,492.2,2.0,5461.1,41.2,0.3,0.0,0.0,0.0,0.0,87.5,0.0,0.0,74.9,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,192x224,lne,CPU,F32,4.63,1.6,6.3,25.2,7.3,558.9,0.1,566.3,1.8,4746.8,40.9,0.3,0.0,0.0,0.0,0.0,89.0,0.0,0.0,77.5,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,192x224,onnxruntime,CPU,F32,4.63,1.6,6.3,25.2,7.1,1127.4,0.1,1134.6,0.9,2369.2,40.5,0.3,0.0,0.0,0.0,0.0,87.7,0.0,0.0,78.0,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,224x224,lne,CPU,F32,4.43,1.9,6.3,25.3,8.5,764.5,0.1,773.1,1.3,3476.9,41.1,0.3,0.0,0.0,0.0,0.0,88.1,0.0,0.0,77.4,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,224x224,onnxruntime,CPU,F32,4.43,1.9,6.3,25.3,8.2,1400.0,0.1,1408.2,0.7,1908.8,42.1,0.3,0.0,0.0,0.0,0.0,88.4,0.0,0.0,78.6,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,96x112,lne,CPU,F32,4.63,0.4,6.2,25.0,3.9,146.4,0.1,150.4,6.6,17873.4,40.9,0.3,0.0,0.0,0.0,0.0,87.3,0.0,0.0,74.8,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,96x112,onnxruntime,CPU,F32,4.63,0.4,6.2,25.0,3.6,437.1,0.1,440.8,2.3,6097.9,40.6,0.3,0.0,0.0,0.0,0.0,88.7,0.0,0.0,75.6,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512onlypose,96x112,lne,CPU,F32,4.34,0.4,3.0,12.1,3.6,165.4,0.0,169.1,5.9,15896.3,39.0,0.3,0.0,0.0,0.0,0.0,87.0,0.0,0.0,74.6,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512onlypose,96x112,onnxruntime,CPU,F32,4.34,0.4,3.0,12.1,3.7,388.3,0.1,392.0,2.6,6857.0,39.1,0.3,0.0,0.0,0.0,0.0,88.5,0.0,0.0,75.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetonlyposefc512,112x112,lne,CPU,F32,4.38,0.5,3.0,12.1,4.1,196.7,0.0,200.9,5.0,13382.6,39.4,0.3,0.0,0.0,0.0,0.0,88.3,0.0,0.0,74.6,0.0,0.0,0.0
headpose-rankpose,mobilefacenetonlyposefc512,112x112,onnxruntime,CPU,F32,4.38,0.5,3.0,12.1,4.2,435.9,0.1,440.1,2.3,6107.1,39.6,0.3,0.0,0.0,0.0,0.0,88.0,0.0,0.0,75.7,0.0,0.0,0.0
