MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
imagenet-alexnet,benchmark,227x227,lne,CPU,F32,56.6,1.4,61.0,243.9,4.8,197.3,0.0,202.1,4.9,33665.6,29.1,0.7,28.9,1.1,6.8,8.0,62.3,0.0,0.0,35.2,24.0,3.9,0.9
imagenet-alexnet,benchmark,227x227,lne,GPU/CPU,F32,56.6,1.4,61.0,243.9,4.5,49.3,0.0,53.9,18.5,126171.9,50.5,1.9,49.6,2.0,11.0,15.0,57.0,5.9,0.0,34.3,23.4,4.1,3.1
imagenet-efficientb0,default,224x224,lne,CPU,F32,77.1,0.8,5.3,21.1,3.8,265.7,0.0,269.6,3.7,25238.2,23.3,0.5,23.3,0.9,4.0,4.0,62.1,0.0,0.0,35.4,23.9,3.7,0.4
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,3.8,533.3,0.1,537.2,1.9,12663.3,23.2,0.5,23.2,0.9,3.0,3.0,63.5,0.0,0.0,36.2,24.8,3.7,0.2
imagenet-efficientb0,default,224x224,lne,GPU/CPU,F32,77.1,0.8,5.3,21.1,3.8,127.6,0.0,131.5,7.6,51744.5,41.6,1.6,41.3,1.6,11.0,13.0,60.4,15.1,0.0,34.1,23.3,4.2,0.7
imagenet-efficientb0,default,224x224,tensorrt,GPU,F16,77.1,0.8,5.3,10.5,3.7,25.3,0.6,29.6,33.8,229757.1,50.3,2.1,47.9,1.9,9.4,10.0,56.3,36.4,0.0,38.4,27.2,4.3,3.1
imagenet-efficientb0,default,224x224,tensorrt,GPU,F32,77.1,0.8,5.3,21.1,3.8,27.3,0.5,31.6,31.7,215441.1,50.8,2.1,48.4,2.0,10.6,12.0,54.3,42.4,0.0,38.1,26.3,4.6,2.8
imagenet-efficientb0,default,224x224,ncnn,GPU,F16,77.1,0.8,5.3,10.5,3.7,22.8,0.4,26.9,37.2,253101.5,23.9,1.0,23.3,0.9,6.1,7.0,51.4,11.9,0.0,34.7,24.1,4.0,3.7
imagenet-efficientb0,default,224x224,ncnn,GPU,F32,77.1,0.8,5.3,21.1,3.7,22.8,0.4,26.9,37.2,252787.0,23.7,1.0,23.2,0.9,6.0,7.0,51.1,36.9,0.0,35.2,24.5,4.1,3.6
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,3.7,532.6,0.1,536.3,1.9,12683.9,20.5,1.0,20.5,0.8,3.0,4.0,63.7,0.0,0.0,34.1,23.4,3.7,0.2
imagenet-googlenet,benchmark,224x224,lne,CPU,F32,66.5,3.2,7.0,28.0,3.7,305.2,0.0,308.9,3.2,22023.0,25.2,0.6,25.1,1.0,4.0,4.0,62.7,0.0,0.0,36.4,24.9,3.8,1.4
imagenet-googlenet,benchmark,224x224,lne,GPU/CPU,F32,66.5,3.2,7.0,28.0,3.6,103.6,0.0,107.3,9.3,63413.5,42.4,1.7,42.0,1.7,9.2,11.0,61.2,16.0,0.0,34.5,23.2,4.3,3.5
imagenet-mobilenet,default,224x224,lne,CPU,F32,69.5,1.1,4.2,16.9,6.0,132.0,0.0,138.0,7.2,49298.2,23.1,0.5,23.0,0.9,3.0,3.0,61.5,0.0,0.0,35.2,24.0,3.8,1.1
imagenet-mobilenet,default,224x224,lne,GPU/CPU,F32,69.5,1.1,4.2,16.9,5.8,30.3,0.0,36.1,27.7,188321.9,39.9,1.6,39.3,1.6,7.6,10.0,57.6,25.0,0.0,34.6,23.8,4.3,3.7
imagenet-mobilenet-v2,fp32,224x224,lne,CPU,F32,71.8,0.6,3.5,14.0,5.8,137.1,0.0,143.0,7.0,47581.5,23.3,0.5,23.2,0.9,3.7,4.0,61.4,0.0,0.0,34.9,23.6,3.7,0.6
imagenet-mobilenet-v2,fp32,224x224,onnxruntime,CPU,F32,71.8,0.6,3.5,14.0,6.0,259.2,0.1,265.2,3.8,25652.0,22.6,0.5,22.5,0.9,2.4,3.0,63.7,0.0,0.0,35.7,24.4,3.7,0.3
imagenet-mobilenet-v2,fp32,224x224,lne,GPU/CPU,F32,71.8,0.6,3.5,14.0,5.8,37.1,0.0,42.9,23.3,158549.4,40.5,1.7,40.0,1.6,7.0,9.0,59.6,16.3,0.0,34.4,23.2,4.1,1.7
imagenet-mobilenet-v2,fp32,224x224,tensorrt,GPU,F16,71.8,0.6,3.5,7.0,5.8,13.6,0.5,19.9,50.3,342270.5,50.8,2.1,48.0,2.0,6.6,7.0,54.3,36.0,0.0,37.0,25.6,4.2,3.6
