var_0,var_1,var_2,time,memory
33,13,7,29.279321432113647,7.895937
6,49,36,29.53189969062805,11.348686
14,26,9,29.800278186798096,8.433452
26,24,15,29.7865948677063,10.162535
14,6,18,29.768644094467163,10.999363
4,45,27,29.92737293243408,11.348634
32,51,24,29.95409202575684,11.348099
4,45,8,30.05047369003296,8.158368
39,11,35,30.080565452575684,11.347736
39,11,49,30.073729753494263,11.349818
24,42,44,30.24431824684143,11.34899
5,42,17,30.28666639328003,10.73145
18,38,40,30.176859855651852,11.349294
40,21,51,30.231658697128296,11.349817
5,32,37,30.25719404220581,11.349516
17,39,30,30.494527339935303,11.346629
20,8,17,30.548109769821167,10.733686
10,35,21,30.22647380828857,11.339813
33,18,33,30.607649326324463,11.349148
18,15,46,30.741607189178467,11.349001
4,36,42,29.829068422317505,11.342139
19,30,51,29.76310777664185,11.341654
18,25,5,29.50574779510498,7.461614
16,37,7,29.58521842956543,7.888271
23,17,7,29.779865980148315,7.888123
36,48,17,29.88208675384521,10.72744
4,45,29,29.689854383468628,11.341946
21,23,43,29.60094094276428,11.341975
22,20,20,29.84609866142273,11.285781
52,39,42,30.13037419319153,11.34187
25,43,15,29.731055974960327,10.154436
49,33,33,29.862660884857178,11.342361
8,15,16,29.791378498077396,10.444259
51,50,41,30.083972215652462,11.342204
49,5,36,30.35600543022156,11.341234
9,41,21,29.96115493774414,11.332355
11,23,42,29.862387657165527,11.342176
40,40,28,29.736841917037964,11.341415
47,13,51,30.361693143844604,11.342242
15,6,45,30.12247323989868,11.342095
12,13,8,29.930792570114136,8.152482
27,43,7,30.08100843429565,7.888958
39,32,30,29.569449186325077,11.342492
19,27,32,29.999460220336918,11.342112
7,15,52,30.086386680603027,11.342491
31,35,15,30.491411685943604,10.155292
22,51,12,30.253663539886475,9.287793
47,41,35,29.85168766975403,11.342154
36,39,43,30.348556518554688,11.342125
20,44,33,29.811925411224365,11.342565
7,35,39,30.428285360336304,11.342463
46,30,52,30.409236192703247,11.342511
47,15,44,29.93523931503296,11.342309
35,13,46,29.87108325958252,11.342495
40,48,12,30.46020269393921,9.287824
42,40,28,29.929041862487797,11.342239
19,5,4,29.92561149597168,7.381708
52,41,40,30.60185718536377,11.342226
5,26,14,30.45811700820923,9.86727
39,4,51,30.583069801330566,11.342462
49,45,22,28.854053258895878,11.334307
10,29,39,28.983480215072632,11.343441
7,19,13,28.986713886260983,9.578082
45,25,13,29.035217761993408,9.577892
38,39,6,28.719871282577515,7.650984
45,48,11,28.886650562286377,9.000657
43,16,48,28.92453622817993,11.343686
11,11,24,28.89355778694153,11.341912
10,17,14,29.04004406929016,9.868642
22,31,32,29.12586617469788,11.343525
14,6,50,28.971901655197144,11.343281
48,27,5,29.251908540725708,7.462782
24,18,22,29.582257747650143,11.334483
6,34,51,29.659509897232056,11.343513
48,42,22,29.676204681396484,11.334307
22,44,36,29.667728424072266,11.342949
50,47,36,29.729944229125977,11.342916
44,19,32,29.812512397766117,11.343469
8,23,22,29.71906018257141,11.333982
36,40,45,29.75285267829895,11.343749
14,34,41,30.06725549697876,11.340143
10,49,22,30.07654309272766,11.3355
29,4,35,30.11360645294189,11.344362
13,42,38,30.606683254241943,11.344535
35,21,8,30.17779517173767,8.154469
13,12,21,30.159812927246094,11.335498
8,9,32,30.62950611114502,11.344712
6,48,26,30.657225847244263,11.34461
15,50,14,30.444652795791622,9.869629
42,22,31,29.96254515647888,11.344709
26,41,51,30.903122663497925,11.344267
37,23,31,30.272701740264893,11.34458
31,18,26,30.24579906463623,11.344474
39,28,18,30.59613800048828,10.994655
33,24,25,30.352660179138184,11.340166
40,43,7,30.766441822052,7.89115
27,42,20,30.59862208366394,11.288142
45,4,38,30.245606184005737,11.344565
10,6,47,30.94093132019043,11.345028
29,6,39,30.24449324607849,11.339524
