nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,ex_memory,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam
0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.5646629333496094,11756067,38,67,188.75238711200493,98.36,11.22,8
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.033035993576049805,11756067,38,67,179.43505232278252,98.36,11.22,8
2,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.02997422218322754,11756067,38,67,177.5266533979349,98.36,11.22,8
3,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.03099679946899414,11756067,38,67,195.17801705044553,98.36,11.22,8
4,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.036824703216552734,11756067,38,67,185.5678844644646,98.36,11.22,8
5,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0895233154296875,11756067,38,67,183.5905676978129,98.36,11.22,8
6,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.03200078010559082,11756067,38,67,212.27521587568407,98.36,11.22,8
7,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.03197288513183594,11756067,38,67,201.95634818913587,98.36,11.22,8
8,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.03699898719787598,11756067,38,67,199.77084478163715,98.36,11.22,8
9,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.036000967025756836,11756067,38,67,193.0279031371164,98.36,11.22,8
10,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0385439395904541,11756067,38,67,183.53542839742192,98.36,11.22,8
11,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.04064583778381348,11756067,38,67,181.55319929669645,98.36,11.22,8
12,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.03605985641479492,11756067,38,67,188.9612862445992,98.36,11.22,8
13,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.05920219421386719,11756067,38,67,179.64966633394144,98.36,11.22,8
14,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.062127113342285156,11756067,38,67,177.6996189253303,98.36,11.22,8
15,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0319979190826416,11756067,38,67,196.66121526534502,98.36,11.22,8
16,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.03292727470397949,11756067,38,67,186.98601442092823,98.36,11.22,8
17,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.04132723808288574,11756067,38,67,185.0113885716887,98.36,11.22,8
18,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.03928065299987793,11756067,38,67,190.45058445445775,98.36,11.22,8
19,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.03199958801269531,11756067,38,67,181.08419305314578,98.36,11.22,8
20,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.030001163482666016,11756067,38,67,179.1211255419176,98.36,11.22,8
21,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.03496956825256348,11756067,38,67,197.30342078843157,98.36,11.22,8
22,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.04755902290344238,11756067,38,67,187.63580608377399,98.36,11.22,8
23,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.03999781608581543,11756067,38,67,185.5797472925365,98.36,11.22,8
24,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.03400087356567383,11756067,38,67,175.8987255732154,98.36,11.22,8
25,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.03634500503540039,11756067,38,67,167.16787423243719,98.36,11.22,8
26,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.03899812698364258,11756067,38,67,165.3413728173343,98.36,11.22,8
27,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.03299665451049805,11756067,38,67,190.8777911857602,98.36,11.22,8
28,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.03760814666748047,11756067,38,67,181.50297407476614,98.36,11.22,8
29,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.030947446823120117,11756067,38,67,179.51583265382317,98.36,11.22,8
