var_0,var_1,var_2,time,memory
4,45,8,33.750197410583496,4.144801
10,35,21,33.707860708236694,7.335675
33,18,33,33.745895862579346,7.338307
14,26,9,33.78741121292114,4.419221
33,13,7,34.33670616149902,3.891149
4,45,27,34.420241832733154,7.338638
14,6,18,34.51699376106262,6.993605
17,39,30,34.54883885383606,7.33229
26,24,15,34.58691477775574,6.155002
5,32,37,34.59692025184631,7.344618
20,8,17,34.730812311172485,6.719458
39,11,35,34.73358750343323,7.333669
5,42,17,34.738566398620605,6.716947
24,42,44,34.74075150489807,7.336332
18,15,46,35.3335394859314,7.335711
18,38,40,35.43042874336243,7.342639
40,21,51,35.45300245285034,7.339704
39,11,49,35.45700192451477,7.340526
6,49,36,35.47199749946594,7.336802
32,51,24,35.48518705368042,7.339686
15,6,45,26.3786780834198,7.338463
49,5,36,26.45211625099182,7.337594
8,15,16,26.1593918800354,6.440271
51,50,41,26.24543929100037,7.337402
47,13,51,26.35228705406189,7.318913
11,23,42,27.275192737579346,7.320049
52,39,42,27.24025869369507,7.337741
23,17,7,26.97122883796692,3.884661
36,48,17,26.944096565246586,6.72314
25,43,15,26.936416387557983,6.150788
4,36,42,27.30869483947754,7.319525
9,41,21,27.14001059532165,7.327885
16,37,7,26.98762822151184,3.884676
18,25,5,27.229263067245483,3.438125
21,23,43,26.37695574760437,7.317087
19,30,51,26.74404239654541,7.338005
4,45,29,26.92064738273621,7.337637
40,40,28,27.09774327278137,7.33776
22,20,20,26.98146414756775,7.281477
49,33,33,27.029375076293945,7.338058
5,26,14,30.334768056869507,5.853939
35,13,46,29.474772453308105,7.323148
20,44,33,34.29413414001465,7.332153
47,41,35,35.12281823158264,7.325391
19,5,4,34.47390341758728,3.366199
27,43,7,33.68882966041565,3.878769
22,51,12,33.69718527793884,5.272689
39,4,51,34.39522433280945,7.332013
12,13,8,33.641329765319824,4.142196
19,27,32,33.20115303993225,7.328296
36,39,43,34.39359140396118,7.32331
7,35,39,33.02680778503418,7.33166
40,48,12,33.55835437774658,5.277422
39,32,30,34.675602436065674,7.330084
47,15,44,35.11816048622131,7.32189
46,30,52,34.283992528915405,7.332103
52,41,40,34.39721918106079,7.325024
31,35,15,34.5672447681427,6.144885
42,40,28,33.71839904785156,7.326646
7,15,52,34.382829666137695,7.330614
8,23,22,34.218270778656006,7.322638
7,19,13,29.886298418045044,5.566746
14,6,50,34.1854681968689,7.331953
11,11,24,29.36804175376892,7.331192
45,48,11,30.606629848480225,4.989324
44,19,32,30.687828302383423,7.332124
10,29,39,30.681776762008667,7.33425
45,25,13,30.683095693588257,5.56796
10,17,14,30.7943217754364,5.857299
36,40,45,30.80933284759521,7.334266
22,44,36,30.0938184261322,7.33275
6,34,51,30.904314517974854,7.332166
22,31,32,30.809213876724243,7.332486
24,18,22,30.131607055664062,7.323134
48,42,22,30.94918918609619,7.325329
38,39,6,30.74844074249268,3.640115
43,16,48,30.810439825057983,7.333316
49,45,22,30.901880741119385,7.32293
48,27,5,30.12309169769287,3.452362
50,47,36,31.018910884857178,7.331571
45,4,38,30.31199550628662,7.320247
6,48,26,29.60553789138794,7.324111
10,49,22,29.74071264266968,7.310467
15,50,14,29.735342741012573,5.859244
26,41,51,29.6075451374054,7.317123
35,21,8,29.790563821792603,4.144368
33,24,25,29.566688060760494,7.328295
10,6,47,30.341928958892822,7.335333
27,42,20,30.22842526435852,7.277253
14,34,41,30.428884744644165,7.328432
29,6,39,30.380730152130127,7.327749
31,18,26,30.36922264099121,7.32554
37,23,31,30.352566719055176,7.315244
40,43,7,30.38276314735413,3.87034
29,4,35,30.527427434921265,7.326512
8,9,32,29.728254795074463,7.316816
13,42,38,29.731554746627808,7.321754
39,28,18,30.359633445739743,6.972498
42,22,31,30.302874326705933,7.314578
13,12,21,30.508999347686768,7.316071
24,32,5,29.57737684249878,3.452366
22,16,38,30.0363028049469,7.331638
50,9,25,29.45337557792664,7.331085
18,20,48,28.86130142211914,7.332135
15,38,10,29.763055324554443,4.702012
21,41,5,29.116723775863647,3.452364
7,45,25,30.903282642364506,7.331423
27,33,52,29.56430673599243,7.33203
25,16,7,29.430498123168945,3.878748
17,45,44,31.064833402633667,7.331903
7,28,20,29.63693261146545,7.273492
42,35,14,29.749528408050537,5.857058
21,47,45,29.833961248397827,7.331748
45,25,31,30.16414284706116,7.332001
51,9,42,30.983243703842163,7.332069
5,11,34,29.387593269348145,7.33212
11,40,21,30.56019163131714,7.322467
30,37,20,29.83661460876465,7.275573
33,15,17,30.19339156150818,6.717813
11,19,35,30.93880820274353,7.331911
51,40,25,30.046502113342285,7.331427
17,9,18,29.54909634590149,6.981833
35,23,7,29.627217769622803,3.878771
6,14,48,29.26929759979248,7.332326
17,50,27,29.33027935028076,7.33194
22,11,33,29.98341560363769,7.313604
26,8,17,29.843040704727173,6.718307
34,46,10,29.376392364501957,4.683914
47,4,22,29.537657976150516,7.323022
49,14,47,30.21208882331848,7.332434
29,24,35,29.310098886489868,7.331718
50,21,22,30.11090636253357,7.322756
48,50,30,30.25495219230652,7.332645
21,9,34,30.691734075546265,7.333095
29,14,5,29.77990221977234,3.452355
26,31,42,30.167073726654053,7.331737
8,21,23,30.136579275131226,7.314303
48,43,36,34.027989864349365,7.331576
10,5,29,34.09723377227783,7.332538
49,44,18,34.594064712524414,6.982031
27,13,22,29.54348134994507,7.308246
47,10,19,29.840107440948486,7.171802
4,20,32,29.614892959594727,7.332255
9,16,46,29.694617748260494,7.332187
39,26,17,30.22062587738037,6.715762
40,10,5,29.573920488357544,3.440501
41,27,16,30.35775375366211,6.432938
31,26,17,34.31685757637024,6.704147
31,41,28,34.35404348373413,7.317965
32,24,35,34.33836126327515,7.32622
25,16,20,33.48202610015869,7.265734
36,13,35,35.03753304481506,7.322606
50,37,30,33.7755663394928,7.332112
36,42,34,33.854071378707886,7.332198
35,21,12,33.601417541503906,5.267673
52,36,25,34.37439799308777,7.314546
20,39,11,34.298492431640625,4.989327
17,45,16,30.20042443275452,6.434616
5,19,51,30.28322434425354,7.32839
5,23,35,30.45290684700012,7.327717
46,49,10,33.51519823074341,4.701912
21,50,39,33.89461946487427,7.331829
20,14,14,33.34360146522522,5.857051
29,43,34,32.78206753730774,7.3321
14,41,41,34.13331389427185,7.332312
21,24,45,33.51101803779602,7.332334
36,38,37,29.43873333930969,7.331781
40,40,8,33.59363865852356,4.142022
42,12,49,29.459513187408447,7.332057
39,39,4,30.05152034759521,3.369172
35,47,46,29.39692068099976,7.331938
6,37,11,29.65262985229492,4.989326
35,45,50,29.53949904441833,7.332465
49,46,47,29.4873731136322,7.332121
11,41,37,29.59300661087036,7.331663
24,25,46,30.29678320884705,7.331912
33,50,23,30.058130025863647,7.331506
8,49,15,30.2472403049469,6.144882
50,8,16,30.262596130371094,6.434046
39,22,7,30.34081530570984,3.878772
10,33,16,29.37184166908264,6.435143
13,23,24,29.367868423461918,7.312432
27,33,29,30.127885580062863,7.331843
14,8,39,29.40751814842224,7.331976
21,32,23,30.313175439834595,7.319929
45,11,36,30.105568170547485,7.331822
50,41,21,29.460586071014404,7.322601
10,19,40,30.221375465393063,7.314879
30,36,30,29.892531394958496,7.332244
51,33,9,30.2478506565094,4.418685
37,28,8,30.898906230926517,4.129769
11,5,37,29.39240574836731,7.317672
37,10,51,30.243385553359985,7.332188
21,14,41,31.18465757369995,7.332328
52,49,25,30.726227283477783,7.316457
46,20,30,30.75471067428589,7.332176
51,12,45,30.245769739151,7.321629
50,10,7,29.63116860389709,3.863108
29,10,50,30.014861822128296,7.312626
45,44,22,30.41770052909851,7.30294
23,29,24,29.998109817504883,7.322349
47,36,41,29.421401739120483,7.331684
6,31,23,30.09931707382202,7.331677
42,39,28,29.335129737854004,7.324594
19,17,7,29.92834043502808,3.878947
21,24,35,29.292755365371704,7.328647
39,47,46,30.13818597793579,7.326711
38,24,14,29.064281463623047,5.852553
46,4,4,29.234665393829346,3.369362
51,34,11,29.42300486564636,4.98276
39,9,5,29.50810194015503,3.450144
46,50,51,30.04819083213806,7.332055
14,18,32,30.107274293899536,7.332332
14,5,37,29.89224457740784,7.332003
48,36,13,29.53996181488037,5.566707
37,17,51,30.24860000610352,7.322222
6,12,7,30.33280372619629,3.8791
50,48,45,30.13002061843872,7.331918
42,50,10,30.16777610778809,4.702099
36,36,11,29.871434450149536,4.989516
52,32,18,29.8077974319458,6.982046
36,41,4,29.740274667739868,3.369174
