AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,lne,CPU,F32,/,/,0.4,3.3,13.0,2.3,39.5,0.2,42.0,23.8,162129.2,23.2,0.5,23.0,0.9,2.6,3.0,57.8,0.0,0.0,34.3,23.1,3.5,1.2,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,onnxruntime,CPU,F32,/,/,0.4,3.3,13.0,2.4,126.3,0.2,128.8,7.8,52806.1,22.5,0.5,22.4,0.9,2.0,2.0,62.4,0.0,0.0,34.6,23.5,3.6,0.4,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,lne,GPU/CPU,F32,/,/,0.4,3.3,13.0,2.1,16.7,0.2,19.0,52.6,357936.8,38.6,1.6,37.8,1.6,3.9,4.0,58.3,14.0,0.0,34.1,23.3,3.7,2.5,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,tensorrt,GPU,F16,/,/,0.4,3.3,6.5,2.2,6.3,0.5,8.9,111.8,760446.5,47.6,2.1,44.6,1.8,4.5,5.0,54.4,7.7,0.0,36.7,25.5,3.5,5.7,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,tensorrt,GPU,F32,/,/,0.4,3.3,13.0,2.2,6.6,0.5,9.3,108.0,734485.2,47.2,2.1,44.2,1.8,4.7,6.0,53.3,8.7,0.0,35.9,24.7,3.4,5.6,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,ncnn,GPU,F16,/,/,0.4,3.3,6.5,2.0,6.1,0.3,8.5,117.9,802065.6,21.4,1.0,20.8,0.8,2.9,3.0,52.6,7.6,0.0,34.2,23.8,3.4,6.2,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,ncnn,GPU,F32,/,/,0.4,3.3,13.0,2.1,6.1,0.3,8.6,116.0,789204.7,21.7,1.0,21.0,0.8,2.8,3.0,52.7,10.9,0.0,34.5,23.7,3.5,6.0,,,
3D-face-landmarks,face-landmarks-detection-3ddfa,default,120x120,jetson-nano2,onnxruntime,CPU,F32,/,/,0.4,3.3,13.0,2.1,120.3,0.2,122.6,8.2,55471.3,18.1,0.9,18.0,0.7,2.0,2.0,62.0,0.0,0.0,34.5,23.9,3.6,0.4,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,lne,CPU,F32,/,/,0.2,4.7,19.0,3.8,43.8,6.9,54.5,18.3,124736.0,17.9,1.0,17.7,0.7,3.3,4.0,58.0,0.0,0.0,35.7,25.2,3.5,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.8,117.1,5.6,126.5,7.9,53776.7,16.6,0.9,16.5,0.6,2.0,2.0,62.0,0.0,0.0,36.1,25.1,3.5,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,lne,GPU/CPU,F32,/,/,0.2,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,tensorrt,GPU,F16,/,/,0.2,4.7,9.5,3.8,49.1,4.0,56.9,17.6,119481.1,45.0,2.0,43.3,1.7,3.0,3.0,61.1,16.0,0.0,38.2,27.2,3.8,0.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,tensorrt,GPU,F32,/,/,0.2,4.7,19.0,3.8,44.5,4.0,52.3,19.1,129959.5,45.5,2.0,43.7,1.8,3.4,4.0,61.3,13.8,0.0,37.8,26.7,3.9,0.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.8,119.8,7.5,131.2,7.6,51865.0,16.5,1.0,16.3,0.6,2.1,3.0,62.1,0.0,0.0,35.8,25.3,3.5,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,lne,CPU,F32,/,/,0.5,4.7,19.0,9.0,84.5,15.7,109.3,9.2,62263.7,17.4,0.9,17.3,0.7,4.1,5.0,60.1,0.0,0.0,35.6,24.9,3.6,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.1,210.3,29.1,248.5,4.0,27373.9,16.8,0.9,16.8,0.7,2.7,3.0,61.9,0.0,0.0,36.3,25.5,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,lne,GPU/CPU,F32,/,/,0.5,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,tensorrt,GPU,F16,/,/,0.5,4.7,9.5,9.1,38.5,10.9,58.4,17.1,116493.3,45.8,2.1,44.1,1.8,4.5,5.0,62.0,15.5,0.0,38.4,27.3,3.9,1.1,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,tensorrt,GPU,F32,/,/,0.5,4.7,19.0,9.1,32.8,11.1,53.0,18.9,128413.5,46.7,2.1,44.9,1.8,4.9,6.0,62.7,15.5,0.0,38.3,26.8,4.0,1.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.3,210.5,29.0,248.8,4.0,27347.1,16.7,1.0,16.6,0.7,2.8,3.0,62.2,0.0,0.0,36.1,25.3,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,lne,CPU,F32,/,/,0.9,4.7,19.0,12.4,138.5,22.9,173.8,5.8,39140.2,17.7,1.0,17.6,0.7,4.9,5.0,61.3,0.0,0.0,36.0,25.2,3.7,0.7,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,12.1,307.1,41.5,360.6,2.8,18864.3,16.9,0.9,16.9,0.7,3.0,3.0,62.5,0.0,0.0,36.5,25.7,3.7,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,lne,GPU/CPU,F32,/,/,0.9,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,tensorrt,GPU,F16,/,/,0.9,4.7,9.5,11.5,45.5,17.8,74.8,13.4,91005.5,46.6,2.1,45.1,1.8,5.7,7.0,61.8,18.7,0.0,38.5,27.7,4.0,1.4,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,tensorrt,GPU,F32,/,/,0.9,4.7,19.0,11.6,32.1,17.9,61.5,16.3,110609.5,46.6,2.1,45.0,1.8,7.0,8.0,62.3,25.4,0.0,38.4,27.3,4.2,1.7,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-59p,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,12.1,307.2,41.2,360.6,2.8,18867.6,16.3,1.0,16.2,0.7,3.0,3.0,62.5,0.0,0.0,36.1,25.5,3.7,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,128x96,jetson-nano2,lne,CPU,F32,/,/,0.2,4.7,19.0,3.9,43.5,10.2,57.7,17.3,117977.2,17.5,0.9,17.3,0.7,3.8,4.0,58.3,0.0,0.0,35.7,25.1,3.5,0.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-86p,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.8,117.8,8.9,130.5,7.7,52135.2,16.9,0.9,16.8,0.7,2.0,3.0,62.1,0.0,0.0,35.9,25.2,3.6,0.2,,,
