nScenarios,pv_mean,pv_std,load_mean,load_std,sol,time,memory
1,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,368.07,2.3,60.05
1,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,364.28,1.8,60.14
1,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,373.56,1.8,60.32
1,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,403.3,1.9,59.88
1,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,380.88,1.6,60.15
1,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,395.84,1.8,60.13
1,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,389.03,2.1,60.07
1,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,398.93,1.8,59.96
1,277.45,278.03394576921715,328.87708333333336,168.0694836959595,388.97,1.9,60.04
1,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,368.07,2.0,60.15
1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,379.75,2.0,60.29
1,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,375.85,3.1,59.99
1,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,385.41,2.0,60.0
1,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,416.04,1.8,60.3
1,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,392.94,1.8,60.25
1,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,408.38,1.7,60.3
1,275.7604166666667,285.176073344451,328.30625,172.74973999769387,401.34,2.0,60.3
1,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,411.54,1.9,59.74
1,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,401.27,1.8,60.18
1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,379.75,2.4,60.07
1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,367.3,1.7,60.2
1,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,363.53,1.8,60.16
1,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,372.76,1.8,59.97
1,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,402.46,1.8,60.16
1,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,380.08,2.0,59.91
1,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,395.02,1.8,60.29
1,267.109375,276.2262444831701,318.009375,167.33250398914146,388.22,2.0,59.72
1,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,398.11,2.2,59.92
1,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,388.14,1.9,59.96
1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,367.3,1.9,60.22
1,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,375.84,2.1,60.04
1,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,372.01,1.8,60.33
1,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,381.42,1.7,59.99
1,269.89166666666665,278.36969672641374,326.9947916666667,172.8776809684811,411.76,1.8,60.2
1,273.2666666666667,280.00975640244314,324.1770833333333,168.75599772006046,388.92,1.8,60.16
1,273.9302083333334,282.16652372010736,327.715625,174.36068598844,404.23,2.4,59.94
1,273.05833333333334,282.38002307273007,325.08958333333334,171.06298089639301,397.24,1.9,60.07
1,272.909375,280.55669698763097,328.1791666666666,173.4850551420464,407.35,1.9,59.72
1,283.05625000000003,283.6477785081423,335.51666666666665,171.46846871623043,397.15,1.9,60.47
1,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,375.84,1.9,60.57
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,364.16,1.9,60.0
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,360.44,2.0,60.21
1,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,369.57,1.9,60.04
1,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,399.02,1.8,60.16
1,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,376.86,1.9,59.86
1,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,391.69,1.7,59.79
1,264.95,273.9898732161464,315.43541666666664,165.98518318610968,384.93,2.1,60.02
1,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,394.74,2.0,60.13
1,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,384.86,2.0,59.98
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,364.16,1.8,60.17
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,371.95,1.8,60.25
1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,368.15,2.6,60.14
1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,377.49,1.6,60.3
1,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,407.53,1.9,60.0
1,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,384.9,1.9,60.02
1,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,400.04,2.0,59.92
1,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,393.13,1.9,60.08
1,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,403.14,1.9,60.37
1,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,393.06,1.9,60.16
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,371.95,2.0,60.36
1,273.975,282.96677734909684,321.0885416666667,172.01928965828202,376.61,1.6,60.13
1,271.2395833333333,279.56286989660555,320.140625,165.05451598015338,372.76,1.8,60.1
1,272.4270833333333,279.98164913048566,322.0229166666667,168.24446095337896,382.22,1.8,60.42
1,270.42083333333335,278.9222434645641,327.63645833333334,173.22208235852398,412.61,1.6,60.15
1,273.809375,280.5631958958196,324.81875,169.09394597413643,389.71,1.7,59.98
1,274.4739583333333,282.72714991842975,328.3625,174.70186762620293,405.05,1.7,60.21
1,273.6010416666667,282.9397022389781,325.73229166666664,171.40241848181412,398.05,1.9,59.8
1,273.45000000000005,281.1094582186804,328.82604166666664,173.82760212156066,408.17,3.2,60.14
1,283.61354166666666,284.2073119587002,336.1822916666667,171.80865264565384,397.99,2.0,59.85
1,273.975,282.96677734909684,321.0885416666667,172.01928965828202,376.61,1.7,60.24
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,364.16,1.9,60.17
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,360.44,1.8,60.35
1,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,369.57,1.8,60.28
1,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,399.02,1.8,60.3
1,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,376.86,2.0,60.2
1,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,391.69,2.0,60.17
1,264.95,273.9898732161464,315.43541666666664,165.98518318610968,384.93,2.1,60.05
1,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,394.74,2.0,60.15
1,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,384.86,1.9,60.36
1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,364.16,1.8,60.2
1,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,380.48,1.8,59.96
1,273.92604166666666,282.3261567779335,323.303125,166.68160732186692,376.59,1.8,59.9
1,275.1166666666666,282.7454644002073,325.20625,169.90460485991593,386.18,1.9,60.11
1,273.096875,281.67775672933016,330.87916666666666,174.9279499993418,416.86,2.2,60.04
1,276.5208333333333,283.3376221182759,328.02812500000005,170.76124578823803,393.7,1.7,59.79
1,277.18854166666665,285.51789818014316,331.5989583333333,176.42320773662857,409.18,1.8,60.15
1,276.30312499999997,285.7348014524442,328.9458333333334,173.09152619632258,402.13,1.9,60.32
1,276.153125,283.889522215188,332.0708333333334,175.54242181774435,412.35,2.0,60.22
1,286.41562500000003,287.01951128804126,339.50416666666666,173.50535949735257,402.09,1.9,60.04
1,276.68541666666664,285.76609570414934,324.2604166666667,173.71749904608455,380.48,2.0,60.14
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,371.95,1.7,60.13
1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,368.15,1.9,60.29
1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,377.49,1.7,59.89
1,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,407.53,1.5,60.27
1,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,384.9,2.0,60.04
1,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,400.04,1.8,60.25
1,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,393.13,1.9,60.03
1,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,403.14,1.9,59.93
1,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,393.06,1.9,60.11
1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,371.95,2.2,60.24
2,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,359.36,3.7,65.95
2,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,355.56,3.0,65.94
2,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,364.85,3.1,65.52
2,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,394.59,3.1,65.77
2,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,372.16,2.9,65.33
2,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,387.13,3.2,65.74
2,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,380.31,3.2,66.14
2,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,390.22,2.9,65.82
2,277.45,278.03394576921715,328.87708333333336,168.0694836959595,380.26,3.1,65.95
2,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,359.36,3.0,66.19
2,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,371.03,3.8,65.8
2,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,367.13,2.9,66.19
2,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,376.7,3.3,65.95
2,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,407.33,3.2,65.55
2,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,384.23,2.9,65.5
2,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,399.67,3.2,66.29
2,275.7604166666667,285.176073344451,328.30625,172.74973999769387,392.62,3.0,66.04
2,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,402.83,2.7,66.16
2,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,392.56,3.0,66.04
2,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,371.03,3.0,66.47
2,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,358.59,2.9,65.77
2,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,354.82,3.6,65.5
2,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,364.05,3.0,66.16
2,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,393.74,2.9,66.25
2,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,371.37,2.9,65.21
2,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,386.31,3.0,65.96
2,267.109375,276.2262444831701,318.009375,167.33250398914146,379.5,3.1,66.06
2,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,389.4,2.7,65.77
2,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,379.42,2.7,66.22
2,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,358.59,3.1,66.2
2,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,367.12,3.0,65.43
2,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,363.3,3.0,65.87
2,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,372.71,3.5,66.49
2,269.89166666666665,278.36969672641374,326.9947916666667,172.8776809684811,403.05,3.0,66.14
2,273.2666666666667,280.00975640244314,324.1770833333333,168.75599772006046,380.21,3.0,65.75
2,273.9302083333334,282.16652372010736,327.715625,174.36068598844,395.52,3.0,65.84
2,273.05833333333334,282.38002307273007,325.08958333333334,171.06298089639301,388.53,3.3,66.02
2,272.909375,280.55669698763097,328.1791666666666,173.4850551420464,398.64,3.5,65.47
2,283.05625000000003,283.6477785081423,335.51666666666665,171.46846871623043,388.44,2.9,65.73
2,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,367.12,3.1,65.71
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,355.45,3.1,65.35
2,262.66770833333334,270.722787757911,310.025,159.83073859555302,351.73,3.1,65.79
2,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,360.85,3.1,65.77
2,261.87395833333335,270.0966783875697,317.28229166666665,167.74264948798282,390.31,3.6,65.61
2,265.1541666666667,271.69111671032886,314.55312499999997,163.7424807135716,368.14,3.2,66.03
2,265.79583333333335,273.7816393118895,317.97708333333327,169.1823187417243,382.98,3.1,65.83
2,264.95,273.9898732161464,315.43541666666664,165.98518318610968,376.22,3.1,66.01
2,264.80625000000003,272.2219012177458,318.43333333333334,168.32927841650786,386.02,2.9,65.91
2,274.6489583333334,275.21932163079487,325.55312499999997,166.37352050001138,376.14,3.0,66.35
2,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,355.45,2.9,66.18
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,363.24,3.1,65.51
2,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,359.43,3.4,66.04
2,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,368.78,2.9,65.8
2,267.21666666666664,275.6136523237233,323.75937500000003,171.16505592685297,398.82,3.8,66.57
2,270.56354166666665,277.2356380108624,320.97083333333336,167.08612793797565,376.18,2.9,66.29
2,271.2208333333333,279.37235491539286,324.46770833333335,172.63160468585968,391.32,3.2,66.09
2,270.35520833333334,279.5829721320785,321.87083333333334,169.36745919047993,384.42,2.8,66.85
2,270.20625,277.7747753023496,324.92812499999997,171.76406219914293,394.43,2.9,65.75
2,280.253125,280.8408609104114,332.19687500000003,169.76897381265235,384.35,3.1,65.95
2,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,363.24,2.7,66.27
2,273.975,282.96677734909684,321.0885416666667,172.01928965828202,367.89,2.9,66.49
2,271.2395833333333,279.56286989660555,320.140625,165.05451598015338,364.05,3.1,66.09
2,272.4270833333333,279.98164913048566,322.0229166666667,168.24446095337896,373.51,3.1,66.55
2,270.42083333333335,278.9222434645641,327.63645833333334,173.22208235852398,403.9,2.9,66.2
2,273.809375,280.5631958958196,324.81875,169.09394597413643,381.0,3.6,65.56
2,274.4739583333333,282.72714991842975,328.3625,174.70186762620293,396.34,3.1,65.62
2,273.6010416666667,282.9397022389781,325.73229166666664,171.40241848181412,389.33,2.9,66.38
2,273.45000000000005,281.1094582186804,328.82604166666664,173.82760212156066,399.46,2.7,66.36
2,283.61354166666666,284.2073119587002,336.1822916666667,171.80865264565384,389.28,3.1,66.12
2,273.975,282.96677734909684,321.0885416666667,172.01928965828202,367.89,3.1,65.55
