var_0,var_1,var_2,var_3,time,memory
9,14,31,49,804.7926326,35.29568
19,27,51,36,805.673563,47.436515
20,30,30,6,809.5211844,38.349281
49,8,38,51,812.1356461,47.470683
10,24,14,43,814.4132724,37.262624
26,4,31,29,816.1424179,47.474392
5,39,42,16,816.5048842,25.822829
11,19,20,29,821.1397171,39.19833
44,51,14,48,821.8811593,44.930222
14,22,32,43,822.0944057,44.927375
21,9,23,50,823.6512742,47.463948
17,49,35,50,823.9751575,47.336668
39,37,28,5,825.2002563,36.317752
14,44,27,34,833.1819849,44.936503
34,31,7,45,835.0680215,30.932402
41,42,32,34,835.8600295,47.473126
42,7,46,12,841.4979601,47.23656
45,48,13,31,843.5952773,43.033244
37,32,31,12,852.0195429,47.236441
49,36,19,23,853.6064022,47.437562
10,42,18,32,762.9712255,37.24775
41,49,12,41,769.5716879,41.10647
5,12,42,33,760.0478787,25.804129
22,17,29,23,758.3208966,47.449069
5,12,18,22,778.7645042,25.805517
43,12,49,43,778.8503625,47.466392
36,21,46,32,790.7404308,47.466448
33,34,7,15,791.1781495,30.90371
35,52,40,6,785.3869433,38.346337
52,21,48,14,780.5115974,47.420076
31,50,48,13,785.8297594,47.438868
17,51,21,35,784.2904019,47.334219
46,32,52,37,800.9233265,47.466226
17,9,19,18,757.5781384,47.332649
27,52,49,40,796.9613061,47.46603
24,29,39,18,798.3937232,47.464659
51,8,9,13,797.1064956,35.2174
21,13,12,27,780.177011,41.092603
17,42,24,28,795.3003185,47.31777
34,43,29,13,792.1656618,47.419895
14,49,21,50,787.9258401,44.924667
25,35,12,50,750.7536814,41.096496
10,6,17,37,754.571209,37.253145
44,40,38,13,774.3278384,47.433119
13,28,33,4,780.8769884,34.414781
48,52,18,10,781.3049428,45.878609
32,8,9,17,767.6079407,35.231238
39,21,41,34,784.1056912,47.45476
36,41,28,23,792.7192714,47.455712
33,15,22,45,777.9600399,47.460753
19,35,25,30,780.7356451,47.431201
9,27,23,13,790.3338366,35.281388
39,45,17,16,791.3821769,47.325541
52,9,52,49,787.5270624,47.458029
40,8,17,15,773.5861971,47.32701
49,47,8,39,782.5570726,33.148622
47,18,26,42,798.0230458,47.456674
35,24,42,44,781.3644538,47.459616
33,19,29,37,788.4499321,47.460808
9,25,10,13,787.4868567,35.297887
9,46,22,23,758.0146606,35.286284
23,22,30,44,762.0780103,47.457968
5,26,52,31,753.0582798,25.816304
5,28,13,42,755.1431787,25.80882
31,37,49,30,752.8109627,47.462395
50,15,52,33,775.3858867,47.459851
11,43,17,31,774.8136277,39.194423
19,12,42,34,768.4339893,47.433693
13,27,34,17,768.4679103,43.020654
41,12,28,34,787.6008472,47.463041
49,25,14,17,771.6835818,44.922963
28,11,41,16,762.9990215,47.450821
9,21,49,34,756.3170905,35.285953
34,27,39,26,783.0544755,47.46156
37,31,21,24,796.2507124,47.459252
40,39,29,30,773.273257,47.460974
28,13,17,51,779.8765795,47.330258
17,11,52,49,780.9626489,47.327078
12,10,16,26,774.0441821,41.103809
46,36,9,38,768.887933,35.232832
26,27,7,27,806.8968632,30.916359
42,41,31,15,861.196593,47.436206
48,10,29,42,844.1937718,47.452366
33,32,39,28,862.581538,47.447746
22,22,38,26,847.3377588,47.45189
24,20,52,37,843.6710203,47.454619
29,23,29,43,857.057879,47.455337
30,33,10,36,850.7853265,37.213514
39,23,35,31,845.9497366,47.445536
28,25,38,13,850.00734,47.421527
26,26,33,29,830.8771696,47.46037
12,6,22,42,853.5023406,41.105383
13,34,19,15,832.6475506,43.015257
10,15,51,34,828.6727753,37.256122
27,7,7,28,832.7892661,30.931124
34,44,29,21,859.8282948,47.450157
26,34,12,38,843.9051235,41.086831
37,20,51,38,838.3333957,47.456564
34,31,26,18,840.8695099,47.457377
52,37,41,24,861.317445,47.450893
49,7,48,10,826.4518354,45.87971
14,13,38,13,818.385433,44.922331
30,35,9,5,818.8858497,35.391917
18,14,39,14,823.6044118,47.433796
28,31,39,39,830.7140057,47.460236
23,39,48,41,841.0780971,47.457947
27,34,24,9,849.748517,44.075745
27,5,8,32,839.1213982,33.14759
41,50,35,35,851.8977876,47.461582
6,20,38,34,822.0347757,28.587098
8,48,46,15,836.3379416,33.231655
29,41,5,35,845.2039728,26.705848
14,27,50,9,862.1188478,44.033489
9,43,19,39,851.3506722,35.28228
11,37,19,25,856.1035011,39.192716
50,27,23,50,867.0231278,47.458197
42,28,38,6,850.346293,38.340586
20,18,35,37,869.5149202,47.442764
28,34,5,20,857.7792311,26.705851
8,50,14,16,865.0687809,33.231848
26,19,6,31,828.7435727,28.675349
4,7,37,22,802.5147018,23.288227
47,28,12,43,810.2578034,41.089197
33,34,5,28,803.5827782,26.707074
17,18,20,20,799.5152502,47.329902
27,43,7,27,793.0831215,30.900002
4,23,49,44,795.8835623,23.2887
31,51,51,37,814.3898871,47.442336
17,40,16,43,820.0050459,46.984956
26,31,27,25,804.6973672,47.449216
13,35,17,8,806.3387065,42.138129
43,17,50,41,805.3680282,47.461993
32,38,28,21,807.630348,47.445223
34,43,41,21,813.0386596,47.447907
46,43,22,31,830.8289788,47.46249
17,42,26,33,807.7456391,47.311211
18,33,10,19,810.7960565,37.231721
14,41,42,22,810.1200247,44.925529
11,29,10,4,814.1333656,34.401474
39,32,9,41,804.369045,35.232042
9,33,30,9,786.2830455,35.269895
10,13,35,9,802.6593437,37.213822
52,31,41,21,807.5522077,47.460999
10,46,40,10,774.7553544,37.240225
45,49,44,51,807.7753525,47.457844
10,15,39,26,794.7804155,37.250145
6,33,25,28,799.374162,28.587081
49,37,31,26,812.5847507,47.460632
52,40,36,43,814.8013473,47.450692
35,9,14,48,815.7845724,44.911907
31,33,45,18,807.513772,47.449824
19,38,31,42,819.1319022,47.43332
11,45,51,17,793.9797242,39.1928
20,43,40,22,817.6500616,47.442958
13,44,47,15,793.5250833,43.021617
17,33,38,5,808.9201548,36.306332
12,47,23,17,830.5736952,41.109932
29,52,16,28,823.2554052,46.978726
24,36,14,36,845.0848012,44.915821
45,45,47,29,820.4013636,47.458532
12,26,13,16,763.8078332,41.115776
35,44,19,11,781.1265016,46.77397
6,22,37,35,775.9329779,28.587086
17,52,13,6,758.354296,38.341672
32,50,24,11,772.8481281,46.773909
39,26,51,40,781.0420842,47.461878
