nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0523114204406738,21,40,321.44,177.01,71.4,45,102.395263625,171.753906
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0519626140594482,21,40,321.44,177.01,71.4,45,101.498779375,171.375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0520944595336914,21,40,321.44,177.01,71.4,45,95.7003675882353,173.226562
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0495622158050537,21,40,321.44,177.01,71.4,45,103.31542962500001,171.617188
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0580029487609863,21,40,321.44,177.01,71.4,45,101.71208647058823,171.429688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0499429702758789,21,40,321.44,177.01,71.4,45,102.561279375,171.59375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0522608757019043,21,40,321.44,177.01,71.4,45,104.687744125,172.988281
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0542206764221191,21,40,321.44,177.01,71.4,45,102.264404125,171.671875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0558369159698486,21,40,321.44,177.01,71.4,45,103.1701661875,171.617188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0493006706237793,21,40,321.44,177.01,71.4,45,106.01401664705882,171.523438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0540440082550048,21,40,321.44,177.01,71.4,45,101.71752925,171.21875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0580925941467285,21,40,321.44,177.01,71.4,45,104.60717775,171.710938
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0587434768676757,21,40,321.44,177.01,71.4,45,105.5179228235294,173.605469
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0509026050567626,21,40,321.44,177.01,71.4,45,102.1943359375,171.203125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0596101284027099,21,40,321.44,177.01,71.4,45,102.852783125,173.121094
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0589156150817871,21,40,321.44,177.01,71.4,45,97.28354788235295,173.429688
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0554137229919433,21,40,321.44,177.01,71.4,45,101.93212893749998,171.578125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0525486469268798,21,40,321.44,177.01,71.4,45,103.9787596875,171.566406
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0556211471557617,21,40,321.44,177.01,71.4,45,102.73437505555556,171.542969
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0498716831207275,21,40,321.44,177.01,71.4,45,102.4194338125,171.804688
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0516183376312255,21,40,321.44,177.01,71.4,45,102.4916993125,171.398438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0528783798217773,21,40,321.44,177.01,71.4,45,93.30707466666667,173.289062
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0495321750640869,21,40,321.44,177.01,71.4,45,102.88452143749998,171.894531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0565433502197265,21,40,321.44,177.01,71.4,45,105.91291370588235,171.292969
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0585682392120361,21,40,321.44,177.01,71.4,45,102.05810543749999,173.503906
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0503184795379638,21,40,321.44,177.01,71.4,45,101.8901368125,171.417969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0570762157440185,21,40,321.44,177.01,71.4,45,108.27688429411764,173.335938
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0585455894470214,21,40,321.44,177.01,71.4,45,96.17555147058823,171.257812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.051938772201538,21,40,321.44,177.01,71.4,45,104.4035645625,171.261719
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0486795902252197,21,40,321.44,177.01,71.4,45,104.96806064705883,171.425781
