nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.055774450302124,16,28,321.44,177.01,,45,96.82927394117647,175.683594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0548200607299804,16,28,321.44,177.01,,49,104.73529423529413,172.167969
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.055948257446289,16,28,321.44,177.01,,45,102.7624511875,175.691406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0545389652252197,16,28,321.44,177.01,,49,102.25708018750001,172.363281
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0557763576507568,16,28,321.44,177.01,,45,105.71435556249999,175.699219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0542094707489013,16,28,321.44,177.01,,45,103.79101556250001,175.710938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0592622756958007,16,28,321.44,177.01,,45,102.7482909375,175.316406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0486495494842529,16,28,321.44,177.01,,49,104.2221679375,172.667969
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0572378635406494,16,28,321.44,177.01,,45,103.515869125,175.644531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0579943656921386,16,28,321.44,177.01,,49,102.52978525,172.398438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0515668392181396,16,28,321.44,177.01,,49,103.564453125,172.269531
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0559785366058349,16,28,321.44,177.01,,45,103.9841309375,175.429688
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0567488670349121,16,28,321.44,177.01,,45,100.48920041176471,175.59375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0550694465637207,16,28,321.44,177.01,,45,104.10791037499999,175.625
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0486567020416259,16,28,321.44,177.01,,49,103.21972650000001,172.265625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0546543598175048,16,28,321.44,177.01,,45,96.4777114117647,175.765625
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0572025775909423,16,28,321.44,177.01,,45,102.543213125,175.585938
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0754835605621337,16,28,321.44,177.01,,45,97.51033994117648,175.609375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0523726940155029,16,28,321.44,177.01,,45,102.9367675625,175.589844
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0548758506774902,16,28,321.44,177.01,,45,103.6596680625,175.742188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0479021072387695,16,28,321.44,177.01,,49,102.164550875,172.621094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0487222671508789,16,28,321.44,177.01,,49,102.144531375,172.335938
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0506403446197509,16,28,321.44,177.01,,49,102.1669923125,172.609375
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0610699653625488,16,28,321.44,177.01,,49,111.79014744444444,171.976562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0564937591552734,16,28,321.44,177.01,,45,100.68864905882351,175.492188
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0567858219146728,16,28,321.44,177.01,,45,97.256204,175.628906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0555331707000732,16,28,321.44,177.01,,45,102.62475574999999,175.507812
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0540928840637207,16,28,321.44,177.01,,49,102.94433599999999,172.523438
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0549902915954589,16,28,321.44,177.01,,45,103.86914075000001,175.523438
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0508692264556884,16,28,321.44,177.01,,49,101.380371125,172.550781
