nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0476651191711425,16,31,340.99,96.97,,100,102.30224625,172.230469
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0599498748779296,16,31,340.99,96.97,,100,105.1416015,172.289062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0550544261932373,16,31,340.99,96.97,,100,98.93083652941175,172.375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0556461811065673,16,31,347.659686,96.97,,100,104.234375,172.550781
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0492560863494873,16,31,340.99,96.97,,100,96.29871335294118,172.921875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0496580600738525,16,31,340.99,96.97,,100,98.85041364705883,172.085938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0514140129089355,16,31,548.58,96.97,,100,103.1955565625,172.746094
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0495486259460449,16,31,548.58,96.97,,100,106.78791376470588,172.273438
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.053009033203125,16,31,548.58,96.97,,100,102.445800875,172.085938
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.05393648147583,16,31,347.659686,96.97,,100,104.9543456875,172.773438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0642414093017578,16,31,340.99,96.97,,100,107.05974264705883,172.375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0525341033935546,16,31,340.99,96.97,,100,102.32910162499999,172.652344
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0544617176055908,16,31,340.99,96.97,,100,96.54388782352942,172.449219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0533525943756103,16,31,340.99,96.97,,100,97.1852021764706,172.535156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0499389171600341,16,31,340.99,96.97,,100,102.476074125,172.535156
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0514445304870605,16,31,347.659686,96.97,,100,105.22702211764707,172.386719
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0519192218780517,16,31,340.99,96.97,,100,102.77045047058823,172.335938
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0524473190307617,16,31,347.659686,96.97,,100,104.4543458125,172.671875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0544741153717041,16,31,340.99,96.97,,100,102.84692387500002,172.421875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0529849529266357,16,31,340.99,96.97,,100,102.12339158823528,172.222656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0520670413970947,16,31,340.99,96.97,,100,102.0122069375,172.675781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0524232387542724,16,31,347.659686,96.97,,100,104.80216011764706,172.78125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.053011417388916,16,31,340.99,96.97,,100,99.04578994444444,172.347656
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0570027828216552,16,31,347.659686,96.97,,100,96.94852947058823,172.9375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0475664138793945,16,31,340.99,96.97,,100,107.32766535294117,172.191406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0540556907653808,16,31,340.99,96.97,,100,102.941162125,172.488281
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0462908744812011,16,31,340.99,96.97,,100,102.23046868750001,172.5
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0478808879852294,16,31,340.99,96.97,,100,97.88993547058824,172.765625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0509593486785888,16,31,340.99,96.97,,100,102.9113770625,172.527344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0483391284942626,16,31,340.99,96.97,,100,103.08959956250001,172.175781
