nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0613257884979248,16,31,340.99,,13.08,1.0,102.8312988125,173.613281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0559911727905273,16,31,340.99,,13.08,1.0,105.40992652941178,173.664062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0482807159423828,16,31,340.99,,13.08,1.0,102.56347662499999,173.605469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0517647266387939,16,31,347.659686,,56.667674,90.0,103.575683625,170.484375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.057060956954956,16,31,340.99,,13.08,1.0,104.69692099999999,173.675781
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0589940547943115,16,31,340.99,,13.08,1.0,95.87798717647058,173.867188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0498871803283691,16,31,,,,,101.8264160625,169.855469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0567591190338134,16,31,,,,,99.45634194117646,169.867188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.049628734588623,16,31,,,,,103.2739256875,170.289062
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0474114418029785,16,31,347.659686,,56.667674,90.0,102.94677725,170.539062
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0599758625030517,16,31,340.99,,13.08,1.0,94.61892361111113,173.589844
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0577635765075683,16,31,340.99,,13.08,1.0,103.6867675,173.726562
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0573410987854003,16,31,340.99,,13.08,1.0,104.333251875,173.875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0840868949890136,16,31,340.99,,13.08,1.0,107.17210488235295,174.167969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0508477687835693,16,31,340.99,,13.08,1.0,103.0900879375,173.484375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0470366477966308,16,31,347.659686,,56.667674,90.0,106.587546,170.25
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0504651069641113,16,31,340.99,,13.08,1.0,100.50252747058823,174.113281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0526721477508544,16,31,347.659686,,56.667674,90.0,104.07543950000002,170.808594
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0528666973114013,16,31,340.99,,13.08,1.0,97.11236217647058,173.921875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0486698150634765,16,31,340.99,,13.08,1.0,103.653564375,173.859375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0510759353637695,16,31,340.99,,13.08,1.0,103.2595215625,173.71875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.04840087890625,16,31,347.659686,,56.667674,90.0,105.74066844444445,170.421875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0527570247650146,16,31,340.99,,13.08,1.0,102.90649425000001,173.917969
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0559666156768798,16,31,347.659686,,56.667674,90.0,101.47167974999999,170.484375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0510907173156738,16,31,340.99,,13.08,1.0,101.58386947058823,173.890625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0515573024749755,16,31,340.99,,13.08,1.0,103.038818375,173.753906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0504932403564453,16,31,340.99,,13.08,1.0,102.374755875,173.734375
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.050753116607666,16,31,340.99,,13.08,1.0,104.75850188235293,174.023438
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0507600307464599,16,31,340.99,,13.08,1.0,103.30419925,173.734375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0615766048431396,16,31,340.99,,13.08,1.0,108.17049623529411,173.5
