nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0546424388885498,16,28,342.173846,177.01,,31,101.37280268750001,173.960938
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0520002841949462,16,28,342.173846,177.01,,31,97.41015623529411,173.824219
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0490050315856933,16,28,342.173846,177.01,,31,103.56054675,174.097656
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0536234378814697,16,28,342.173846,177.01,,31,102.8232421875,173.972656
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0517823696136474,16,28,342.173846,177.01,,31,102.60615805882354,173.714844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0548079013824462,16,28,342.173846,177.01,,31,105.5444335625,173.945312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0509130954742431,16,28,342.173846,177.01,,31,103.5937499375,173.832031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0535600185394287,16,28,342.173846,177.01,,31,104.2987132352941,173.867188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0594010353088378,16,28,342.173846,177.01,,31,103.173828125,174.089844
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.049342393875122,16,28,342.173846,177.01,,31,103.0373535625,174.058594
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.048288345336914,16,28,342.173846,177.01,,31,100.07513782352942,173.96875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0561709403991699,16,28,342.173846,177.01,,31,103.8759765,173.921875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0528228282928466,16,28,342.173846,177.01,,31,103.3764648125,173.902344
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0538563728332519,16,28,342.173846,177.01,,31,93.73741322222222,174.015625
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0600333213806152,16,28,342.173846,177.01,,31,103.190918125,173.917969
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.057978868484497,16,28,342.173846,177.01,,31,106.74448523529412,174.074219
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0504748821258544,16,28,342.173846,177.01,,31,101.88183599999999,173.898438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0538742542266845,16,28,342.173846,177.01,,31,105.564453,174.21875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0522873401641845,16,28,342.173846,177.01,,31,106.47127764705883,173.820312
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0531418323516845,16,28,342.173846,177.01,,31,103.0334473125,173.917969
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0546035766601562,16,28,342.173846,177.01,,31,105.51928725,174.261719
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0542998313903808,16,28,342.173846,177.01,,31,105.74448529411765,173.988281
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0511062145233154,16,28,342.173846,177.01,,31,103.1550293125,174.03125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0535287857055664,16,28,342.173846,177.01,,31,101.9838868125,174.023438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0482270717620849,16,28,342.173846,177.01,,31,104.36282176470588,174.175781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0552678108215332,16,28,342.173846,177.01,,31,96.0491728235294,174.082031
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0513277053833007,16,28,342.173846,177.01,,31,105.7553710625,173.898438
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0517158508300781,16,28,342.173846,177.01,,31,104.125919,173.726562
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0490984916687011,16,28,342.173846,177.01,,31,96.3851104117647,173.929688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0524897575378418,16,28,342.173846,177.01,,31,103.4206543125,174.0625
