nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0529870986938476,21,43,340.99,96.97,56.667674,100,103.8251953125,172.402344
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0546035766601562,21,43,340.99,96.97,56.667674,100,104.1488971764706,172.527344
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0541472434997558,21,43,340.99,96.97,56.667674,100,101.93896475,172.316406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0553839206695556,21,43,347.659686,96.97,56.667674,100,102.610107375,172.660156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0523900985717773,21,43,340.99,96.97,56.667674,100,101.87803811111111,172.234375
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0591363906860351,21,43,340.99,96.97,56.667674,100,103.425781375,172.136719
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0522520542144775,21,43,548.58,96.97,56.667674,100,104.0666503125,172.503906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0499465465545654,21,43,548.58,96.97,56.667674,100,102.34179693749999,172.453125
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0481817722320556,21,43,548.58,96.97,56.667674,100,103.4807128125,172.476562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0562655925750732,21,43,347.659686,96.97,56.667674,100,101.49479161111111,173.039062
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0510644912719726,21,43,340.99,96.97,56.667674,100,103.853759875,172.730469
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0609316825866699,21,43,340.99,96.97,56.667674,100,103.54223637500002,172.46875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0503449440002441,21,43,340.99,96.97,56.667674,100,105.42784935294117,172.429688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0603513717651367,21,43,340.99,96.97,56.667674,100,96.38442088235294,172.21875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0588901042938232,21,43,340.99,96.97,56.667674,100,96.15165441176471,172.449219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0521125793457031,21,43,347.659686,96.97,56.667674,100,101.4935661764706,172.839844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0533423423767089,21,43,340.99,96.97,56.667674,100,104.43749993750001,172.601562
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0604090690612793,21,43,347.659686,96.97,56.667674,100,102.384277375,172.8125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.052281379699707,21,43,340.99,96.97,56.667674,100,103.86833647058823,172.515625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0572438240051269,21,43,340.99,96.97,56.667674,100,97.42072617647058,172.324219
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0521860122680664,21,43,340.99,96.97,56.667674,100,105.1296386875,172.152344
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0560407638549804,21,43,347.659686,96.97,56.667674,100,90.42751733333334,172.644531
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0593218803405761,21,43,340.99,96.97,56.667674,100,103.53442375,172.425781
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0626740455627441,21,43,347.659686,96.97,56.667674,100,105.89269294117648,172.574219
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0564243793487548,21,43,340.99,96.97,56.667674,100,102.87890618750001,172.25
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0555727481842041,21,43,340.99,96.97,56.667674,100,96.49448529411765,172.320312
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0569968223571777,21,43,340.99,96.97,56.667674,100,106.24770223529413,172.496094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0505697727203369,21,43,340.99,96.97,56.667674,100,103.0649415625,172.492188
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0581495761871337,21,43,340.99,96.97,56.667674,100,104.9074705625,172.410156
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0498871803283691,21,43,340.99,96.97,56.667674,100,104.46599270588234,172.535156
