nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0470414161682128,16,31,,,,,103.51447605882355,170.042969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0467464923858642,16,31,,,,,103.7895508125,170.351562
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0438904762268066,16,31,,,,,101.42407225000001,170.433594
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0453495979309082,16,31,,,,,96.06181064705882,170.269531
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0525317192077636,16,31,,,,,103.10302725,170.40625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0527312755584716,16,31,,,,,96.34283094117646,170.253906
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0497770309448242,16,31,,,,,103.01125923529412,170.140625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0440893173217773,16,31,,,,,102.7243653125,170.117188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0693306922912597,16,31,,,,,105.6693474117647,170.285156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0443658828735351,16,31,,,,,102.22412100000001,170.390625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0509328842163085,16,31,,,,,103.1420900625,170.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0516664981842041,16,31,,,,,108.19401033333332,170.066406
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.049501895904541,16,31,,,,,102.598877125,169.917969
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0483269691467285,16,31,,,,,102.1430661875,170.378906
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0463912487030029,16,31,,,,,95.65050564705882,170.460938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0522489547729492,16,31,,,,,102.45898443749999,169.902344
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0465970039367675,16,31,,,,,103.229736375,169.980469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0461180210113525,16,31,,,,,101.26447611764705,170.359375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0517535209655761,16,31,,,,,101.7888184375,170.214844
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0496151447296142,16,31,,,,,102.8552246875,169.957031
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0480375289916992,16,31,,,,,102.764323,170.464844
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0529594421386718,16,31,,,,,95.80468747058822,170.21875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.05531907081604,16,31,,,,,103.1708984375,170.445312
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0464451313018798,16,31,,,,,102.04980462500001,170.601562
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.047034740447998,16,31,,,,,104.31640631249999,169.855469
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0559892654418945,16,31,,,,,110.4520401111111,170.210938
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0488297939300537,16,31,,,,,104.79248050000001,170.289062
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.044532299041748,16,31,,,,,103.3686523125,170.296875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0461163520812988,16,31,,,,,105.6491268235294,170.347656
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0499103069305419,16,31,,,,,102.24951175,170.597656
