nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0419995784759521,8.0,20.0,163.09456586082126,168.95,,31.0,74.85286472222222,136.15625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0420494079589843,8.0,20.0,153.58609413572125,168.95,,31.0,75.17295999999999,136.535156
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0422062873840332,8.0,20.0,151.7495802522031,168.95,,31.0,72.63763788235293,136.195312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0419991016387939,8.0,20.0,170.01591689411873,168.95,,31.0,74.65972222222223,136.132812
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0426914691925048,8.0,20.0,160.20888196077593,168.95,,31.0,74.8763021111111,135.671875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0420012474060058,8.0,20.0,158.3055847226828,168.95,,31.0,75.00954861111113,135.789062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.057999849319458,8.0,20.0,,,,,74.67947050000001,133.605469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0420007705688476,8.0,20.0,177.9034476591488,168.95,,31.0,74.68185772222222,136.3125
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.057039737701416,8.0,20.0,,,,,75.29014755555556,133.933594
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0419988632202148,8.0,20.0,167.70065169176368,168.95,,31.0,74.80815972222223,135.988281
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0430464744567871,8.0,20.0,158.01314656662788,168.95,,31.0,74.99761294444444,136.175781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0421736240386962,8.0,20.0,156.1043022628876,168.95,,31.0,74.00737855555555,132.90625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0419991016387939,8.0,20.0,163.32007415192723,168.95,,31.0,75.00086805555556,135.828125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0409996509552001,8.0,20.0,153.81736081892163,168.95,,31.0,75.00347227777779,135.789062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0430011749267578,8.0,20.0,151.939112798076,168.95,,31.0,74.84483522222223,136.449219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0420007705688476,8.0,20.0,171.6149022264477,168.95,,31.0,75.014974,135.71875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0419988632202148,8.0,20.0,161.74133926645067,168.95,,31.0,74.90863694444444,136.457031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0429997444152832,8.0,20.0,159.84137813126796,168.95,,31.0,74.58593755555556,135.824219
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0431780815124511,8.0,20.0,164.92519686979293,168.95,,31.0,74.9926216111111,135.960938
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0423300266265869,8.0,20.0,155.3661529065685,168.95,,31.0,74.85633677777778,136.015625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0420005321502685,8.0,20.0,153.47543353274318,168.95,,31.0,73.92339405555555,133.0625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0419998168945312,8.0,20.0,172.30673928691022,168.95,,31.0,74.66210938888891,135.808594
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0429997444152832,8.0,20.0,162.440200747683,168.95,,31.0,74.39366322222223,135.539062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0420002937316894,8.0,20.0,160.45902651670616,168.95,,31.0,74.82465283333333,136.0625
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0579996109008789,8.0,20.0,,,,,74.87977427777778,133.871094
