nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0429999828338623,8.0,20.0,136.4945658608213,,149.95999999999998,59.0,74.39670138888889,136.125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0431315898895263,8.0,20.0,126.9860941357213,,149.95999999999998,59.0,74.83658838888888,136.414062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0419981479644775,8.0,20.0,125.14958025220314,,149.95999999999998,59.0,75.1699218888889,136.070312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0430424213409423,8.0,20.0,143.41591689411877,,149.95999999999998,59.0,74.72287327777778,136.210938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0440011024475097,8.0,20.0,133.608881960776,,149.95999999999998,59.0,75.12717005555555,136.199219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0420002937316894,8.0,20.0,131.70558472268283,,149.95999999999998,59.0,74.88541677777779,136.480469
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0699987411499023,8.0,20.0,,,,,75.07508683333334,133.945312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0420002937316894,8.0,20.0,151.30344765914884,,149.95999999999998,59.0,74.95138894444443,135.984375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.069000244140625,8.0,20.0,,,,,74.58463555555555,133.765625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0420012474060058,8.0,20.0,141.10065169176374,,149.95999999999998,59.0,75.02625872222222,136.15625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0420441627502441,8.0,20.0,131.4131465666277,,149.95999999999998,59.0,74.96158855555555,136.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0419998168945312,8.0,20.0,129.50430226288768,,149.95999999999998,59.0,74.99782972222222,136.296875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0420007705688476,8.0,20.0,136.7200741519273,,149.95999999999998,59.0,72.05034716666667,136.507812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0429997444152832,8.0,20.0,127.21736081892168,,149.95999999999998,59.0,68.21571172222222,136.394531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0422072410583496,8.0,20.0,125.33911279807604,,149.95999999999998,59.0,75.09613716666667,136.3125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0419995784759521,8.0,20.0,145.01490222644776,,149.95999999999998,59.0,74.85698777777776,135.875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0420572757720947,8.0,20.0,135.14133926645047,,149.95999999999998,59.0,72.52777783333335,136.085938
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0409998893737793,8.0,20.0,133.241378131268,,149.95999999999998,59.0,72.55147052941176,135.988281
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0420010089874267,8.0,20.0,138.325196869793,,149.95999999999998,59.0,74.57400183333333,136.050781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0421690940856933,8.0,20.0,128.76615290656855,,149.95999999999998,59.0,70.71202261111111,136.523438
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0432181358337402,8.0,20.0,126.87543353274324,,149.95999999999998,59.0,74.97547755555556,136.25
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0419998168945312,8.0,20.0,145.70673928691025,,149.95999999999998,59.0,72.39778644444444,136.421875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0419991016387939,8.0,20.0,135.84020074768307,,149.95999999999998,59.0,74.54513894444445,135.804688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0409998893737793,8.0,20.0,133.85902651670597,,149.95999999999998,59.0,75.01692722222224,136.042969
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0689995288848877,8.0,20.0,,,,,75.07031244444445,133.671875
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0693194866180419,8.0,20.0,,,,,75.07421877777777,133.691406
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0702593326568603,8.0,20.0,,,,,75.42816833333333,134.203125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0423474311828613,8.0,20.0,138.78538859170828,,149.95999999999998,59.0,74.04231783333334,136.460938
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0410001277923584,8.0,20.0,129.2174130554962,,149.95999999999998,59.0,70.5720486111111,136.378906
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0419991016387939,8.0,20.0,127.30302168845137,,149.95999999999998,59.0,74.74110238888889,136.601562
