nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0429818630218505,12,13,,,,,103.64501949999999,169.824219
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0518326759338378,12,13,,,,,108.84189963157895,171.429688
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0424857139587402,12,13,,,,,106.34512864705883,169.890625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0401456356048584,12,13,,,,,106.78262870588235,169.785156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.051605224609375,12,13,,,,,105.69761029411765,170.15625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0398225784301757,12,13,,,,,96.56755505882353,169.851562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0425543785095214,12,13,,,,,103.57031256249999,169.652344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0450351238250732,12,13,,,,,98.16145827777778,169.605469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0467119216918945,12,13,,,,,104.38891600000001,169.625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0524380207061767,12,13,,,,,106.23092829411765,169.5
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0438964366912841,12,13,,,,,105.03255216666668,169.496094
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0439872741699218,12,13,,,,,106.184283,170.292969
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.041752815246582,12,13,,,,,106.91061570588235,169.769531
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0411422252655029,12,13,,,,,100.84512864705881,169.863281
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0452921390533447,12,13,,,,,105.28814347058822,169.835938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0494029521942138,12,13,,,,,105.85776641176471,169.9375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0420131683349609,12,13,,,,,103.83496087500001,169.953125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0457396507263183,12,13,,,,,106.57858458823529,169.785156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0467772483825683,12,13,,,,,99.124349,169.773438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0482187271118164,12,13,,,,,105.67003676470588,169.8125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0462772846221923,12,13,,,,,96.52274829411763,169.855469
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.038238525390625,12,13,,,,,101.91475188235293,169.785156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0435149669647216,12,13,,,,,105.93795964705883,170.027344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0455923080444335,12,13,,,,,97.40900729411766,170.03125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0436837673187255,12,13,,,,,100.29434752941177,169.617188
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0509853363037109,12,13,,,,,105.54802382352942,169.691406
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0610325336456298,12,13,,,,,106.74011947058823,169.84375
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0465166568756103,12,13,,,,,106.43221505882354,169.792969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0406806468963623,12,13,,,,,96.79687511764706,169.652344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0479569435119628,12,13,,,,,107.62109377777779,169.761719
