nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0522768497467041,8,7,,93.65,,1,135.8834637777778,171.371094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0412478446960449,8,7,,93.65,,1,135.6753471111111,171.601562
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0461180210113525,8,7,,93.65,,1,135.8948567777778,171.398438
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0410714149475097,8,7,,93.65,,1,137.64020281081082,171.507812
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0449693202972412,8,7,,93.65,,1,131.60188794444446,171.371094
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.041813850402832,8,7,,93.65,,1,135.91919634285713,171.601562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0455689430236816,8,7,,93.65,,1,137.1311848888889,171.484375
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.047764778137207,8,7,,93.65,,1,136.30323662857143,171.777344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.045168399810791,8,7,,93.65,,1,135.73906234285715,171.457031
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0468170642852783,8,7,,93.65,,1,133.78797741666668,171.867188
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.038726806640625,8,7,,93.65,,1,135.2282364857143,171.242188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0512220859527587,8,7,,93.65,,1,136.01432305555556,171.625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0419278144836425,8,7,,93.65,,1,135.510268,171.507812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0545587539672851,8,7,,93.65,,1,135.98415805555553,171.488281
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0443034172058105,8,7,,93.65,,1,136.93695738888886,171.660156
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.035412311553955,8,7,,93.65,,1,135.83236625714287,171.773438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.04203462600708,8,7,,93.65,,1,135.51428574285714,171.488281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0509383678436279,8,7,,93.65,,1,136.4295820810811,171.574219
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0408787727355957,8,7,,93.65,,1,132.1644966111111,171.574219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0400052070617675,8,7,,93.65,,1,135.23906234285715,171.742188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.041213035583496,8,7,,93.65,,1,131.10092921621623,171.425781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0424935817718505,8,7,,93.65,,1,136.13161905555555,171.398438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0417637825012207,8,7,,93.65,,1,132.20027443243242,171.605469
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0425615310668945,8,7,,93.65,,1,135.5773439142857,171.488281
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0425167083740234,8,7,,93.65,,1,135.66840272222223,171.675781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0402617454528808,8,7,,93.65,,1,136.12185330555556,171.683594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0437824726104736,8,7,,93.65,,1,135.6460938,171.601562
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0409531593322753,8,7,,93.65,,1,135.44531228571427,171.644531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0438876152038574,8,7,,93.65,,1,133.04904508333334,171.46875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0407004356384277,8,7,,93.65,,1,137.04199197222223,171.433594
