nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0410957336425781,8,7,97.54456586082132,,,100,135.75401483333331,171.488281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0460026264190673,8,7,88.0360941357213,,,100,135.22615110526314,171.601562
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.040870189666748,8,7,86.19958025220313,,,100,136.15581583333335,171.679688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0400278568267822,8,7,104.46591689411878,,,100,135.76886157142857,171.285156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0431370735168457,8,7,94.65888196077596,,,100,135.38433161111112,171.644531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0434963703155517,8,7,92.75558472268284,,,100,136.4342447222222,171.539062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0409197807312011,8,7,122.88484862707344,,,100,135.93652344444445,171.804688
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0477199554443359,8,7,112.35344765914886,,,100,137.14290375,171.347656
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0462245941162109,8,7,110.24785258452744,,,100,134.7642143888889,171.519531
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0425562858581543,8,7,102.15065169176373,,,100,134.04634718918922,171.230469
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.041792869567871,8,7,92.4631465666277,,,100,136.37076816666664,171.628906
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0419435501098632,8,7,90.55430226288766,,,100,135.70583766666667,171.488281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0462462902069091,8,7,97.77007415192728,,,100,131.85663005405405,171.710938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0444176197052001,8,7,88.26736081892167,,,100,136.8345268333333,171.472656
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0409731864929199,8,7,86.38911279807604,,,100,135.97569455555555,171.453125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0406317710876464,8,7,106.06490222644774,,,100,136.15766052777778,171.367188
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0413944721221923,8,7,96.19133926645048,,,100,134.44954425,171.40625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0481050014495849,8,7,94.291378131268,,,100,136.35590272222223,171.679688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0394487380981445,8,7,99.37519686979296,,,100,132.54188383333334,171.507812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0469694137573242,8,7,89.81615290656853,,,100,135.62011716666666,171.535156
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.043647289276123,8,7,87.92543353274323,,,100,130.88407945945946,171.648438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0458338260650634,8,7,106.75673928691026,,,100,133.7511614324324,171.21875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0446395874023437,8,7,96.89020074768304,,,100,135.5647786111111,171.472656
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.043283462524414,8,7,94.90902651670598,,,100,135.3182508611111,171.550781
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0470774173736572,8,7,83.699698435573,,,100,135.90413851351352,171.675781
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0413854122161865,8,7,74.78941390673924,,,100,135.9192708888889,171.472656
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.042290449142456,8,7,73.03031196705888,,,100,135.69390205555555,171.5
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0417711734771728,8,7,99.8353885917083,,,100,134.97016066666666,171.542969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0420460700988769,8,7,90.2674130554962,,,100,134.25173625,171.53125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0483126640319824,8,7,88.35302168845135,,,100,136.56759986111112,171.558594
