nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0520896911621093,8,7,,87.62,,1,107.66536455555557,171.039062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0391652584075927,8,7,,87.62,,1,107.53515633333333,171.117188
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0433142185211181,8,7,,87.62,,1,107.03906252941175,171.332031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0481622219085693,8,7,,87.62,,1,103.47840082352941,170.980469
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0490145683288574,8,7,,87.62,,1,107.54067094117647,171.199219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0469529628753662,8,7,,87.62,,1,107.89453129411764,171.144531
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0393228530883789,8,7,,87.62,,1,105.85868582352941,170.929688
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0460376739501953,8,7,,87.62,,1,105.99908094117646,170.921875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0519733428955078,8,7,,87.62,,1,105.38005517647059,171.152344
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0420899391174316,8,7,,87.62,,1,96.95335476470588,171.265625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0413682460784912,8,7,,87.62,,1,104.05761724999999,171.324219
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0479676723480224,8,7,,87.62,,1,98.33072927777778,170.742188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0508382320404052,8,7,,87.62,,1,104.22679223529413,171.167969
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0423896312713623,8,7,,87.62,,1,108.16130517647059,171.324219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0633027553558349,8,7,,87.62,,1,104.5932904117647,171.09375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0471441745758056,8,7,,87.62,,1,106.08570782352942,171.152344
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.046356201171875,8,7,,87.62,,1,107.48460494117647,170.984375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0397381782531738,8,7,,87.62,,1,96.42164529411764,171.078125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0456073284149169,8,7,,87.62,,1,96.61649823529412,171.046875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0497610569000244,8,7,,87.62,,1,108.37434905555557,171.058594
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0403583049774169,8,7,,87.62,,1,106.09145211764705,171.253906
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0422067642211914,8,7,,87.62,,1,97.12454041176471,171.097656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0475175380706787,8,7,,87.62,,1,103.68359377777779,171.027344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0452766418457031,8,7,,87.62,,1,97.3690257647059,171.03125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0449311733245849,8,7,,87.62,,1,97.06663599999999,171.34375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0432343482971191,8,7,,87.62,,1,103.34099264705884,171.257812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.04264497756958,8,7,,87.62,,1,106.53929223529413,171.105469
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0530397891998291,8,7,,87.62,,1,107.0921415882353,171.128906
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0486464500427246,8,7,,87.62,,1,106.58777564705882,171.582031
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.044339895248413,8,7,,87.62,,1,104.7695311764706,171.191406
