nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0443160533905029,10,10,,87.62,8.36,1,136.34385007692308,171.4375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0411231517791748,10,10,,87.62,8.36,1,137.8721956153846,171.410156
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0466375350952148,10,10,,87.62,8.36,1,132.30649017948716,171.535156
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0409014225006103,10,10,,87.62,8.36,1,135.50449205,171.613281
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0402600765228271,10,10,,87.62,8.36,1,133.698633,171.558594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0490169525146484,10,10,,87.62,8.36,1,135.74078543589744,171.523438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0452659130096435,10,10,,87.62,8.36,1,136.45771472500002,171.40625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0426180362701416,10,10,,87.62,8.36,1,136.7093347435897,171.820312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0445399284362793,10,10,,87.62,8.36,1,131.9863282,171.628906
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0450148582458496,10,10,,87.62,8.36,1,134.3880209230769,171.445312
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0442657470703125,10,10,,87.62,8.36,1,137.14413053846152,171.472656
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0557982921600341,10,10,,87.62,8.36,1,135.85823182926828,171.4375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0408046245574951,10,10,,87.62,8.36,1,136.5409655128205,171.710938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0397398471832275,10,10,,87.62,8.36,1,137.3667762894737,171.648438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0508491992950439,10,10,,87.62,8.36,1,129.17911592682924,171.414062
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0389282703399658,10,10,,87.62,8.36,1,137.2337582368421,171.753906
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0418736934661865,10,10,,87.62,8.36,1,136.507128875,171.710938
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0465943813323974,10,10,,87.62,8.36,1,135.60466728205125,171.707031
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0409650802612304,10,10,,87.62,8.36,1,133.24691613157896,171.730469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0504581928253173,10,10,,87.62,8.36,1,134.152929725,171.667969
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0408282279968261,10,10,,87.62,8.36,1,134.822416,171.738281
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0463998317718505,10,10,,87.62,8.36,1,137.11451973170733,171.65625
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0423064231872558,10,10,,87.62,8.36,1,136.93184631578947,171.425781
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0515086650848388,10,10,,87.62,8.36,1,135.23900081578947,171.734375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0472941398620605,10,10,,87.62,8.36,1,135.3484573333333,171.648438
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.045396089553833,10,10,,87.62,8.36,1,136.69027536842106,171.640625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0444154739379882,10,10,,87.62,8.36,1,136.86966458536583,171.722656
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0507850646972656,10,10,,87.62,8.36,1,137.03435476923076,171.527344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0440349578857421,10,10,,87.62,8.36,1,136.24609392105265,171.734375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0441141128540039,10,10,,87.62,8.36,1,135.4176682307692,171.832031
