nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0447657108306884,10,10,,93.65,78.62,1,104.07605705882352,170.96875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0426344871520996,10,10,,93.65,78.62,1,107.32052949999999,171.460938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0476782321929931,10,10,,93.65,78.62,1,97.89797782352942,171.007812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0485756397247314,10,10,,93.65,78.62,1,106.75712311764705,171.289062
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.056553840637207,10,10,,93.65,78.62,1,105.35041376470588,171.304688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0427117347717285,10,10,,93.65,78.62,1,105.55491735294117,171.21875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0471386909484863,10,10,,93.65,78.62,1,96.26280388888888,171.03125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0457079410552978,10,10,,93.65,78.62,1,107.45772058823529,171.390625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0513198375701904,10,10,,93.65,78.62,1,104.57329970588235,170.996094
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0566792488098144,10,10,,93.65,78.62,1,104.86833641176472,171.132812
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0413289070129394,10,10,,93.65,78.62,1,107.05284923529412,171.0
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0614020824432373,10,10,,93.65,78.62,1,108.07835476470588,171.488281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0473060607910156,10,10,,93.65,78.62,1,106.70818011764705,171.1875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0584034919738769,10,10,,93.65,78.62,1,106.661305,171.164062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0440549850463867,10,10,,93.65,78.62,1,105.37775723529411,171.320312
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0490114688873291,10,10,,93.65,78.62,1,106.72219670588235,171.371094
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0561025142669677,10,10,,93.65,78.62,1,106.55445782352942,171.246094
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0473527908325195,10,10,,93.65,78.62,1,105.39322905555554,171.488281
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0464684963226318,10,10,,93.65,78.62,1,107.67601105882352,171.242188
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.040872573852539,10,10,,93.65,78.62,1,96.6578584117647,171.214844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0453596115112304,10,10,,93.65,78.62,1,105.49977029411764,171.183594
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.043001651763916,10,10,,93.65,78.62,1,106.59880523529412,170.984375
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0559635162353515,10,10,,93.65,78.62,1,108.97417533333333,171.011719
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0400829315185546,10,10,,93.65,78.62,1,107.32146135294117,171.097656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0531079769134521,10,10,,93.65,78.62,1,107.10317100000002,171.558594
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0431833267211914,10,10,,93.65,78.62,1,105.17440276470587,170.921875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0587759017944335,10,10,,93.65,78.62,1,106.95220582352941,171.28125
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0418646335601806,10,10,,93.65,78.62,1,104.0031738125,171.257812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0443277359008789,10,10,,93.65,78.62,1,104.98988976470588,171.21875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0433034896850585,10,10,,93.65,78.62,1,106.69439341176471,170.804688
