nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0494818687438964,12,13,,,,,103.697998125,169.574219
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0413482189178466,12,13,,,,,98.83840452631578,169.445312
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0434181690216064,12,13,,,,,103.78588881249999,169.761719
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0406937599182128,12,13,,,,,106.07146147058825,169.710938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0484535694122314,12,13,,,,,103.52205894117648,169.808594
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0449974536895751,12,13,,,,,105.45657164705884,169.964844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0536978244781494,12,13,,,,,107.11121329411765,169.625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0571651458740234,12,13,,,,,104.71691170588235,169.710938
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0475742816925048,12,13,,,,,97.60615805882355,169.675781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0405137538909912,12,13,,,,,99.82269972222224,169.792969
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0519168376922607,12,13,,,,,107.13602941176471,169.761719
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0411553382873535,12,13,,,,,104.2836915,169.65625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0409581661224365,12,13,,,,,104.91084564705882,169.738281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.045567512512207,12,13,,,,,97.5606618235294,169.679688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0511646270751953,12,13,,,,,105.99149805882352,169.925781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0436265468597412,12,13,,,,,104.53883276470589,169.664062
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0405764579772949,12,13,,,,,97.63235294117646,169.890625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0464043617248535,12,13,,,,,106.93887864705883,169.796875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0500805377960205,12,13,,,,,104.83658844444444,170.320312
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0404896736145019,12,13,,,,,103.2238769375,169.753906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0506737232208251,12,13,,,,,106.2054228235294,169.59375
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0425071716308593,12,13,,,,,106.54388770588236,169.644531
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0405139923095703,12,13,,,,,103.3381346875,169.6875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0420098304748535,12,13,,,,,97.86979166666667,169.835938
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0427572727203369,12,13,,,,,106.01034005882354,169.449219
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0467724800109863,12,13,,,,,105.55905329411766,169.464844
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0474257469177246,12,13,,,,,104.5151654117647,169.644531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0459578037261962,12,13,,,,,105.96415447058824,170.011719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0388946533203125,12,13,,,,,105.91865805882352,169.734375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0480875968933105,12,13,,,,,101.74034917647059,169.605469
