nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0453548431396484,12,13,,,,,102.96737129411767,169.496094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0540149211883544,12,13,,,,,105.45724833333334,169.714844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0409944057464599,12,13,,,,,105.46645217647058,169.730469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0436339378356933,12,13,,,,,96.96691170588235,169.726562
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0406525135040283,12,13,,,,,107.83570752941176,169.820312
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0416710376739501,12,13,,,,,106.81617647058823,169.402344
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0477817058563232,12,13,,,,,106.30744488235294,169.769531
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0431201457977294,12,13,,,,,103.1909180625,169.8125
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0596625804901123,12,13,,,,,104.26470600000002,169.921875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0474748611450195,12,13,,,,,97.43750005882352,170.039062
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0442652702331543,12,13,,,,,106.79802394117647,169.898438
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0514063835144043,12,13,,,,,103.79940252941176,169.914062
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0479991436004638,12,13,,,,,103.655029375,169.808594
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0549354553222656,12,13,,,,,105.81387876470589,169.964844
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0599479675292968,12,13,,,,,105.51516547058823,169.738281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0448157787322998,12,13,,,,,103.628662,169.570312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.049546480178833,12,13,,,,,108.79231772222222,169.730469
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0489215850830078,12,13,,,,,106.31663605882353,169.730469
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0446970462799072,12,13,,,,,106.21783094117646,169.890625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0499064922332763,12,13,,,,,106.20588247058824,169.460938
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0476937294006347,12,13,,,,,97.2525275882353,169.851562
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.061640977859497,12,13,,,,,107.04894305882354,169.902344
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0507338047027587,12,13,,,,,106.05729155555554,169.488281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0579075813293457,12,13,,,,,106.25091923529413,169.714844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0505952835083007,12,13,,,,,106.09581811764706,169.773438
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0424585342407226,12,13,,,,,103.58662694117648,169.746094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0496826171875,12,13,,,,,107.40211388235295,169.945312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0495679378509521,12,13,,,,,109.3322482222222,169.660156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0398716926574707,12,13,,,,,103.2683104375,169.59375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0546574592590332,12,13,,,,,106.84719670588234,169.675781
