nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0441787242889404,10,10,191.5945658608213,,78.62,1,104.35983464705883,171.167969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0482313632965087,10,10,182.0860941357213,,78.62,1,107.97178805555555,171.300781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0469963550567626,10,10,180.2495802522032,,78.62,1,107.88373170588234,171.023438
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0433921813964843,10,10,198.5159168941188,,78.62,1,96.77712677777778,171.40625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.041987657546997,10,10,188.708881960776,,78.62,1,103.070556625,171.304688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0557460784912109,10,10,186.80558472268285,,78.62,1,106.32490811764707,171.390625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.040851354598999,10,10,216.93484862707345,,78.62,1,105.56847417647059,170.851562
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0469758510589599,10,10,206.40344765914887,,78.62,1,106.01677388235294,171.160156
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0466759204864501,10,10,204.29785258452745,,78.62,1,106.27665435294116,171.207031
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0485215187072753,10,10,196.2006516917637,,78.62,1,105.67647076470588,171.058594
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0429158210754394,10,10,186.5131465666277,,78.62,1,103.16064449999999,171.226562
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0473377704620361,10,10,184.60430226288767,,78.62,1,107.06488711111112,170.824219
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0407767295837402,10,10,191.8200741519273,,78.62,1,97.14338235294117,171.25
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0458235740661621,10,10,182.31736081892168,,78.62,1,106.58272064705884,170.898438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0500411987304687,10,10,180.43911279807605,,78.62,1,97.75412338888889,171.203125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0587239265441894,10,10,200.11490222644773,,78.62,1,106.1516546470588,171.085938
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.047680377960205,10,10,190.2413392664505,,78.62,1,107.73115805882352,171.066406
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0425987243652343,10,10,188.341378131268,,78.62,1,97.03102011764706,171.160156
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0425727367401123,10,10,193.42519686979296,,78.62,1,96.671875,171.503906
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0503280162811279,10,10,183.8661529065685,,78.62,1,105.72954970588235,171.121094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0477898120880126,10,10,181.97543353274324,,78.62,1,97.64108452941177,171.050781
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0550594329833984,10,10,200.80673928691027,,78.62,1,106.37982541176471,171.132812
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0460319519042968,10,10,190.94020074768304,,78.62,1,98.3066406111111,171.035156
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0472586154937744,10,10,188.959026516706,,78.62,1,105.39912676470588,171.394531
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0518198013305664,10,10,177.749698435573,,78.62,1,107.82467829411766,170.886719
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.045095682144165,10,10,168.83941390673925,,78.62,1,102.86856629411764,171.230469
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0490972995758056,10,10,167.0803119670589,,78.62,1,106.55652570588236,171.214844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0604050159454345,10,10,193.8853885917083,,78.62,1,106.63878676470588,171.292969
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0470650196075439,10,10,184.31741305549625,,78.62,1,96.66704952941177,171.425781
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0406177043914794,10,10,182.40302168845136,,78.62,1,107.2074907647059,171.089844
