nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.3306539058685303,9.0,16.0,,,,,80.81677814285715,134.289062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.3327469825744629,9.0,16.0,,,,,82.08742542857144,134.382812
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.332578182220459,9.0,16.0,,,,,82.13560261904762,134.394531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.3325028419494629,9.0,16.0,,,,,82.27176342857143,134.3125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.3311648368835449,9.0,16.0,,,,,81.02548357142858,134.824219
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.3315625190734863,9.0,16.0,,,,,82.10565480952381,134.203125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.3324570655822754,9.0,16.0,,,,,81.94401042857142,134.164062
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.3322713375091553,9.0,16.0,,,,,81.92968752380953,134.40625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.3319995403289795,9.0,16.0,,,,,82.06398814285714,134.492188
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.3349769115447998,9.0,16.0,,,,,82.22842266666666,134.078125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.3321902751922607,9.0,16.0,,,,,81.66034233333333,133.609375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.3327276706695556,9.0,16.0,,,,,81.8750000952381,134.035156
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.3318076133728027,9.0,16.0,,,,,81.88076633333333,134.226562
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.3373620510101318,9.0,16.0,,,,,81.96856404761905,133.507812
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.3311100006103515,9.0,16.0,,,,,82.23753733333334,134.445312
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.3295590877532959,9.0,16.0,,,,,82.15159985714286,134.359375
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.3309140205383301,9.0,16.0,,,,,81.58556557142856,133.578125
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.3336365222930908,9.0,16.0,,,,,81.88950904761904,133.953125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.3296935558319092,9.0,16.0,,,,,82.09988847619049,134.574219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.3308219909667969,9.0,16.0,,,,,82.03701638095238,133.976562
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.3292403221130371,9.0,16.0,,,,,82.10286461904761,134.785156
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.329740047454834,9.0,16.0,,,,,81.92429314285717,134.214844
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.3298709392547607,9.0,16.0,,,,,82.17075885714287,134.351562
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.3333065509796142,9.0,16.0,,,,,82.36049119047618,134.296875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.3308668136596679,9.0,16.0,,,,,82.28255209523809,134.445312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.3338062763214111,9.0,16.0,,,,,82.31305804761907,134.226562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.3365364074707031,9.0,16.0,,,,,81.9892111904762,134.089844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.3305742740631103,9.0,16.0,,,,,81.78794638095239,134.039062
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.3323855400085449,9.0,16.0,,,,,82.16220242857143,134.78125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.3355622291564941,9.0,16.0,,,,,81.86867566666665,134.113281
