nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0567555427551269,24,55,354.49,168.63,58.16,40,107.03998170588234,173.492188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0671103000640869,24,55,354.49,168.63,58.16,40,106.16544117647061,173.855469
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0532004833221435,24,55,354.49,168.63,58.16,40,105.0935058125,173.492188
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0555753707885742,24,55,354.49,168.63,58.16,40,102.63623043749999,173.75
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0566976070404052,24,55,354.49,168.63,58.16,40,106.20434568750001,173.738281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0594208240509033,24,55,354.49,168.63,58.16,40,106.5786133125,173.742188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0548632144927978,24,55,354.49,168.63,58.16,40,103.78722423529412,173.796875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0584630966186523,24,55,354.49,168.63,58.16,40,103.6555175625,173.765625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0532240867614746,24,55,354.49,168.63,58.16,40,104.740722625,173.925781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.053642988204956,24,55,354.49,168.63,58.16,40,103.304687625,173.804688
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0581326484680175,24,55,354.49,168.63,58.16,40,105.31298831250001,173.609375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0650644302368164,24,55,354.49,168.63,58.16,40,106.46118168749999,173.78125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0560393333435058,24,55,354.49,168.63,58.16,40,103.14039529411764,173.675781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0520808696746826,24,55,354.49,168.63,58.16,40,106.32055675,173.542969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0531930923461914,24,55,354.49,168.63,58.16,40,105.45166025,173.625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0540692806243896,24,55,354.49,168.63,58.16,40,101.3854981875,173.648438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0541639328002929,24,55,354.49,168.63,58.16,40,105.3032226875,173.863281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0555558204650878,24,55,354.49,168.63,58.16,40,106.36303712499999,173.84375
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0563800334930419,24,55,354.49,168.63,58.16,40,103.24908088235296,173.726562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0565221309661865,24,55,354.49,168.63,58.16,40,105.8840331875,173.714844
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0523478984832763,24,55,354.49,168.63,58.16,40,106.0502929375,173.632812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0565659999847412,24,55,354.49,168.63,58.16,40,100.42578118750001,173.660156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.05450439453125,24,55,354.49,168.63,58.16,40,104.5034178125,173.507812
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0573711395263671,24,55,354.49,168.63,58.16,40,105.78955081250001,173.6875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.052635908126831,24,55,354.49,168.63,58.16,40,104.58702266666666,173.707031
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0558962821960449,24,55,354.49,168.63,58.16,40,105.1660155,173.601562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0550053119659423,24,55,354.49,168.63,58.16,40,107.057129,173.648438
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0532617568969726,24,55,354.49,168.63,58.16,40,106.40332025,173.671875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0626382827758789,24,55,354.49,168.63,58.16,40,105.678222625,173.625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0576796531677246,24,55,354.49,168.63,58.16,40,105.90209962499999,173.679688
