nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0508420467376709,12,21,,,16.43,1,103.8515625,173.667969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0602040290832519,12,21,,,16.43,1,104.11557917647059,173.589844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0463283061981201,12,21,,,16.43,1,105.80297837500001,173.519531
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0494217872619628,12,21,,,16.43,1,96.23413099999999,173.289062
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0555520057678222,12,21,,,16.43,1,103.7985838125,173.550781
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0494830608367919,12,21,,,16.43,1,95.14384188235294,173.445312
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.052147626876831,12,21,,,16.43,1,106.08642575,173.660156
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.049797773361206,12,21,,,16.43,1,94.07146135294117,173.503906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0578444004058837,12,21,,,16.43,1,105.27221675,173.636719
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0510556697845459,12,21,,,16.43,1,106.16137687499999,173.476562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0514309406280517,12,21,,,16.43,1,104.046875,173.609375
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0463490486145019,12,21,,,16.43,1,102.84765637500001,173.71875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0554850101470947,12,21,,,16.43,1,106.3679200625,173.710938
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0516934394836425,12,21,,,16.43,1,102.8176269375,173.785156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.052215576171875,12,21,,,16.43,1,105.897949375,173.992188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0523242950439453,12,21,,,16.43,1,105.69653331250001,173.648438
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0524549484252929,12,21,,,16.43,1,104.26999064705883,173.683594
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0550847053527832,12,21,,,16.43,1,105.2355958125,173.667969
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0530681610107421,12,21,,,16.43,1,104.99829100000001,173.351562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0503766536712646,12,21,,,16.43,1,102.92895518750001,173.621094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0431580543518066,12,21,,,16.43,1,105.12988287499999,173.542969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0541455745697021,12,21,,,16.43,1,105.2587890625,173.496094
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0500872135162353,12,21,,,16.43,1,105.24287676470588,173.828125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0501306056976318,12,21,,,16.43,1,105.83886712500001,173.546875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0676412582397461,12,21,,,16.43,1,105.0739746875,173.667969
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0530536174774169,12,21,,,16.43,1,104.2241211875,173.808594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.051586627960205,12,21,,,16.43,1,105.56884762499999,173.425781
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0524771213531494,12,21,,,16.43,1,106.7087401875,173.535156
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0462524890899658,12,21,,,16.43,1,101.6617648235294,173.644531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0543129444122314,12,21,,,16.43,1,106.53860294117646,173.316406
