nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0402257442474365,17,35,340.14,91.41,,100.0,134.35830984848485,172.667969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0462987422943115,17,35,337.41,91.41,,100.0,134.11953122857145,172.460938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0468606948852539,17,35,340.14,91.41,,100.0,129.4037944857143,172.53125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0453741550445556,17,35,372.75,91.41,,100.0,129.8539752647059,172.714844
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0436203479766845,17,35,340.14,91.41,,100.0,133.9023436060606,172.964844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0489225387573242,17,35,372.75,91.41,,100.0,132.97208176470588,172.761719
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.041597843170166,17,35,,,,,133.7431344848485,170.253906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0445098876953125,17,35,514.16,91.41,,100.0,135.68406718181816,172.664062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0431728363037109,17,35,,,,,133.09609362857145,170.296875
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.046574592590332,17,35,372.75,91.41,,100.0,133.95253306060607,172.785156
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.045713186264038,17,35,340.14,91.41,,100.0,130.69247157575757,172.585938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0456347465515136,17,35,340.14,91.41,,100.0,132.45094223529412,172.632812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0441701412200927,17,35,340.14,91.41,,100.0,135.34202664705882,172.738281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0477750301361084,17,35,337.41,91.41,,100.0,134.560606030303,172.910156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0455379486083984,17,35,340.14,91.41,,100.0,128.509375,172.449219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0419573783874511,17,35,410.52,91.41,,100.0,134.18158154545452,172.707031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0437419414520263,17,35,340.14,91.41,,100.0,134.7775734705882,172.597656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0494430065155029,17,35,372.75,91.41,,100.0,134.51278430303032,172.679688
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0441250801086425,17,35,372.75,91.41,,100.0,132.0993796764706,172.746094
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0503509044647216,17,35,337.41,91.41,,100.0,136.83547770588234,172.664062
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0478169918060302,17,35,340.14,91.41,,100.0,134.06510424242424,172.742188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0451598167419433,17,35,410.52,91.41,,100.0,132.29354329411765,172.429688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0459210872650146,17,35,340.14,91.41,,100.0,135.5265149090909,172.863281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0452651977539062,17,35,372.75,91.41,,100.0,134.18383042424244,172.753906
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.04561448097229,17,35,,,,,132.0789294117647,170.484375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0442938804626464,17,35,,,,,134.45886961764708,170.210938
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0436468124389648,17,35,,,,,134.0711412121212,170.121094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.053783893585205,17,35,372.75,91.41,,100.0,133.61174230303033,172.644531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0515339374542236,17,35,337.41,91.41,,100.0,133.52745864705884,172.609375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0453007221221923,17,35,340.14,91.41,,100.0,134.28326212121212,172.5
