nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0519146919250488,23,52,,,,,133.5209516060606,170.84375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0477266311645507,23,52,,,,,135.45636142857143,170.789062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0447030067443847,23,52,,,,,134.63896775757576,170.875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0495197772979736,23,52,,,,,134.26503318181818,170.734375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.047999620437622,23,52,,,,,134.26011020588234,170.738281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0475187301635742,23,52,,,,,135.63020827272726,170.925781
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0503020286560058,23,52,,,,,133.89737203030305,170.488281
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0446925163269043,23,52,,,,,129.37235744117646,170.664062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0462045669555664,23,52,,,,,132.75712314705882,170.359375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0499215126037597,23,52,,,,,133.90696021212122,170.703125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0476512908935546,23,52,,,,,133.01195563636364,170.75
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.047196626663208,23,52,,,,,134.65326297058823,170.429688
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0435268878936767,23,52,,,,,134.25733887878786,170.753906
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0459592342376709,23,52,,,,,129.27159944117648,171.027344
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0463976860046386,23,52,,,,,134.88430620588235,170.761719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0487143993377685,23,52,,,,,130.01964594117646,170.558594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.045555830001831,23,52,,,,,133.37642021212122,170.820312
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0476152896881103,23,52,,,,,134.79423273529414,170.886719
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0469632148742675,23,52,,,,,132.56031694117647,170.523438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0522375106811523,23,52,,,,,134.9833096969697,170.847656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0485129356384277,23,52,,,,,129.5849033235294,170.757812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0448079109191894,23,52,,,,,135.2855010882353,170.84375
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0451009273529052,23,52,,,,,133.97419503030304,170.492188
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0471620559692382,23,52,,,,,133.82169114705883,170.859375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0481908321380615,23,52,,,,,134.12582842424243,170.136719
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0456116199493408,23,52,,,,,128.20301005882354,170.128906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0443127155303955,23,52,,,,,133.49928963636364,170.507812
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0505793094635009,23,52,,,,,133.4570312121212,170.753906
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0485651493072509,23,52,,,,,130.6287911176471,170.925781
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0529487133026123,23,52,,,,,134.94140624242425,170.703125
