nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0487611293792724,18,38,340.14,,59.13,100.0,130.89694402941174,172.8125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0418643951416015,18,38,337.41,,59.13,100.0,134.46986617142858,172.519531
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0460941791534423,18,38,340.14,,59.13,100.0,132.44060197058823,172.53125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0503802299499511,18,38,372.75,,59.13,100.0,133.46920952941176,172.753906
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.045964241027832,18,38,340.14,,59.13,100.0,135.31927844117646,174.265625
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0451326370239257,18,38,372.75,,59.13,100.0,133.9498105757576,172.679688
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0474064350128173,18,38,,,,,130.52814805882352,170.40625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0443301200866699,18,38,514.16,,59.13,100.0,133.72206454545454,172.601562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0446805953979492,18,38,,,,,134.12855112121213,170.109375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0481054782867431,18,38,372.75,,59.13,100.0,130.83708620588234,172.507812
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0471436977386474,18,38,340.14,,59.13,100.0,135.6217830882353,172.488281
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0520355701446533,18,38,340.14,,59.13,100.0,134.43122621212123,172.59375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0520362854003906,18,38,340.14,,59.13,100.0,132.4681755,172.566406
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0501158237457275,18,38,337.41,,59.13,100.0,134.0903172121212,172.644531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0470733642578125,18,38,340.14,,59.13,100.0,134.58664772727272,172.710938
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.051833152770996,18,38,410.52,,59.13,100.0,134.13127378787877,172.640625
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0473051071166992,18,38,340.14,,59.13,100.0,133.51852680000002,172.238281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0439333915710449,18,38,372.75,,59.13,100.0,133.98070554545455,172.726562
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0475597381591796,18,38,372.75,,59.13,100.0,129.77722873529413,172.601562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0483472347259521,18,38,337.41,,59.13,100.0,131.8019300882353,172.585938
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0463879108428955,18,38,340.14,,59.13,100.0,135.3330965757576,172.71875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0476856231689453,18,38,410.52,,59.13,100.0,134.23224430303028,172.71875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0463237762451171,18,38,340.14,,59.13,100.0,131.3050322647059,172.777344
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0482110977172851,18,38,372.75,,59.13,100.0,135.34064800000002,172.921875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0512218475341796,18,38,,,,,134.89246323529412,170.195312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0459506511688232,18,38,,,,,133.54147529411762,170.484375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0493268966674804,18,38,,,,,133.66358921212122,170.261719
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.046668529510498,18,38,372.75,,59.13,100.0,134.58444397058824,172.625
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0468101501464843,18,38,337.41,,59.13,100.0,135.50473493939396,172.675781
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0487990379333496,18,38,340.14,,59.13,100.0,132.55147064705878,172.703125
