nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0455164909362793,12,21,340.14,,,1.0,102.07080075,170.390625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0560071468353271,12,21,337.41,,,1.0,106.11626829411765,170.359375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.046114444732666,12,21,340.14,,,1.0,105.5539551875,170.5
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.044548749923706,12,21,372.75,,,1.0,102.11938475,170.34375
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0467948913574218,12,21,340.14,,,1.0,103.679199375,170.3125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0587596893310546,12,21,372.75,,,1.0,104.565918125,170.28125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.049354076385498,12,21,,,,,101.2834471875,169.949219
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0522310733795166,12,21,514.16,,,1.0,103.9184569375,170.316406
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0469613075256347,12,21,,,,,105.35180681249999,169.710938
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.047137975692749,12,21,372.75,,,1.0,103.5959471875,170.4375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0453636646270751,12,21,340.14,,,1.0,104.902587875,170.402344
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0445549488067626,12,21,340.14,,,1.0,105.4621581875,170.078125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.048877477645874,12,21,340.14,,,1.0,103.300781375,170.199219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0474705696105957,12,21,337.41,,,1.0,105.0881348125,170.421875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0485296249389648,12,21,340.14,,,1.0,103.5065918125,170.28125
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0446617603302001,12,21,410.52,,,1.0,104.11914056250001,170.6875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0525777339935302,12,21,340.14,,,1.0,105.07250987500001,170.296875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0508124828338623,12,21,372.75,,,1.0,104.7509764375,170.382812
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0467643737792968,12,21,372.75,,,1.0,101.37036137499999,170.011719
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0485143661499023,12,21,337.41,,,1.0,105.7580566875,170.253906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0582008361816406,12,21,340.14,,,1.0,105.19604506249999,170.273438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0474779605865478,12,21,410.52,,,1.0,105.19262699999999,170.332031
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0499107837677001,12,21,340.14,,,1.0,104.09082025000001,170.289062
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.05712890625,12,21,372.75,,,1.0,103.80761725,170.035156
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0496473312377929,12,21,,,,,102.9460449375,169.84375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0485546588897705,12,21,,,,,102.5976561764706,169.726562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0569407939910888,12,21,,,,,106.88166364705883,169.621094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0435333251953125,12,21,372.75,,,1.0,102.45483412499999,170.261719
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0496203899383544,12,21,337.41,,,1.0,104.81542962500001,170.351562
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0465011596679687,12,21,340.14,,,1.0,97.9283088235294,170.3125
