nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0445997714996337,23,52,,,,,133.45507805882352,170.238281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0484423637390136,23,52,,,,,134.95679442424242,170.34375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.049701452255249,23,52,,,,,135.08037409090912,170.527344
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0462567806243896,23,52,,,,,133.30492409090908,170.320312
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0455236434936523,23,52,,,,,132.74781711764706,169.960938
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0487880706787109,23,52,,,,,135.3394886969697,170.4375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0485544204711914,23,52,,,,,133.4762074848485,170.386719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0464920997619628,23,52,,,,,134.15969670588237,170.65625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0489513874053955,23,52,,,,,134.79900587878785,170.382812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0457844734191894,23,52,,,,,134.8069366969697,170.246094
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0467839241027832,23,52,,,,,132.72472420588232,170.304688
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0520799160003662,23,52,,,,,134.70087587878788,170.390625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0541815757751464,23,52,,,,,135.19862672727274,170.511719
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0453438758850097,23,52,,,,,132.86362597058823,170.160156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.044722557067871,23,52,,,,,135.08013733333334,170.410156
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.048868179321289,23,52,,,,,134.59540733333333,170.308594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0492494106292724,23,52,,,,,134.5303309117647,170.089844
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0459291934967041,23,52,,,,,130.46001835294118,170.417969
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0547113418579101,23,52,,,,,134.44839018181818,170.070312
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0477440357208251,23,52,,,,,132.22874541176472,170.398438
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0443432331085205,23,52,,,,,134.7696495757576,170.214844
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0512890815734863,23,52,,,,,134.6508050909091,170.164062
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0475697517395019,23,52,,,,,128.29710476470586,170.226562
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0497915744781494,23,52,,,,,135.14547827272727,170.199219
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.046391487121582,23,52,,,,,134.5741003030303,170.105469
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0454645156860351,23,52,,,,,133.21449917647058,170.453125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0500614643096923,23,52,,,,,135.48115820588234,170.269531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.04884934425354,23,52,,,,,135.21886839393937,170.507812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0472903251647949,23,52,,,,,134.39772721212123,170.191406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0560648441314697,23,52,,,,,133.25965082352943,170.238281
