nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0604875087738037,18,38,329.08,,128.55,41,106.64981623529413,175.992188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0635874271392822,18,38,329.08,,128.55,41,106.26323783333333,175.972656
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0620381832122802,18,38,329.08,,128.55,41,106.17417276470589,175.960938
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0590460300445556,18,38,329.08,,128.55,41,98.91731788888889,176.015625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0562968254089355,18,38,329.08,,128.55,41,104.50045947058823,176.046875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0709574222564697,18,38,329.08,,128.55,41,107.34627752941178,175.953125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0728120803833007,18,38,329.08,,128.55,41,104.8483455882353,176.308594
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0595834255218505,18,38,329.08,,128.55,41,106.81893376470589,176.09375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0694117546081543,18,38,329.08,,128.55,41,107.7329964117647,176.441406
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0652027130126953,18,38,329.08,,128.55,41,109.69270833333333,175.921875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0640883445739746,18,38,329.08,,128.55,41,105.16153476470589,176.164062
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0638871192932128,18,38,329.08,,128.55,41,105.82720588235294,175.878906
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0628259181976318,18,38,329.08,,128.55,41,107.91406247058822,175.925781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0637617111206054,18,38,329.08,,128.55,41,106.69784005882354,175.949219
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0627946853637695,18,38,329.08,,128.55,41,108.40842,176.003906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0711367130279541,18,38,329.08,,128.55,41,107.67816855555557,176.417969
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0629258155822753,18,38,329.08,,128.55,41,106.47541364705883,176.148438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0621662139892578,18,38,329.08,,128.55,41,105.64040805555555,176.078125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0590217113494873,18,38,329.08,,128.55,41,108.16888800000002,175.949219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0670652389526367,18,38,329.08,,128.55,41,106.01217835294118,174.617188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.1080336570739746,18,38,329.08,,128.55,41,112.81825663157895,175.878906
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0623195171356201,18,38,329.08,,128.55,41,106.24310670588235,175.929688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0638105869293212,18,38,329.08,,128.55,41,106.92830888235295,176.371094
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0639693737030029,18,38,329.08,,128.55,41,105.09466911764706,175.933594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0557756423950195,18,38,329.08,,128.55,41,112.69037826315788,176.066406
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0636816024780273,18,38,329.08,,128.55,41,96.2341889047619,176.253906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0715394020080566,18,38,329.08,,128.55,41,103.1961616521739,176.253906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0569360256195068,18,38,329.08,,128.55,41,97.63867200000001,175.980469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0763344764709472,18,38,329.08,,128.55,41,113.54872526315789,175.921875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0643322467803955,18,38,329.08,,128.55,41,106.13984385,176.210938
