nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0600523948669433,18,38,,,,,105.34788617647058,170.171875
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.052302598953247,18,38,,,,,105.00022976470588,170.066406
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0471076965332031,18,38,,,,,105.551513625,170.132812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0547566413879394,18,38,,,,,95.12775747058824,170.0625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0476391315460205,18,38,,,,,105.63940424999998,170.21875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0572054386138916,18,38,,,,,104.438720625,170.367188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0473358631134033,18,38,,,,,102.03906247058822,170.035156
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0497448444366455,18,38,,,,,104.7385254375,169.984375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0466721057891845,18,38,,,,,98.93864894117647,170.25
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0440938472747802,18,38,,,,,101.22338875,170.371094
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0517215728759765,18,38,,,,,103.8237303125,170.382812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0494143962860107,18,38,,,,,104.4240723125,170.132812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0516326427459716,18,38,,,,,95.2789521764706,170.109375
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0471975803375244,18,38,,,,,105.8354491875,170.277344
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0456154346466064,18,38,,,,,106.388916,170.308594
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0499219894409179,18,38,,,,,103.2517090625,169.964844
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0513112545013427,18,38,,,,,106.26123043749999,170.332031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0465660095214843,18,38,,,,,106.31518543749999,170.152344
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0542902946472168,18,38,,,,,100.35473637499999,169.976562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.047675609588623,18,38,,,,,104.463134875,170.222656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0506088733673095,18,38,,,,,102.10424800000001,170.0
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.056344985961914,18,38,,,,,103.9245605,170.269531
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0452513694763183,18,38,,,,,105.93554693749999,170.429688
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0510926246643066,18,38,,,,,106.12402356249999,170.273438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0524108409881591,18,38,,,,,100.954345625,170.15625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0468082427978515,18,38,,,,,104.50292974999999,170.160156
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0472679138183593,18,38,,,,,105.770752,169.859375
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0475885868072509,18,38,,,,,104.09350581250001,170.007812
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.050325870513916,18,38,,,,,106.0009764375,170.066406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0531744956970214,18,38,,,,,106.1257324375,170.304688
