nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0545618534088134,17,35,,87.21,11.3,1,102.14331043749999,172.882812
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0516331195831298,17,35,,87.21,11.3,1,104.23046881249999,173.246094
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0527386665344238,17,35,,87.21,11.3,1,101.44946293749999,173.050781
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0537929534912109,17,35,,87.21,11.3,1,106.4191894375,172.878906
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0610949993133544,17,35,,87.21,11.3,1,106.9724264117647,172.925781
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0528697967529296,17,35,,87.21,11.3,1,107.054931625,172.980469
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0505397319793701,17,35,,87.21,11.3,1,104.3811035,173.417969
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0534515380859375,17,35,,87.21,11.3,1,106.82743552941177,172.800781
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0527033805847168,17,35,,87.21,11.3,1,100.7954100625,173.195312
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0540194511413574,17,35,,87.21,11.3,1,102.8173828125,172.734375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0502266883850097,17,35,,87.21,11.3,1,96.23828105882353,172.945312
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.052013874053955,17,35,,87.21,11.3,1,103.1767579375,173.398438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0628688335418701,17,35,,87.21,11.3,1,103.5083008125,173.121094
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0515170097351074,17,35,,87.21,11.3,1,102.1266084117647,172.914062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0495529174804687,17,35,,87.21,11.3,1,104.8056640625,173.367188
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.059004783630371,17,35,,87.21,11.3,1,103.03857425000001,173.222656
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0497529506683349,17,35,,87.21,11.3,1,95.69071676470588,173.238281
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0534772872924804,17,35,,87.21,11.3,1,102.3085938125,173.171875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0511116981506347,17,35,,87.21,11.3,1,106.73901356249999,173.007812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0564577579498291,17,35,,87.21,11.3,1,108.5448189473684,173.003906
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0518231391906738,17,35,,87.21,11.3,1,107.07490811764707,174.324219
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.053718090057373,17,35,,87.21,11.3,1,105.94213881249999,172.773438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0523076057434082,17,35,,87.21,11.3,1,101.788086,173.085938
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0540049076080322,17,35,,87.21,11.3,1,105.110595625,172.964844
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0508351325988769,17,35,,87.21,11.3,1,102.56323237500001,172.832031
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0536897182464599,17,35,,87.21,11.3,1,101.21166987500001,173.101562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0548827648162841,17,35,,87.21,11.3,1,106.2143555625,172.921875
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0556817054748535,17,35,,87.21,11.3,1,106.0202638125,173.121094
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0644402503967285,17,35,,87.21,11.3,1,101.6101075,172.917969
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0542130470275878,17,35,,87.21,11.3,1,106.2678221875,173.066406
