nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0487213134765625,23,52,340.14,87.21,11.3,1.0,105.3955078125,170.554688
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0549895763397216,23,52,337.41,87.21,11.3,1.0,105.37637870588235,170.175781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0484488010406494,23,52,340.14,87.21,11.3,1.0,102.28686525,170.324219
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0507981777191162,23,52,372.75,87.21,11.3,1.0,102.85363052941176,170.503906
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0565519332885742,23,52,340.14,87.21,11.3,1.0,102.12597650000001,170.304688
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0536870956420898,23,52,372.75,87.21,11.3,1.0,102.65119482352941,170.578125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0513572692871093,23,52,,,,,104.386230375,169.703125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0475242137908935,23,52,514.16,87.21,11.3,1.0,105.6484375,170.101562
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0512545108795166,23,52,,,,,104.875,169.726562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0528228282928466,23,52,372.75,87.21,11.3,1.0,103.755127,170.554688
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0492274761199951,23,52,340.14,87.21,11.3,1.0,105.85644531249999,170.15625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0553362369537353,23,52,340.14,87.21,11.3,1.0,101.30004887499999,170.355469
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0568330287933349,23,52,340.14,87.21,11.3,1.0,104.66162112500001,170.285156
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0560307502746582,23,52,337.41,87.21,11.3,1.0,104.93798831249998,170.6875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0467917919158935,23,52,340.14,87.21,11.3,1.0,105.62988281249999,170.300781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0503997802734375,23,52,410.52,87.21,11.3,1.0,105.46215818750001,170.480469
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0495893955230712,23,52,340.14,87.21,11.3,1.0,105.05981443750001,170.917969
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0517811775207519,23,52,372.75,87.21,11.3,1.0,104.0642089375,170.203125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0538902282714843,23,52,372.75,87.21,11.3,1.0,103.0292966875,170.28125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0599381923675537,23,52,337.41,87.21,11.3,1.0,105.192627,170.578125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0547077655792236,23,52,340.14,87.21,11.3,1.0,104.76000975,170.402344
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0490450859069824,23,52,410.52,87.21,11.3,1.0,105.6364745625,170.25
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0564994812011718,23,52,340.14,87.21,11.3,1.0,104.5676269375,169.96875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0543155670166015,23,52,372.75,87.21,11.3,1.0,99.2060546875,170.457031
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0505011081695556,23,52,,,,,104.77026375,169.90625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0646965503692627,23,52,,,,,103.3842774375,169.558594
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.049741506576538,23,52,,,,,105.10791025,169.929688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0496375560760498,23,52,372.75,87.21,11.3,1.0,104.504150375,170.445312
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0621454715728759,23,52,337.41,87.21,11.3,1.0,105.19042981249999,170.171875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.052276611328125,23,52,340.14,87.21,11.3,1.0,101.8566894375,170.582031
