nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0442218780517578,18,38,,,,,95.83295029411765,169.78125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0581836700439453,18,38,,,,,106.10431988235294,169.925781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0488929748535156,18,38,,,,,102.62060550000001,169.882812
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0567376613616943,18,38,,,,,104.54021141176472,170.171875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0426101684570312,18,38,,,,,106.344726625,169.867188
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0477893352508544,18,38,,,,,105.63061531249998,169.917969
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0464844703674316,18,38,,,,,94.17876841176471,169.765625
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0474727153778076,18,38,,,,,105.2255859375,169.957031
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0492210388183593,18,38,,,,,104.378662,169.890625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0470201969146728,18,38,,,,,92.85041370588236,169.898438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0466868877410888,18,38,,,,,106.5637206875,170.03125
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0459711551666259,18,38,,,,,106.03320306250001,170.328125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.044670820236206,18,38,,,,,104.278076125,170.050781
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0547621250152587,18,38,,,,,103.75463862500001,169.707031
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.047633409500122,18,38,,,,,103.43505862500001,169.628906
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0453643798828125,18,38,,,,,101.23046868750001,169.976562
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0475194454193115,18,38,,,,,99.19232541176471,170.222656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0604465007781982,18,38,,,,,105.7885743125,170.042969
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.05242919921875,18,38,,,,,103.4326171875,169.949219
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0489320755004882,18,38,,,,,104.89306662499999,169.996094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0590777397155761,18,38,,,,,107.52642476470588,169.992188
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.04866623878479,18,38,,,,,101.9232535882353,169.945312
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0479404926300048,18,38,,,,,102.1833496875,169.660156
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0538063049316406,18,38,,,,,97.91429223529411,169.957031
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0450677871704101,18,38,,,,,106.3029785625,169.484375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0459752082824707,18,38,,,,,105.3593749375,169.632812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0501270294189453,18,38,,,,,108.9122244117647,169.90625
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0469236373901367,18,38,,,,,106.28735356249999,170.03125
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0476830005645751,18,38,,,,,104.604248,170.148438
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.050882339477539,18,38,,,,,98.1470588235294,170.152344
