nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0423095226287841,8.0,12.0,182.1523871120049,138.56,,18,74.01909727777777,133.121094
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0430004596710205,8.0,12.0,172.8350523227825,138.56,,18,73.15190972222221,134.710938
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0430011749267578,8.0,12.0,170.9266533979351,138.56,,18,73.842882,133.261719
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0430006980895996,8.0,12.0,188.5780170504457,138.56,,18,73.83572044444446,133.296875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0434134006500244,8.0,12.0,178.9678844644646,138.56,,18,73.9153646111111,133.144531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0438723564147949,8.0,12.0,176.9905676978131,138.56,,18,73.0073785,136.511719
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0429997444152832,8.0,12.0,205.67521587568424,138.56,,18,72.98177088888889,134.871094
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0431404113769531,8.0,12.0,195.35634818913584,138.56,,18,73.8025173888889,133.402344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0440001487731933,8.0,12.0,193.1708447816371,138.56,,18,73.62977444444445,134.683594
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0423657894134521,8.0,12.0,186.4279031371164,138.56,,18,73.66427966666667,134.609375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0440001487731933,8.0,12.0,176.9354283974219,138.56,,18,73.08940983333335,134.667969
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0429997444152832,8.0,12.0,174.95319929669645,138.56,,18,73.76779522222222,134.539062
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0429995059967041,8.0,12.0,182.3612862445992,138.56,,18,73.60156255555556,133.261719
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0432648658752441,8.0,12.0,173.04966633394142,138.56,,18,73.27756083333333,134.917969
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0429995059967041,8.0,12.0,171.09961892533025,138.56,,18,73.5635851111111,135.054688
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0430479049682617,8.0,12.0,190.061215265345,138.56,,18,72.87152772222223,134.699219
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0430004596710205,8.0,12.0,180.3860144209281,138.56,,18,73.50520833333331,134.925781
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0431165695190429,8.0,12.0,178.41138857168866,138.56,,18,73.05642372222222,134.996094
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0429990291595459,8.0,12.0,183.85058445445773,138.56,,18,73.77170138888889,133.285156
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.041999340057373,8.0,12.0,174.48419305314576,138.56,,18,73.72721338888888,134.910156
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0430946350097656,8.0,12.0,172.52112554191777,138.56,,18,73.79991311111111,133.230469
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0423066616058349,8.0,12.0,190.70342078843152,138.56,,18,73.80815977777777,133.160156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0429997444152832,8.0,12.0,181.035806083774,138.56,,18,74.12152783333335,133.386719
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0440006256103515,8.0,12.0,178.9797472925367,138.56,,18,73.12912333333333,134.722656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0427026748657226,8.0,12.0,169.29872557321536,138.56,,18,73.32747394444444,134.769531
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0433752536773681,8.0,12.0,160.5678742324374,138.56,,18,73.5826823888889,134.976562
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0430011749267578,8.0,12.0,158.74137281733428,138.56,,18,73.40820316666667,134.585938
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0419995784759521,8.0,12.0,184.2777911857604,138.56,,18,73.34765627777776,134.847656
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0429999828338623,8.0,12.0,174.90297407476635,138.56,,18,73.33485249999998,134.816406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0440011024475097,8.0,12.0,172.91583265382314,138.56,,18,73.80642355555557,133.160156
