nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0486452579498291,8.0,12.0,137.6667856007482,,148.17000000000002,55,74.59071188888889,133.164062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0492908954620361,8.0,12.0,128.38397281440615,,148.17000000000002,55,74.06662344444446,133.105469
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0491354465484619,8.0,12.0,126.44870571576024,,148.17000000000002,55,73.61154533333334,133.054688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0499999523162841,8.0,12.0,144.1253296910112,,148.17000000000002,55,73.9663628888889,134.996094
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0491044521331787,8.0,12.0,134.55074094058233,,148.17000000000002,55,73.36436644444444,136.234375
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0490005016326904,8.0,12.0,132.54575195739392,,148.17000000000002,55,73.73914927777778,132.871094
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0490009784698486,8.0,12.0,161.31018981875894,,148.17000000000002,55,73.70160583333332,133.160156
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0479993820190429,8.0,12.0,151.02976135934966,,148.17000000000002,55,73.70876738888889,134.832031
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0490005016326904,8.0,12.0,148.8143313520074,,148.17000000000002,55,73.39062494444445,134.757812
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0490896701812744,8.0,12.0,141.96425222647042,,148.17000000000002,55,74.48350694444444,132.984375
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0484242439270019,8.0,12.0,132.5069896865391,,148.17000000000002,55,74.18359366666668,133.289062
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0499999523162841,8.0,12.0,130.49733032643434,,148.17000000000002,55,73.50325522222221,136.582031
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0494744777679443,8.0,12.0,137.87683878084687,,148.17000000000002,55,73.47547744444445,134.890625
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0500671863555908,8.0,12.0,128.59976628429246,,148.17000000000002,55,73.077257,134.945312
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0493831634521484,8.0,12.0,126.62282663337346,,148.17000000000002,55,73.76736116666666,134.910156
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0490000247955322,8.0,12.0,145.61626970492767,,148.17000000000002,55,74.10047738888889,133.050781
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0484716892242431,8.0,12.0,135.9768606741248,,148.17000000000002,55,73.81618922222222,133.296875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0492174625396728,8.0,12.0,133.9743620421039,,148.17000000000002,55,73.83680555555556,134.894531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0490009784698486,8.0,12.0,139.3738077380567,,148.17000000000002,55,73.12217894444444,134.898438
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.049091100692749,8.0,12.0,130.04223206812452,,148.17000000000002,55,73.56380216666668,133.113281
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0493130683898925,8.0,12.0,128.05201570204326,,148.17000000000002,55,73.90321172222222,133.140625
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0493011474609375,8.0,12.0,146.26172044148132,,148.17000000000002,55,73.74652772222221,132.507812
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0492022037506103,8.0,12.0,136.6300081327959,,148.17000000000002,55,74.87413194444443,134.085938
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0490009784698486,8.0,12.0,134.5459570057984,,148.17000000000002,55,72.87717016666666,134.941406
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0490005016326904,8.0,12.0,124.7474169455988,,148.17000000000002,55,73.58745666666667,134.847656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0489997863769531,8.0,12.0,116.04896525432854,,148.17000000000002,55,73.78645838888889,134.898438
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0490005016326904,8.0,12.0,114.19718485359851,,148.17000000000002,55,73.25954866666669,135.042969
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0489993095397949,8.0,12.0,139.8031766951258,,148.17000000000002,55,72.3450521111111,136.355469
