nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0859999656677246,8.0,12.0,,,,,71.16611836842105,134.398438
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0480060577392578,8.0,12.0,4926.464821665546,85.97,,13.0,73.33289922222224,134.671875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0480010509490966,8.0,12.0,4918.098059849274,85.97,,13.0,73.51909727777777,135.171875
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0721716880798339,8.0,12.0,1938.2272720410592,85.97,,13.0,73.72026916666667,134.691406
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0859994888305664,8.0,12.0,,,,,74.00303816666666,134.128906
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0850007534027099,8.0,12.0,,,,,73.70876744444445,134.839844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.087127685546875,8.0,12.0,,,,,72.16488484210527,134.855469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0850005149841308,8.0,12.0,,,,,73.88585061111111,134.753906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0855028629302978,8.0,12.0,,,,,75.80921047368422,134.914062
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0721266269683837,8.0,12.0,1907.9420429596053,85.97,,13.0,75.56003284210527,136.667969
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0480003356933593,8.0,12.0,5005.382458669349,85.97,,13.0,73.75412327777778,136.757812
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0860459804534912,8.0,12.0,,,,,70.24465468421053,134.777344
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.087001085281372,8.0,12.0,,,,,73.96223961111112,135.0
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0492658615112304,8.0,12.0,4930.3450061570165,85.97,,13.0,73.50564233333334,134.375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0469992160797119,8.0,12.0,4922.338108267338,85.97,,13.0,73.68185766666666,133.109375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0739998817443847,8.0,12.0,1959.4962235013488,85.97,,13.0,73.60416677777778,134.691406
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0852103233337402,8.0,12.0,,,,,74.94487844444444,134.683594
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0849997997283935,8.0,12.0,,,,,73.16755768421052,135.140625
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0849988460540771,8.0,12.0,,,,,71.18112684210526,134.625
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0480000972747802,8.0,12.0,4958.067292199926,85.97,,13.0,73.62695316666668,134.871094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.085733413696289,8.0,12.0,,,,,73.8066406111111,134.898438
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0729997158050537,8.0,12.0,1968.5730173411,85.97,,13.0,73.5145401111111,134.800781
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0855994224548339,8.0,12.0,,,,,71.28371710526316,134.75
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0736539363861084,8.0,12.0,1956.9993891084653,85.97,,13.0,73.78710944444445,136.636719
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0859999656677246,8.0,12.0,,,,,75.80119252631577,134.535156
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0862271785736084,8.0,12.0,,,,,75.65028784210527,134.621094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0856885910034179,8.0,12.0,,,,,72.19860210526315,134.835938
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0849990844726562,8.0,12.0,,,,,75.33861021052633,133.914062
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0490007400512695,8.0,12.0,4965.745611356153,85.97,,13.0,73.0397135,134.738281
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0850000381469726,8.0,12.0,,,,,74.16167533333333,134.867188
