nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.051187515258789,7.0,8.0,,,,,73.48654522222222,134.304688
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0420007705688476,7.0,8.0,4925.594821665546,,,100.0,72.81879333333333,134.433594
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0420012474060058,7.0,8.0,4917.228059849274,,,100.0,72.99240444444445,134.328125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0489592552185058,7.0,8.0,1912.127272041059,,,100.0,73.30056433333333,134.367188
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.048999547958374,7.0,8.0,,,,,74.23177083333331,132.671875
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.051222801208496,7.0,8.0,,,,,73.13715277777777,135.160156
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.054145336151123,7.0,8.0,,,,,75.91735210526315,134.671875
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0503160953521728,7.0,8.0,,,,,73.77777772222223,134.890625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0494430065155029,7.0,8.0,,,,,73.51519088888888,135.234375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0480000972747802,7.0,8.0,1881.8420429596056,,,100.0,73.1783853888889,134.785156
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0421698093414306,7.0,8.0,5004.512458669351,,,100.0,73.22699644444444,136.140625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0499989986419677,7.0,8.0,,,,,73.90234383333332,134.617188
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0493924617767334,7.0,8.0,,,,,74.08029522222222,132.179688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0420489311218261,7.0,8.0,4929.475006157016,,,100.0,73.88107638888889,135.941406
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0450019836425781,7.0,8.0,4921.468108267338,,,100.0,74.20855016666667,133.121094
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0480968952178955,7.0,8.0,1933.396223501348,,,100.0,74.421875,133.660156
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0509982109069824,7.0,8.0,,,,,73.27560766666667,134.785156
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0499987602233886,7.0,8.0,,,,,74.02191850000001,133.433594
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0503714084625244,7.0,8.0,,,,,74.10677077777775,134.519531
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0421276092529296,7.0,8.0,4957.197292199928,,,100.0,73.32877588888888,132.851562
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0510003566741943,7.0,8.0,,,,,73.54492194444444,134.792969
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0479989051818847,7.0,8.0,1942.4730173411,,,100.0,73.61979166666667,132.714844
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.049999713897705,7.0,8.0,,,,,73.02105050000002,134.417969
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0480008125305175,7.0,8.0,1930.8993891084656,,,100.0,73.72981772222222,134.496094
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0500001907348632,7.0,8.0,,,,,72.68359372222223,134.597656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0500001907348632,7.0,8.0,,,,,73.90147561111111,134.804688
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0512263774871826,7.0,8.0,,,,,73.358724,134.386719
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0503756999969482,7.0,8.0,,,,,72.80164927777777,134.941406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0423002243041992,7.0,8.0,4964.875611356154,,,100.0,73.26714405555555,136.519531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0499994754791259,7.0,8.0,,,,,73.28537316666666,134.6875
