nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0490493774414062,15,29,326.2142535487547,167.2299999999999,,31,135.61881519444444,176.15625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0466947555541992,15,29,324.26853139368603,167.2299999999999,,31,136.34100508108108,175.925781
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0461034774780273,15,29,330.2920446918002,167.2299999999999,,31,137.6761066111111,175.949219
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0505647659301757,15,29,333.645254320274,178.4999999999999,,36,133.36570940540543,175.664062
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0493121147155761,15,29,334.5017099072465,172.56999999999988,,33,136.28407125,176.066406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0470132827758789,15,29,334.06457378196603,188.65999999999988,,40,136.74218761111115,175.492188
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0484144687652587,15,29,333.8577374982864,265.23999999999984,,70,133.27956097297297,174.378906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0502641201019287,15,29,334.5067039104555,256.77999999999986,,67,138.1805553611111,175.820312
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0479757785797119,15,29,333.6591718295706,279.3399999999998,,75,135.99565938888887,175.628906
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0471343994140625,15,29,334.34475171798323,167.2299999999999,,31,133.3383657567568,176.046875
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.048663854598999,15,29,332.3480934019814,167.2299999999999,,31,137.1805557777778,175.765625
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0486557483673095,15,29,333.7755203448315,178.4999999999999,,36,137.4275175,175.398438
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0485153198242187,15,29,326.6246481263594,167.2299999999999,,31,136.40456054054053,176.097656
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0482780933380126,15,29,324.67437799542955,167.2299999999999,,31,137.3592666388889,176.210938
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0501091480255126,15,29,330.7304812755043,167.2299999999999,,31,137.65386286111112,175.863281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0549185276031494,15,29,333.65153305876333,186.11999999999983,,39,137.37489144444444,175.816406
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.046476125717163,15,29,334.48923558661744,178.4999999999999,,36,135.59660059459458,175.769531
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0499322414398193,15,29,334.0872723520456,196.2799999999999,,43,137.3195528888889,175.890625
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0502793788909912,15,29,329.4818514763716,167.2299999999999,,31,137.4201388611111,175.863281
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.047753095626831,15,29,327.49893622457085,167.2299999999999,,31,137.81922758333334,175.898438
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0502674579620361,15,29,333.602811480581,167.2299999999999,,31,136.00538432432433,178.019531
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0477149486541748,15,29,333.9252562859997,188.65999999999988,,40,137.38639313888888,175.542969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0467915534973144,15,29,333.7776618792031,183.5799999999999,,38,137.70734778378377,175.6875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0480005741119384,15,29,334.40900181314146,198.81999999999988,,44,138.2852648888889,175.921875
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0484850406646728,15,29,331.19801627885965,61.91999999999995,,1,131.61834894594594,176.429688
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0461509227752685,15,29,329.32632128767386,61.91999999999995,,1,136.81098099999997,176.132812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0499989986419677,15,29,334.5553081349383,67.03999999999994,,2,134.0134078108108,176.265625
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0484507083892822,15,29,330.29425483741585,167.2299999999999,,31,138.22482636111113,176.152344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0518450736999511,15,29,328.2944830426839,167.2299999999999,,31,135.90440547222224,176.09375
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0504922866821289,15,29,334.43647213914284,167.2299999999999,,31,133.27554905405407,176.117188
