nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0616939067840576,15,15,352.1298550600114,,0.0,8,105.03515623529411,176.75
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0626153945922851,15,15,350.1496109020624,,0.0,8,106.18244470588236,176.789062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0598070621490478,15,15,356.1999923739749,,0.0,8,108.25827211764705,176.707031
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0615246295928955,15,15,364.2779416797085,,0.0,8,105.17486211764705,177.171875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0719208717346191,15,15,362.2488534311289,,0.0,8,106.89590994117646,176.722656
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0714666843414306,15,15,368.4893895223853,,0.0,8,108.9231768888889,176.539062
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0801832675933837,15,15,387.58276355521167,,1.3599999999997865,27,105.20529516666664,177.128906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.060159683227539,15,15,390.5567039104556,,0.0,8,107.56962329411765,176.105469
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0594844818115234,15,15,379.25917182957073,,1.3599999999997865,27,106.67664922222222,175.847656
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0658636093139648,15,15,360.2384026286293,,0.0,8,106.84007364705883,176.464844
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0528004169464111,15,15,358.2065321128642,,0.0,8,102.44118927777777,176.675781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0657732486724853,15,15,364.4113893150936,,0.0,8,91.00097650000001,176.746094
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0633726119995117,15,15,352.5390955901118,,0.0,8,107.31020235294119,176.964844
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0674796104431152,15,15,350.5542780450784,,0.0,8,109.24066838888889,176.789062
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0600957870483398,15,15,356.6372735674611,,0.0,8,105.813151,176.558594
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.065845251083374,15,15,367.1264786191808,,0.0,8,105.67141547058823,176.546875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0639955997467041,15,15,365.0783893334208,,0.0,8,108.06315116666667,176.796875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0632343292236328,15,15,371.35429888163054,,0.0,8,106.35386047058824,176.742188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0697925090789794,15,15,355.38862819277256,,0.0,8,106.68221494117648,176.605469
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0644736289978027,15,15,353.3708972095921,,0.0,8,104.7162224117647,176.621094
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0638875961303711,15,15,359.50192132045544,,0.0,8,107.51539529411764,176.804688
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0809674263000488,15,15,368.3469566329499,,0.0,8,110.59114594444445,177.117188
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.065885305404663,15,15,366.26345983018126,,0.0,8,105.13602941176471,176.515625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0623795986175537,15,15,372.6227920998797,,0.0,8,107.93290452941176,176.753906
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0611279010772705,15,15,327.8380162788597,,0.0,8,109.27669288888887,176.835938
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0606000423431396,15,15,325.9663212876739,,0.0,8,106.9767921764706,176.6875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0699267387390136,15,15,331.6753081349383,,0.0,8,105.9538142352941,176.800781
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0588226318359375,15,15,356.1988693280503,,0.0,8,107.19162316666666,176.738281
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.062455415725708,15,15,354.1642169745031,,0.0,8,106.59099270588236,176.453125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0620148181915283,15,15,360.33339436585567,,0.0,8,108.3766085882353,176.863281
