nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0468535423278808,16,16,,82.00999999999995,2.0899999999999963,1,134.75574447058824,174.417969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0533919334411621,16,16,,82.00999999999995,2.0899999999999963,1,135.83094633333334,174.40625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0500111579895019,16,16,,82.00999999999995,2.0899999999999963,1,132.44029014285712,174.550781
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0517990589141845,16,16,,82.00999999999995,2.0899999999999963,1,135.6833640882353,174.390625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0499300956726074,16,16,,82.00999999999995,2.0899999999999963,1,135.8143974,174.339844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0462791919708251,16,16,,82.00999999999995,2.0899999999999963,1,131.6741070857143,174.339844
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.050196886062622,16,16,,82.00999999999995,2.0899999999999963,1,135.8991266764706,174.453125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0471808910369873,16,16,,82.00999999999995,2.0899999999999963,1,133.4121652285714,174.511719
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0510683059692382,16,16,,82.00999999999995,2.0899999999999963,1,136.59241077142858,174.578125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0507898330688476,16,16,,82.00999999999995,2.0899999999999963,1,135.80859391176475,174.433594
