nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0482978820800781,18,19,337.5838338508617,88.59,55.5,95,133.7488838857143,174.167969
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0619068145751953,18,19,304.5976496730833,88.59,55.5,95,135.7247178888889,173.839844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0488555431365966,18,19,318.7603564115987,87.27,55.5,95,129.3636161142857,174.0625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0484216213226318,18,19,377.269427587856,87.27,55.5,95,135.62959561764706,174.183594
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0488061904907226,18,19,343.2902517640485,87.27,55.5,95,135.72656242857144,174.078125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0483722686767578,18,19,357.8722628699508,88.59,55.5,95,135.941636,174.03125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0485711097717285,18,19,483.0702888223463,87.27,55.5,95,130.11529017142857,174.230469
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0461742877960205,18,19,446.3828349127284,87.27,55.5,95,131.13805817142855,174.207031
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.055474042892456,18,19,462.13412571001936,87.27,55.5,95,135.41923252941177,174.300781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0486962795257568,18,19,364.04530738270313,87.27,55.5,95,129.54531262857142,174.378906
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0512638092041015,18,19,330.39521080274085,88.59,55.5,95,135.09443932352943,174.246094
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0466914176940918,18,19,344.84889766131994,87.27,55.5,95,135.24069388235293,174.28125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.049854040145874,18,19,338.9019828199803,87.27,55.5,95,134.63120420588234,174.03125
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0498702526092529,18,19,305.91390448519576,88.59,55.5,95,135.0405133142857,174.34375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0465874671936035,18,19,320.0709982122204,87.27,55.5,95,133.3752232,174.113281
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0555014610290527,18,19,386.5083824376623,88.59,55.5,95,135.7188649117647,174.183594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.051302433013916,18,19,352.29358776473964,87.27,55.5,95,134.81020241176472,174.1875
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0536539554595947,18,19,366.9920213688781,88.59,55.5,95,135.62968768571426,174.144531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0481917858123779,18,19,348.1773293547513,88.59,55.5,95,136.4824778857143,174.058594
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0511744022369384,18,19,314.92684241943266,88.59,55.5,95,135.12166805882353,174.105469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0489251613616943,18,19,329.20488099548857,88.59,55.5,95,134.8671876470588,173.960938
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0491161346435546,18,19,390.5068100451415,87.27,55.5,95,136.17477682857145,174.308594
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0482232570648193,18,19,356.1928013138999,88.59,55.5,95,134.70145085714285,173.988281
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0482623577117919,18,19,370.9374666957797,87.27,55.5,95,134.56537229411765,174.136719
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0490555763244628,18,19,258.2276249420127,88.59,55.5,95,136.377068,174.242188
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0636484622955322,18,19,227.2651011524765,88.59,55.5,95,135.76986605714288,174.417969
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0486683845520019,18,19,240.56397964024848,88.59,55.5,95,135.12982520588236,174.070312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0547423362731933,18,19,350.82121430072823,88.59,55.5,95,134.25712326470585,173.957031
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0438244342803955,18,19,317.5001982072183,88.59,55.5,95,135.2920498235294,173.894531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0498054027557373,18,19,331.8255571763806,88.59,55.5,95,134.82628661764707,174.1875
