nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0543005466461181,13,13,336.3338338508613,87.47,,100,105.6810661764706,173.511719
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.05769944190979,13,13,303.34764967308297,87.47,,100,104.39499076470588,173.851562
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0550389289855957,13,13,317.5103564115984,87.47,,100,107.1429227647059,173.625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0586946010589599,13,13,376.019427587856,87.47,,100,107.3998161764706,173.875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0558326244354248,13,13,342.04025176404843,87.47,,100,103.62247252941177,174.152344
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0578434467315673,13,13,356.6222628699504,87.47,,100,106.96231611764706,173.84375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0619235038757324,13,13,481.8202888223459,87.47,,100,99.311849,173.878906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0527148246765136,13,13,445.1328349127282,87.47,,100,99.42339416666667,173.84375
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.063136339187622,13,13,460.8841257100189,87.47,,100,104.60133270588234,173.5
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0525815486907959,13,13,362.79530738270273,87.47,,100,104.55353864705882,173.863281
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0615582466125488,13,13,329.14521080274085,87.47,,100,105.61971511764708,173.636719
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0534877777099609,13,13,343.5988976613198,87.47,,100,107.19462323529412,173.625
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0561051368713378,13,13,337.6519828199798,87.47,,100,104.05316822222224,173.507812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0516998767852783,13,13,304.6639044851954,87.47,,100,107.81479770588237,173.632812
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.056340217590332,13,13,318.82099821222005,87.47,,100,105.64774811764705,173.976562
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0514223575592041,13,13,385.258382437662,87.47,,100,105.79779423529412,173.433594
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0522260665893554,13,13,351.0435877647394,87.47,,100,103.34158,173.707031
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0573511123657226,13,13,365.7420213688779,87.47,,100,106.8412224117647,173.828125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0501103401184082,13,13,346.927329354751,87.47,,100,106.31594670588235,173.976562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0561800003051757,13,13,313.67684241943243,87.47,,100,105.83088247058822,173.921875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0605051517486572,13,13,327.9548809954881,87.47,,100,105.49379594117647,173.730469
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0574221611022949,13,13,389.25681004514126,87.47,,100,105.89935658823529,173.289062
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0525407791137695,13,13,354.9428013138995,87.47,,100,105.33088241176472,173.601562
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0534501075744628,13,13,369.68746669577945,87.47,,100,105.265625,173.597656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0651500225067138,13,13,256.9776249420124,87.47,,100,106.5795035882353,173.722656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0594007968902587,13,13,226.01510115247584,87.47,,100,106.44784000000001,173.882812
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0584096908569335,13,13,239.3139796402481,87.47,,100,103.19943566666667,173.570312
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0534532070159912,13,13,349.5712143007279,87.47,,100,105.02527570588235,173.9375
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0518088340759277,13,13,316.25019820721764,87.47,,100,105.88878688235295,173.3125
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0539274215698242,13,13,330.57555717638024,87.47,,100,104.87316188235296,173.667969
