nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0604863166809082,13,13,336.3338338508613,,57.7,100,106.2210478235294,173.390625
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0637037754058837,13,13,303.34764967308297,,57.7,100,107.47610294117648,173.570312
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0560629367828369,13,13,317.5103564115984,,57.7,100,107.45399305555556,173.359375
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0417027473449707,13,13,376.019427587856,,57.7,100,103.6594239375,171.523438
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.054056167602539,13,13,342.04025176404843,,57.7,100,105.34352023529411,173.222656
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0532355308532714,13,13,356.6222628699504,,57.7,100,104.86420035294117,173.53125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0569527149200439,13,13,481.8202888223459,,57.7,100,105.43818929411765,173.203125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0560886859893798,13,13,445.1328349127282,,57.7,100,105.61465994117647,173.644531
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0482642650604248,13,13,460.8841257100189,,57.7,100,104.421875,173.585938
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0473878383636474,13,13,362.79530738270273,,57.7,100,106.07306988235294,173.703125
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0550301074981689,13,13,329.14521080274085,,57.7,100,105.53837311764705,171.308594
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0511224269866943,13,13,343.5988976613198,,57.7,100,106.92991729411766,173.382812
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0542571544647216,13,13,337.6519828199798,,57.7,100,106.43658088235294,173.195312
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0529184341430664,13,13,304.6639044851954,,57.7,100,104.32375917647059,173.347656
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0537889003753662,13,13,318.82099821222005,,57.7,100,105.80376847058824,173.234375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0530328750610351,13,13,385.258382437662,,57.7,100,107.286535,173.535156
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0575983524322509,13,13,351.0435877647394,,57.7,100,98.45551222222223,173.679688
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.051790714263916,13,13,365.7420213688779,,57.7,100,106.64499076470588,173.476562
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0539357662200927,13,13,346.927329354751,,57.7,100,105.78676482352941,173.335938
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0521333217620849,13,13,313.67684241943243,,57.7,100,105.0930607647059,173.230469
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0840983390808105,13,13,327.9548809954881,,57.7,100,112.22265615789473,173.421875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0523445606231689,13,13,389.25681004514126,,57.7,100,106.76401658823528,173.222656
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0547802448272705,13,13,354.9428013138995,,57.7,100,97.41927083333333,172.953125
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0571768283843994,13,13,369.68746669577945,,57.7,100,107.54848335294118,173.382812
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.051523208618164,13,13,256.9776249420124,,57.7,100,106.08961388235295,173.257812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.051889419555664,13,13,226.01510115247584,,57.7,100,107.45726111764706,173.179688
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0512032508850097,13,13,239.3139796402481,,57.7,100,106.58455888235295,173.074219
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0558996200561523,13,13,349.5712143007279,,57.7,100,105.9129776111111,173.554688
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.048426866531372,13,13,316.25019820721764,,57.7,100,107.13327205882354,173.433594
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0472285747528076,13,13,330.57555717638024,,57.7,100,107.31295976470587,173.335938
