nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0388669967651367,8,7,336.3338338508617,,,100,135.9981025142857,171.3125
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.048703908920288,8,7,303.3476496730833,,,100,129.75918491891892,171.671875
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.039421796798706,8,7,317.5103564115987,,,100,134.47380511764706,171.441406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0439951419830322,8,7,376.019427587856,,,100,134.51436129411763,171.429688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0433218479156494,8,7,342.0402517640485,,,100,130.9710936857143,171.488281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0442934036254882,8,7,356.6222628699508,,,100,134.64912664705884,171.574219
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0426232814788818,8,7,481.8202888223463,,,100,133.66911755882353,171.457031
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0410754680633544,8,7,445.1328349127284,,,100,135.48113857142857,171.777344
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0522050857543945,8,7,460.88412571001936,,,100,135.58984382857142,171.265625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0413956642150878,8,7,362.79530738270313,,,100,132.89763317647058,171.601562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0454952716827392,8,7,329.14521080274085,,,100,130.74397325714284,171.785156
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0403254032135009,8,7,343.59889766131994,,,100,130.75145077142858,171.238281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0413401126861572,8,7,337.6519828199803,,,100,135.0826059117647,171.574219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0402235984802246,8,7,304.66390448519576,,,100,132.92254459999998,171.921875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0449798107147216,8,7,318.8209982122204,,,100,134.06015631428568,171.660156
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0457110404968261,8,7,385.2583824376623,,,100,135.96651797142854,172.703125
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0424110889434814,8,7,351.04358776473964,,,100,134.45289517647058,171.359375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0381567478179931,8,7,365.7420213688781,,,100,135.14786308823528,171.28125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0402908325195312,8,7,346.9273293547513,,,100,134.91897334285716,171.367188
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0405681133270263,8,7,313.67684241943266,,,100,135.46438420588237,171.695312
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0422351360321044,8,7,327.95488099548857,,,100,133.9765623529412,171.347656
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0402724742889404,8,7,389.2568100451415,,,100,131.02779008571432,171.304688
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0424416065216064,8,7,354.9428013138999,,,100,133.88013405714284,171.625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0427572727203369,8,7,369.6874666957797,,,100,134.72782638235296,171.710938
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0410168170928955,8,7,256.9776249420127,,,100,135.54419654285712,171.5625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.04398775100708,8,7,226.0151011524765,,,100,135.8469866,171.578125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0392308235168457,8,7,239.31397964024848,,,100,131.3053766470588,171.757812
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0390899181365966,8,7,349.57121430072823,,,100,133.8050323529412,171.46875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0463805198669433,8,7,316.2501982072183,,,100,136.08145676470588,171.71875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0408761501312255,8,7,330.5755571763806,,,100,134.47334552941177,171.40625
