nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.04270601272583,16,16,,,,,135.62912934285714,170.867188
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0412793159484863,16,16,,,,,135.53805777142856,170.679688
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0491180419921875,16,16,,,,,134.4548484117647,170.65625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0425601005554199,16,16,,,,,136.08761168571428,170.828125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0441513061523437,16,16,,,,,136.0079208611111,171.097656
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0421578884124755,16,16,,,,,135.86629465714287,170.8125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0407485961914062,16,16,,,,,134.39372697058823,170.714844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0429179668426513,16,16,,,,,131.20580354285715,170.488281
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0486667156219482,16,16,,,,,135.86431538235294,171.101562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0433392524719238,16,16,,,,,134.6207489117647,170.882812
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0510971546173095,16,16,,,,,135.44151785714286,170.691406
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0430946350097656,16,16,,,,,131.71138411428572,170.96875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0413334369659423,16,16,,,,,135.45553770588236,171.054688
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0497710704803466,16,16,,,,,133.6891742,170.796875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0451323986053466,16,16,,,,,131.28303577142853,170.847656
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0498757362365722,16,16,,,,,135.36868114705882,171.117188
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0415220260620117,16,16,,,,,135.3651194411765,170.925781
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.048063039779663,16,16,,,,,136.59363825714286,170.519531
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0408127307891845,16,16,,,,,135.43336388235295,170.976562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0402133464813232,16,16,,,,,135.21610758823527,170.640625
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0442476272583007,16,16,,,,,136.0612724,170.730469
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0434565544128418,16,16,,,,,136.02622774285715,171.035156
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0456986427307128,16,16,,,,,134.8245632352941,170.609375
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.043320894241333,16,16,,,,,130.61462068571427,170.835938
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0457868576049804,16,16,,,,,131.14296888571428,170.980469
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0435945987701416,16,16,,,,,136.62586802777776,170.921875
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0493443012237548,16,16,,,,,131.09330365714283,170.644531
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0428237915039062,16,16,,,,,135.37031265714285,171.0
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0406806468963623,16,16,,,,,135.75535722857143,170.75
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0406920909881591,16,16,,,,,135.05813423529412,170.722656
