nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0489721298217773,13,13,,,,,104.88212329411763,169.519531
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0644664764404296,13,13,312.8476496730833,,40.97999999999997,62.0,107.419807,174.527344
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0478782653808593,13,13,,,,,104.42968735294119,169.695312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0530157089233398,13,13,,,,,104.6897978235294,169.660156
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0499806404113769,13,13,,,,,105.32123152941176,169.972656
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0482890605926513,13,13,,,,,103.79917270588236,169.921875
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0511300563812255,13,13,,,,,98.99522566666668,169.589844
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0496623516082763,13,13,,,,,104.24977017647058,169.894531
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0493068695068359,13,13,,,,,105.3348523888889,169.792969
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.057107925415039,13,13,,,,,104.16980694117646,169.675781
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0595324039459228,13,13,,,,,98.46180555555556,169.707031
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0434823036193847,13,13,,,,,104.76884188235294,169.78125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0478160381317138,13,13,,,,,104.74218764705881,169.980469
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0520288944244384,13,13,312.91390448519576,,43.17999999999997,67.0,109.43880211111112,174.71875
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.053415298461914,13,13,,,,,105.51562494117648,169.84375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0361769199371337,13,13,,,,,105.97472423529412,169.507812
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0504577159881591,13,13,,,,,106.96006949999999,169.617188
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0490927696228027,13,13,,,,,105.35454964705883,169.414062
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0514438152313232,13,13,,,,,104.84352011764705,169.675781
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0564262866973876,13,13,,,,,106.57791947368419,169.660156
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0495140552520751,13,13,,,,,104.44094670588235,169.851562
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.048257827758789,13,13,,,,,103.797526,169.667969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0479533672332763,13,13,,,,,105.57743570588234,169.765625
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0496482849121093,13,13,,,,,105.00459558823529,169.933594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0638384819030761,13,13,281.7276249420127,,2.089999999999989,1.0,99.89040800000001,174.863281
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0541582107543945,13,13,250.7651011524765,,2.089999999999989,1.0,105.45634194117646,174.410156
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0618641376495361,13,13,264.0639796402485,,2.089999999999989,1.0,105.66337329411765,174.714844
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0556442737579345,13,13,,,,,106.61132811111109,169.894531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0521259307861328,13,13,,,,,105.49701288235295,169.464844
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0528981685638427,13,13,,,,,98.98025172222222,169.644531
