nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0683944225311279,21,22,312.9142535487547,194.74,79.77000000000001,45,105.43543188235294,176.882812
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0773134231567382,21,22,312.868531393686,189.1,76.13000000000001,43,105.4142795,177.070312
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0638556480407714,21,22,312.2420446918002,208.84,88.87,50,105.75620423529413,176.449219
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0643627643585205,21,22,312.74525432027394,231.39999999999984,103.42999999999992,58,106.31479776470587,175.921875
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0644307136535644,21,22,312.65170990724647,225.75999999999985,99.78999999999994,56,99.39171022222222,176.335938
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0744683742523193,21,22,312.214573781966,245.49999999999983,112.52999999999994,63,107.07261017647059,178.007812
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0580127239227294,21,22,306.3077374982864,332.01,149.83999999999995,99,106.50873158823528,173.953125
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.061284065246582,21,22,304.10670391045545,332.01,149.83999999999995,99,104.23138788235293,173.46875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0612094402313232,21,22,310.8591718295706,332.01,149.83999999999995,99,106.31089164705882,173.675781
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0646159648895263,21,22,312.4947517179832,220.11999999999983,96.14999999999992,54,108.09260111764706,177.863281
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0702207088470459,21,22,312.3980934019814,214.47999999999988,92.50999999999992,52,99.01432299999999,174.710938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0677378177642822,21,22,312.87552034483144,231.39999999999984,103.42999999999992,58,106.00781247058822,175.488281
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0797243118286132,21,22,312.3746481263594,197.56,81.59,46,111.72635689473684,176.6875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.069026231765747,21,22,312.3243779954296,191.92,77.95,44,100.72873277777778,176.710938
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0789649486541748,21,22,312.6804812755043,208.84,88.87,50,107.8727022352941,176.800781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0679216384887695,21,22,312.75153305876336,239.85999999999984,108.88999999999992,61,108.702908,177.394531
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0670130252838134,21,22,312.6392355866174,234.21999999999983,105.24999999999994,59,106.11284727777779,176.902344
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0671892166137695,21,22,312.23727235204564,253.95999999999984,117.98999999999992,66,107.60087323529412,175.746094
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0654225349426269,21,22,312.38185147637154,206.02,87.05000000000001,49,104.86488952941177,176.757812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0652132034301757,21,22,312.29893622457087,200.38,83.41000000000001,47,106.4664521764706,176.789062
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0669035911560058,21,22,312.702811480581,217.29999999999987,94.32999999999996,53,106.55193011764705,174.863281
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0639007091522216,21,22,312.07525628599967,245.49999999999983,112.52999999999994,63,105.64728852941175,177.773438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0640802383422851,21,22,312.8776618792031,237.03999999999985,107.06999999999994,60,106.56204041176471,176.117188
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0851402282714843,21,22,312.5590018131415,256.77999999999986,119.80999999999992,67,110.47569444444444,176.050781
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0870261192321777,21,22,312.30670765158004,124.239999999,34.2699999993546,20,99.57356777777778,176.886719
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0700736045837402,21,22,312.3674123095652,118.6,11.470000000000002,18,106.82812488235294,176.984375
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0755136013031005,21,22,312.35112017120275,135.51999999999998,41.55,24,109.95507816666667,176.855469
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0722486972808837,21,22,312.24425483741584,208.84,88.87,50,106.49540441176471,176.578125
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0738580226898193,21,22,312.1444830426839,203.2,85.23,48,107.52734376470588,176.867188
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0637760162353515,21,22,312.5864721391428,220.11999999999983,96.14999999999992,54,96.98828126315789,175.957031
