nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0585029125213623,18,18,,90.4,0,8,103.3720128235294,176.488281
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0606160163879394,18,18,,90.4,0,8,98.640408,176.679688
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0630984306335449,18,18,,90.4,0,8,107.44646147058823,176.679688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.064023733139038,18,18,,90.4,0,8,105.48552382352942,176.644531
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0774683952331543,18,18,,90.4,0,8,110.02669266666668,177.078125
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0859546661376953,18,18,,90.4,0,8,106.83042276470587,176.472656
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0631649494171142,18,18,,90.4,0,8,106.99609376470589,176.777344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0632755756378173,18,18,,90.4,0,8,100.36436633333334,176.808594
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0652394294738769,18,18,,90.4,0,8,108.49262155555554,176.488281
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0671970844268798,18,18,,90.4,0,8,107.11557911764704,176.726562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0597717761993408,18,18,,90.4,0,8,98.12087672222222,176.921875
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0609238147735595,18,18,,90.4,0,8,104.75896147058823,176.734375
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0617742538452148,18,18,,90.4,0,8,106.46645217647058,176.910156
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0794966220855712,18,18,,90.4,0,8,105.02941170588235,176.785156
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0636167526245117,18,18,,90.4,0,8,105.85409023529412,176.746094
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.070493459701538,18,18,,90.4,0,8,106.25933155555556,176.71875
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0626220703125,18,18,,90.4,0,8,108.06847447058823,176.773438
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0612010955810546,18,18,,90.4,0,8,108.1755515882353,177.03125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0712547302246093,18,18,,90.4,0,8,109.9611545,177.964844
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0654265880584716,18,18,,90.4,0,8,105.90326294117646,176.609375
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0588977336883544,18,18,,90.4,0,8,105.86534929411765,176.429688
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0640833377838134,18,18,,90.4,0,8,105.95726111764705,177.148438
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0579726696014404,18,18,,90.4,0,8,104.189568,176.847656
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0682373046875,18,18,,90.4,0,8,105.41934729411764,176.695312
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0677917003631591,18,18,,90.4,0,8,107.90104166666667,176.972656
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0614986419677734,18,18,,90.4,0,8,105.56962335294119,176.40625
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0639910697937011,18,18,,90.4,0,8,107.74356623529411,176.65625
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0600855350494384,18,18,,90.4,0,8,106.64728858823528,176.800781
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0646271705627441,18,18,,90.4,0,8,108.06089164705882,177.144531
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0761308670043945,18,18,,90.4,0,8,111.18641477777777,176.820312
