nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.066838264465332,21,22,335.7142535487547,127.06,18.640000000000025,21,106.1546415882353,176.933594
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0729150772094726,21,22,333.76853139368603,127.06,18.640000000000025,21,107.48622531578948,176.8125
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0613675117492675,21,22,339.7920446918002,127.06,18.640000000000025,21,98.20746527777777,176.703125
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0848569869995117,21,22,347.895254320274,127.06,18.640000000000025,21,107.96714152941176,177.210938
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0633144378662109,21,22,345.90170990724647,127.06,18.640000000000025,21,99.53211805555556,176.601562
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.087127685546875,21,22,352.11457378196604,127.06,18.640000000000025,21,107.3848805882353,176.871094
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0694220066070556,21,22,380.4077374982864,127.06,18.640000000000025,21,108.41796882352942,176.761719
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0659272670745849,21,22,378.2067039104555,127.06,18.640000000000025,21,106.69715070588234,176.925781
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0803971290588378,21,22,384.9591718295706,127.06,18.640000000000025,21,99.54969616666666,176.902344
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0701322555541992,21,22,343.84475171798323,127.06,18.640000000000025,21,107.57215082352941,176.800781
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.078209638595581,21,22,341.8480934019814,127.06,18.640000000000025,21,105.96920958823529,177.117188
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0666940212249755,21,22,348.0255203448315,127.06,18.640000000000025,21,105.12408094117647,176.429688
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0777626037597656,21,22,336.1246481263594,127.06,18.640000000000025,21,109.89887144444444,176.753906
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0731124877929687,21,22,334.17437799542955,127.06,18.640000000000025,21,106.05882347058822,176.769531
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.075479507446289,21,22,340.2304812755043,127.06,18.640000000000025,21,106.18795952941178,176.59375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.1051087379455566,21,22,350.75153305876336,127.06,18.640000000000025,21,110.1759982222222,176.707031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0616538524627685,21,22,348.73923558661744,127.06,18.640000000000025,21,105.46943923529412,176.789062
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0773415565490722,21,22,354.98727235204564,127.06,18.640000000000025,21,107.29963252941175,176.742188
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0722711086273193,21,22,338.9818514763716,127.06,18.640000000000025,21,107.4234834117647,176.601562
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0766088962554931,21,22,336.99893622457085,127.06,18.640000000000025,21,106.34397988235294,176.863281
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0621645450592041,21,22,343.102811480581,127.06,18.640000000000025,21,104.73322611764706,177.25
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0714335441589355,21,22,351.9752562859997,127.06,18.640000000000025,21,106.41498164705882,176.992188
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0655140876770019,21,22,349.9276618792032,127.06,18.640000000000025,21,106.05859376470589,176.558594
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0750484466552734,21,22,356.2590018131415,127.06,18.640000000000025,21,107.91636023529412,176.566406
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0669348239898681,21,22,311.3567076512432,127.06,18.640000000000025,21,98.73177077777778,176.761719
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.075329303741455,21,22,309.5174123095652,127.06,18.640000000000025,21,105.45312499999999,176.898438
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0639033317565918,21,22,315.2011201712028,127.06,18.640000000000025,21,100.30338544444446,176.996094
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0693085193634033,21,22,339.79425483741585,127.06,18.640000000000025,21,105.22541370588235,176.941406
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.1179366111755371,21,22,337.7944830426839,127.06,18.640000000000025,21,101.50585955555556,177.058594
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.077441930770874,21,22,343.93647213914284,127.06,18.640000000000025,21,99.20664070000001,176.777344
