nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0651133060455322,15,15,349.96425354875464,84.76,,6,105.63717829411765,173.375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0945737361907959,15,15,348.01853139368603,84.76,,6,104.116365,174.945312
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0616481304168701,15,15,354.04204469180013,84.76,,6,107.97699655555556,173.355469
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.1055989265441894,15,15,362.145254320274,84.76,,6,109.99522577777779,174.792969
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0578713417053222,15,15,360.15170990724647,84.76,,6,104.75321682352941,175.019531
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0572524070739746,15,15,366.364573781966,84.76,,6,105.21530335294118,173.3125
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0509843826293945,15,15,394.6577374982863,84.76,,6,107.41601577777777,173.398438
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0635187625885009,15,15,392.4567039104555,84.76,,6,106.27504594117647,174.75
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0585174560546875,15,15,399.2091718295706,84.76,,6,106.6716581111111,175.003906
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0563938617706298,15,15,358.0947517179832,84.76,,6,99.16080716666666,173.644531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0629091262817382,15,15,356.0980934019814,84.76,,6,106.70128676470588,175.097656
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0573318004608154,15,15,362.2755203448314,84.76,,6,104.83846511764706,173.230469
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0548882484436035,15,15,350.3746481263594,84.76,,6,104.16107541176471,175.117188
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0600206851959228,15,15,348.4243779954295,84.76,,6,105.95978852941177,173.195312
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0593934059143066,15,15,354.48048127550425,84.76,,6,105.50022976470588,173.175781
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0671215057373046,15,15,365.00153305876336,84.76,,6,98.50455733333334,175.105469
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.055098533630371,15,15,362.9892355866174,84.76,,6,104.7003675882353,173.097656
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.067155122756958,15,15,369.2372723520456,84.76,,6,108.26779522222222,172.925781
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0577890872955322,15,15,353.2318514763716,84.76,,6,101.25868044444445,174.707031
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0585830211639404,15,15,351.24893622457085,84.76,,6,105.33134194117646,174.875
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0556235313415527,15,15,357.3528114805809,84.76,,6,105.37434894444444,173.546875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0652401447296142,15,15,366.2252562859997,84.76,,6,105.08800541176471,174.796875
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0582845211029052,15,15,364.17766187920313,84.76,,6,104.92578135294117,175.128906
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.062424898147583,15,15,370.5090018131415,84.76,,6,97.33767355555557,174.78125
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0541150569915771,15,15,325.60670765124314,84.76,,6,98.77864594444445,173.140625
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0675187110900878,15,15,323.7674123095652,84.76,,6,97.96397583333334,174.871094
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0643599033355712,15,15,329.4511201712028,84.76,,6,97.96289055555556,175.035156
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.054295539855957,15,15,354.04425483741585,84.76,,6,108.00781252941178,174.730469
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0757405757904052,15,15,352.0444830426839,84.76,,6,106.80859366666668,175.164062
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0567901134490966,15,15,358.18647213914284,84.76,,6,105.98184735294117,174.84375
