nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.058091402053833,15,15,327.16425354875463,,18.16,30,106.86236211764705,175.609375
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0741031169891357,15,15,325.218531393686,,18.16,30,112.75904615789474,175.589844
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.057774543762207,15,15,331.2420446918001,,18.16,30,104.96599270588234,175.640625
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0592577457427978,15,15,339.3452543202739,,18.16,30,105.12683835294119,175.808594
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0610871315002441,15,15,337.3517099072464,,18.16,30,104.14952255555556,175.917969
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0713260173797607,15,15,343.564573781966,,18.16,30,106.42003670588235,175.859375
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0607914924621582,15,15,371.8577374982863,,18.16000000000064,30,99.06401905555555,175.628906
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.059708833694458,15,15,369.65670391045535,,18.160000000000952,30,106.21645229411764,175.554688
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0658836364746093,15,15,376.4091718295705,,18.160000000000952,30,107.58570770588236,175.84375
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0731525421142578,15,15,335.2947517179832,,18.16,30,109.85785583333332,175.851562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.054828405380249,15,15,333.2980934019813,,18.16,30,106.97610294117646,175.613281
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0599546432495117,15,15,339.4755203448314,,18.16,30,106.78883276470589,175.828125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0600652694702148,15,15,327.5746481263593,,18.16,30,109.9155816111111,175.691406
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0580861568450927,15,15,325.6243779954295,,18.16,30,106.43175564705882,175.929688
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0596609115600585,15,15,331.68048127550423,,18.16,30,107.52711382352942,175.832031
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0594270229339599,15,15,342.2015330587633,,18.16,30,99.016927,175.644531
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.059960126876831,15,15,340.1892355866174,,18.16,30,108.06089164705884,175.65625
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0811331272125244,15,15,346.4372723520456,,18.16,30,107.8766084117647,175.828125
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0590927600860595,15,15,330.4318514763715,,18.16,30,106.79904511111111,175.546875
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0570757389068603,15,15,328.4489362245708,,18.16,30,106.58363982352941,175.867188
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0692746639251709,15,15,334.55281148058094,,18.16,30,107.64430158823528,175.796875
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0616774559020996,15,15,343.42525628599964,,18.16,30,106.28607523529412,175.636719
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0592677593231201,15,15,341.37766187920306,,18.16,30,106.93864894117647,175.644531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0637414455413818,15,15,347.7090018131414,,18.16,30,105.81043194117649,175.609375
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0561788082122802,15,15,302.8067076512432,,18.16,30,107.589384,175.882812
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0611934661865234,15,15,300.96741230956513,,18.16,30,105.98667276470587,175.503906
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0611836910247802,15,15,306.6511201712027,,18.16,30,105.95818011764706,175.679688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0594635009765625,15,15,331.2442548374158,,18.16,30,107.11075370588235,175.589844
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0633080005645752,15,15,329.24448304268384,,18.16000000000064,30,107.33685664705882,175.890625
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0592596530914306,15,15,335.3864721391428,,18.16,30,106.32467835294119,175.683594
